Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Voltage - Clamping","Voltage","Technology","Number of Circuits","Applications","Mounting Type","Package / Case","Supplier Device Package"
https://www.littelfuse.com/~/media/electronics/datasheets/varistors/littelfuse_varistor_lsp05gi_datasheet.pdf.pdf,//media.digikey.com/Photos/Littelfuse%20Photos/LSP05GI240S.jpg,F7566-ND,LSP05GI277S,Littelfuse Inc.,SURGE PROTECTOR 5KA 277VAC SER,179,0,"13.42000","0","1","Bulk","LSP","Active","-","277V","Surge Protector","1","LED Drivers, AC/DC SMPS","Screw","Module, Wire Leads","Module"
http://www.onsemi.com/pub/Collateral/HBL1015-D.PDF,//media.digikey.com/Renders/On%20Semi%20Renders/TSOP-5_483.jpg,HBL1025T1GOSTR-ND,HBL1025T1G,ON Semiconductor,IC LED SHUNT 11.5V 5TSOP,6000,0,"0.15500","0","3000","Tape & Reel (TR)","-","Active","-","11.5V","LED Shunt","1","LED Protection","Surface Mount","5-TSSOP, SC-70-5, SOT-353","5-TSOP"
http://www.onsemi.com/pub/Collateral/HBL1015-D.PDF,//media.digikey.com/Renders/On%20Semi%20Renders/TSOP-5_483.jpg,HBL1025T1GOSCT-ND,HBL1025T1G,ON Semiconductor,IC LED SHUNT 11.5V 5TSOP,6000,0,"0.45000","0","1","Cut Tape (CT)","-","Active","-","11.5V","LED Shunt","1","LED Protection","Surface Mount","5-TSSOP, SC-70-5, SOT-353","5-TSOP"
http://www.onsemi.com/pub/Collateral/HBL1015-D.PDF,//media.digikey.com/Renders/On%20Semi%20Renders/TSOP-5_483.jpg,HBL1025T1GOSDKR-ND,HBL1025T1G,ON Semiconductor,IC LED SHUNT 11.5V 5TSOP,6000,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","-","11.5V","LED Shunt","1","LED Protection","Surface Mount","5-TSSOP, SC-70-5, SOT-353","5-TSOP"
https://www.littelfuse.com/~/media/electronics/datasheets/led_protectors/littelfuse_led_protector_pled_ultra_low_holding_current_datasheet.pdf.pdf,//media.digikey.com/Renders/Littelfuse%20Renders/DO-214AA%20(SMBJ).jpg,F11313TR-ND,PLED150S,Littelfuse Inc.,LED PROTECTOR BI 136V DO214 2L,2500,0,"0.52780","0","2500","Tape & Reel (TR)","PLED®","Active","167V","136V","LED Shunt","1","LED Protection","Surface Mount","DO-214AA, SMB","DO-214AA"
https://www.littelfuse.com/~/media/electronics/datasheets/led_protectors/littelfuse_led_protector_pled_ultra_low_holding_current_datasheet.pdf.pdf,//media.digikey.com/Renders/Littelfuse%20Renders/DO-214AA%20(SMBJ).jpg,F11313CT-ND,PLED150S,Littelfuse Inc.,LED PROTECTOR BI 136V DO214 2L,2700,0,"1.36000","0","1","Cut Tape (CT)","PLED®","Active","167V","136V","LED Shunt","1","LED Protection","Surface Mount","DO-214AA, SMB","DO-214AA"
https://www.littelfuse.com/~/media/electronics/datasheets/led_protectors/littelfuse_led_protector_pled_ultra_low_holding_current_datasheet.pdf.pdf,//media.digikey.com/Renders/Littelfuse%20Renders/DO-214AA%20(SMBJ).jpg,F11313DKR-ND,PLED150S,Littelfuse Inc.,LED PROTECTOR BI 136V DO214 2L,2700,0,"Digi-Reel","0","1","Digi-Reel®","PLED®","Active","167V","136V","LED Shunt","1","LED Protection","Surface Mount","DO-214AA, SMB","DO-214AA"
https://www.littelfuse.com/~/media/electronics/datasheets/led_protectors/littelfuse_led_protector_pled_ultra_low_holding_current_datasheet.pdf.pdf,//media.digikey.com/Renders/Littelfuse%20Renders/DO-214AA%20(SMBJ).jpg,F11314TR-ND,PLED380S,Littelfuse Inc.,LED PROTECTOR BI 350V DO214 2L,2500,0,"0.52780","0","2500","Tape & Reel (TR)","PLED®","Active","430V","350V","LED Shunt","1","LED Protection","Surface Mount","DO-214AA, SMB","DO-214AA"
https://www.littelfuse.com/~/media/electronics/datasheets/led_protectors/littelfuse_led_protector_pled_ultra_low_holding_current_datasheet.pdf.pdf,//media.digikey.com/Renders/Littelfuse%20Renders/DO-214AA%20(SMBJ).jpg,F11314CT-ND,PLED380S,Littelfuse Inc.,LED PROTECTOR BI 350V DO214 2L,2694,0,"1.36000","0","1","Cut Tape (CT)","PLED®","Active","430V","350V","LED Shunt","1","LED Protection","Surface Mount","DO-214AA, SMB","DO-214AA"
https://www.littelfuse.com/~/media/electronics/datasheets/led_protectors/littelfuse_led_protector_pled_ultra_low_holding_current_datasheet.pdf.pdf,//media.digikey.com/Renders/Littelfuse%20Renders/DO-214AA%20(SMBJ).jpg,F11314DKR-ND,PLED380S,Littelfuse Inc.,LED PROTECTOR BI 350V DO214 2L,2694,0,"Digi-Reel","0","1","Digi-Reel®","PLED®","Active","430V","350V","LED Shunt","1","LED Protection","Surface Mount","DO-214AA, SMB","DO-214AA"
https://www.littelfuse.com/~/media/electronics/datasheets/varistors/littelfuse_varistor_lsp05g_datasheet.pdf.pdf,//media.digikey.com/Photos/Littelfuse%20Photos/MFG_LSP05G_S.jpg,F9374-ND,LSP05G277S,Littelfuse Inc.,LSP THERMALLY PROTECTED VARISTOR,139,0,"11.94000","0","1","Bulk","LSP","Active","-","277V","Surge Protector","1","LED Drivers, AC/DC SMPS","Screw","Module, Wire Leads","Module"
https://www.littelfuse.com/~/media/electronics/datasheets/varistors/littelfuse_varistor_lsp05gi_datasheet.pdf.pdf,//media.digikey.com/Photos/Littelfuse%20Photos/MFG_LSP05GI_P.jpg,F7580-ND,LSP05GI277P,Littelfuse Inc.,SURGE PROTECTOR 5KA 277VAC PARL,418,0,"12.79000","0","1","Bulk","LSP","Active","-","277V","Surge Protector","1","LED Drivers, AC/DC SMPS","Screw","Module, Wire Leads","Module"
https://www.littelfuse.com/~/media/electronics/datasheets/varistors/littelfuse_varistor_lsp10_datasheet.pdf.pdf,//media.digikey.com/Photos/Littelfuse%20Photos/MFG_LSP10_S.jpg,F6384-ND,LSP10480LLS,Littelfuse Inc.,SURGE PROTECTOR 10KA 480V SERS,129,0,"20.42000","0","1","Tray","LSP","Active","-","480V","Surge Protector","1","LED Drivers, AC/DC SMPS","Screw","Module, Wire Leads","Module"
