Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Style","Connector Type","Number of Positions","Shape","Barrel Depth","Voltage","Mounting Type","Features"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=861610&DocType=Customer+Drawing&DocLang=English,-,861610-1-ND,861610-1,TE Connectivity AMP Connectors,CONN LGH PLUG 1POS CYL STR,0,0,"14.63050","0","100","Bulk","-","Active","LGH","Plug","1","Cylindrical","-","20kVDC","Free Hanging (In-Line)","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=861753&DocType=Customer+Drawing&DocLang=English,-,861753-3-ND,861753-3,TE Connectivity AMP Connectors,CONN LGH RCPT CIRC STR,0,0,"14.79000","0","200","Bulk","-","Active","LGH","Receptacle","-","Circular","1.00"" (25.40mm)","20kVDC","Free Hanging (In-Line)","-"
-,-,863950-2-ND,863950-2,TE Connectivity AMP Connectors,"RUBBER BOOT, LGH",0,0,"14.86250","0","100","-","-","Active","-","-","-","-","-","-","-","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=861753&DocType=Customer+Drawing&DocLang=English,-,5-861753-2-ND,5-861753-2,"TE Connectivity Aerospace, Defense and Marine",CONN LGH RCPT 1POS CIRC STR,0,0,"15.58760","0","600","Bulk","-","Active","LGH","Receptacle","1","Circular","1.00"" (25.40mm)","20kVDC","Free Hanging (In-Line)","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=862695&DocType=Customer+Drawing&DocLang=English,-,862695-1-ND,862695-1,"TE Connectivity Aerospace, Defense and Marine",CONN LGH PLUG END BELL,0,0,"15.60432","0","250","Bulk","-","Active","LGH","Accessory - Plug End Bell","-","-","-","-","-","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=850512&DocType=Customer+Drawing&DocLang=English,-,850512-1-ND,850512-1,"TE Connectivity Aerospace, Defense and Marine",CONN LG 1/2 1/2L DUST CAP,0,0,"15.61300","0","1200","Bulk","-","Active","LGH 1/2, 1/2L","Accessory - Cap","-","-","-","-","-","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=862197&DocType=Customer+Drawing&DocLang=English,-,862197-5-ND,862197-5,"TE Connectivity Aerospace, Defense and Marine",CONN LGH RCPT 1POS CIRC STR,0,0,"15.84850","0","100","Bulk","-","Active","LGH","Receptacle","1","Circular","1.00"" (25.40mm)","20kVDC","Free Hanging (In-Line)","Flange"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=443065&DocType=Customer+Drawing&DocLang=English,-,443065-1-ND,443065-1,"TE Connectivity Aerospace, Defense and Marine",CONN LGH HOUSING 7P CIRC PNL MNT,0,0,"15.98792","0","250","Bulk","-","Active","LGH","Housing","7","Circular","-","-","Panel Mount","Flange"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=867781&DocType=Customer+Drawing&DocLang=English,-,867781-1-ND,867781-1,"TE Connectivity Aerospace, Defense and Marine",CONN LGH HOUSING 2POS RECT STR,0,0,"16.26300","0","1000","Bulk","-","Active","LGH","Housing","2","Rectangular","-","-","Free Hanging (In-Line)","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=862435&DocType=Customer+Drawing&DocLang=English,-,862435-3-ND,862435-3,TE Connectivity AMP Connectors,CONN LGH RCPT 2POS CYL PNL MNT,0,0,"16.49480","0","300","Bulk","-","Active","LGH","Receptacle","2","Cylindrical","-","10kVDC","Panel Mount","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=862382&DocType=Customer+Drawing&DocLang=English,-,862382-4-ND,862382-4,"TE Connectivity Aerospace, Defense and Marine",CONN LGH HOUSING 2P RECT PNL MNT,0,0,"16.94420","0","500","Bulk","-","Active","LGH","Housing","2","Rectangular","-","-","Panel Mount","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=862197&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/x-862197-1.jpg,862197-1-ND,862197-1,"TE Connectivity Aerospace, Defense and Marine",CONN LGH RCPT 1POS CIRC STR,0,0,"17.26950","0","100","Bulk","-","Active","LGH","Receptacle","1","Circular","1.00"" (25.40mm)","20kVDC","Free Hanging (In-Line)","Flange"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=862435&DocType=Customer+Drawing&DocLang=English,-,862435-6-ND,862435-6,"TE Connectivity Aerospace, Defense and Marine",CONN LGH RCPT 2POS CYL PNL MNT,0,0,"18.11140","0","300","Bulk","-","Active","LGH","Receptacle","2","Cylindrical","-","10kVDC","Panel Mount","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=861610&DocType=Customer+Drawing&DocLang=English,-,5-861610-4-ND,5-861610-4,"TE Connectivity Aerospace, Defense and Marine",CONN LGH PLUG 1POS CYL STR,0,0,"18.19440","0","600","Bulk","-","Active","LGH","Plug","1","Cylindrical","-","20kVDC","Free Hanging (In-Line)","-"
