Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Connector Style","Connector Type","Number of Positions","Number of Rows","Mounting Type","Termination","Flange Feature","Type","Features","Contact Finish","Contact Finish Thickness"
https://www.hirose.com/product/download/?distributor=digikey&type=2d&lang=en&num=FX2-80P-1.27SV(71),//media.digikey.com/photos/Hirose%20Elect%20Photos/FX2-80P-1.27SV.jpg,H10526-ND,FX2-80P-1.27SV(71),Hirose Electric Co Ltd,CONN HEADER STR 80POS 1.27MM SMD,111,0,"6.19000","0","1","*","Active","-","-","-","-","-","-","-","-","-","-","-"
http://multimedia.3m.com/mws/media/22258O/3mtm-mini-d-ribbonmdr-050idc-wm-plug-shielded-ts0423.pdf,//media.digikey.com/photos/3M%20Photos/10126-6000EC.jpg,MPB26A-ND,10126-6000EC,3M,CONN PLUG 26POS STR IDC,716,0,"6.20000","0","1","101, Mini D Ribbon (MDR)","Active","Center Strip Contacts","Plug","26","2","Free Hanging (In-Line)","IDC","-","-","Shielded","Gold","30.0µin (0.76µm)"
https://www.molex.com/pdm_docs/sd/015921030_sd.pdf,//media.digikey.com/Photos/Molex/15-92-1468.JPG,WM12406-ND,15-92-1468,Molex,CONN RCPT 68POS VERT SOLDER,244,0,"6.38000","0","1","EBBI 71660","Active","Outer Shroud Contacts","Receptacle","68","2","Through Hole","Solder","-","-","Board Guide, Board Lock","Gold","30.0µin (0.76µm)"
https://www.hirose.com/product/download/?distributor=digikey&type=2d&lang=en&num=FX2-80S-1.27DS(71),//media.digikey.com/photos/Hirose%20Elect%20Photos/FX2-80S-1.27DS.jpg,H10643-ND,FX2-80S-1.27DS(71),Hirose Electric Co Ltd,CONN RECEPT R/A 80POS 1.27MM,175,0,"6.38000","0","1","*","Active","-","-","-","-","-","-","-","-","-","-","-"
http://multimedia.3m.com/mws/media/22260O/3mtmmini-d-ribbonmdr-050-bm-thru-hole-vert-shield-ts0427.pdf,//media.digikey.com/Photos/3M%20Photos/N10226-6212PC.JPG,3M155873-ND,N10226-6212PC,3M,CONN RCPT 26POS PCB SOLDER,896,0,"6.64000","0","1","102, Mini D Ribbon (MDR)","Active","Outer Shroud Contacts","Receptacle","26","2","Panel Mount, Through Hole","Solder","Housing/Shell (M2.6)","-","Shielded","Gold","30.0µin (0.76µm)"
https://www.hirose.com/product/download/?distributor=digikey&type=2d&lang=en&num=FX2-100S-1.27SV(71),//media.digikey.com/photos/Hirose%20Elect%20Photos/FX2-100S-1.27SV(71).jpg,H10536-ND,FX2-100S-1.27SV(71),Hirose Electric Co Ltd,CONN RCPT 100POS SMD SOLDER,942,0,"6.74000","0","1","FX2","Active","Outer Shroud Contacts","Receptacle","100","2","Surface Mount","Solder","-","-","-","Gold","7.87µin (0.200µm)"
https://cdn.amphenol-icc.com/media/wysiwyg/files/drawing/71292.pdf,//media.digikey.com/Renders/Amphenol%20Renders/71292-002(1).jpg,609-1557-ND,71292-002LF,Amphenol ICC (FCI),CONN SCA-2 PLUG 40P EDGE MT SLDR,1298,0,"6.81000","0","1","71292","Active","Center Strip Contacts","Plug","40","2","Board Edge, Straddle Mount","Solder","-","SCA-2","-","Gold, GXT™","30.0µin (0.76µm)"
https://www.hirose.com/product/download/?distributor=digikey&type=2d&lang=en&num=FX2C-100S-1.27DSA(71),//media.digikey.com/photos/Hirose%20Elect%20Photos/FX2C-100S-1.27DSA(71).jpg,H10599-ND,FX2C-100S-1.27DSA(71),Hirose Electric Co Ltd,CONN RECEPT VERT 100POS 1.27MM,395,0,"6.84000","0","1","*","Active","-","-","-","-","-","-","-","-","-","-","-"
https://www.hirose.com/product/download/?distributor=digikey&type=2d&lang=en&num=FX2-100P-1.27DS(71),//media.digikey.com/photos/Hirose%20Elect%20Photos/FX2-100P-1.27DS.jpg,H10635-ND,FX2-100P-1.27DS(71),Hirose Electric Co Ltd,CONN BTB PLUG 100POS R/A SOLDER,1111,0,"6.91000","0","1","FX2","Active","Center Strip Contacts","Plug","100","2","Through Hole, Right Angle","Solder","-","Board to Board","-","Gold","7.87µin (0.200µm)"
https://www.hirose.com/product/download/?distributor=digikey&type=2d&lang=en&num=FX2-100P-1.27SV(71),//media.digikey.com/photos/Hirose%20Elect%20Photos/FX2-100P-1.27SV(71).JPG,H10527-ND,FX2-100P-1.27SV(71),Hirose Electric Co Ltd,CONN PLUG 100POS SMD SOLDER,125,0,"6.94000","0","1","FX2","Active","Center Strip Contacts","Plug","100","2","Surface Mount","Solder","-","-","-","Gold","7.87µin (0.200µm)"
