Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Connector Style","Connector Type","Number of Positions","Number of Rows","Shell Size, Connector Layout","Contact Type","Mounting Type","Flange Feature","Termination","Features","Shell Material, Finish","Contact Finish","Contact Finish Thickness","Ingress Protection","Material Flammability Rating","Current Rating (Amps)","Operating Temperature"
http://www.assmann-wsw.com/fileadmin/datasheets/ASS_4888_CO.pdf,//media.digikey.com/photos/Assmann%20Photos/ADF37A-KG-TAXB3-R.JPG,AE10944-ND,A-DF 37 A/KG-T4S,Assmann WSW Components,CONN D-SUB RCPT 37POS R/A SOLDER,2240,0,"1.68000","0","1","Tray","-","Active","D-Sub","Receptacle, Female Sockets","37","2","4 (DC, C)","Signal","Through Hole, Right Angle","Housing/Shell (4-40)","Solder","Board Lock","Steel, Tin Plated","Gold","Flash","-","UL94 V-0","3A","-55°C ~ 105°C"
http://www.amphenol-icc.com/media/wysiwyg/files/drawing/10090769.pdf,//media.digikey.com/Photos/FCI%20Photos/10090769-P264ALF.jpg,609-4043-ND,10090769-P264ALF,Amphenol ICC (FCI),CONN D-SUB HD PLUG 26POS,3494,0,"1.75000","0","1","Tray","10090769","Active","D-Sub, High Density","Plug, Male Pins","26","3","2 (DA, A) High Density","Signal","Free Hanging (In-Line)","Housing/Shell (Unthreaded)","Solder Cup","Grounding Indents","Steel, Nickel Plated","Gold","Flash","-","UL94 V-0","2.5A","-55°C ~ 105°C"
http://www.cnctech.us/pdfs/410M0-xx-1-00.pdf,//media.digikey.com/Photos/CnC%20Tech/410M0-09-1-00.jpg,LML09H-ND,410M0-09-1-00,CNC Tech,CONN D-SUB PLUG 9POS IDC,2844,0,"1.76000","0","1","Bulk","-","Active","D-Sub","Plug, Male Pins","9","2","1 (DE, E)","Signal","Free Hanging (In-Line)","Mating Side, Female Screwlock (4-40)","IDC, Ribbon Cable","Feed Through, Grounding Indents","Steel, Nickel Plated","Gold","-","-","UL94 V-0","1A","-40°C ~ 105°C"
https://www.norcomp.net/rohspdfs/Connectors/18Y/182/182-yyy-113Ryy1.pdf,//media.digikey.com/photos/Norcomp%20Photos/182-009-112-171.jpg,182-909ME-ND,182-009-113R171,NorComp Inc.,CONN D-SUB PLUG 9POS R/A SOLDER,6677,0,"1.78000","0","1","Tray","182","Active","D-Sub","Plug, Male Pins","9","2","1 (DE, E)","Signal","Panel Mount, Through Hole, Right Angle","Housing/Shell (4-40)","Solder","Ground Strap, Grounding Indents","Steel, Nickel Plated","Gold","Flash","-","UL94 V-0","5A","-55°C ~ 105°C"
https://www.norcomp.net/rohspdfs/Connectors/17Y/171/171-YYY-213RYY1.pdf,//media.digikey.com/photos/Norcomp%20Photos/171-015-213R001.jpg,4215FE-ND,171-015-213R001,NorComp Inc.,CONN D-SUB RCPT 15P PNL MNT SLDR,2502,0,"1.81000","0","1","Tray","171","Active","D-Sub","Receptacle, Female Sockets","15","2","2 (DA, A)","Signal","Panel Mount, Through Hole","Housing/Shell (Unthreaded)","Solder","-","Steel, Nickel Plated","Gold","Flash","-","UL94 V-0","5A","-50°C ~ 100°C"
http://www.assmann-wsw.com/fileadmin/datasheets/ASS_4890_CO.pdf,//media.digikey.com/Photos/Assmann%20Photos/A-DFF-09LPIII%5EFP.jpg,HHFP09H-ND,A-DFF 09LPIII/FP,Assmann WSW Components,CONN D-SUB RCPT 9POS IDC,3074,0,"1.82000","0","1","Tray","-","Active","D-Sub","Receptacle, Female Sockets","9","2","1 (DE, E)","Signal","Free Hanging (In-Line)","Housing/Shell (Unthreaded)","IDC, Ribbon Cable","Feed Through, Strain Relief","-","Gold","Flash","-","UL94 V-0","3A","-55°C ~ 105°C"
http://www.cnctech.us/pdfs/410F0-XX-1-004S.pdf,//media.digikey.com/Photos/CnC%20Tech/410F0-09-1-004S.jpg,LFU09H-ND,410F0-09-1-004S,CNC Tech,CONN D-SUB RCPT 9POS IDC,1935,0,"1.84000","0","1","Bulk","-","Active","D-Sub","Receptacle, Female Sockets","9","2","1 (DE, E)","Signal","Free Hanging (In-Line)","Mating Side, Female Screwlock (4-40)","IDC, Ribbon Cable","Feed Through, Strain Relief","Steel, Nickel Plated","Gold","-","-","UL94 V-0","1A","-40°C ~ 105°C"
http://www.amphenol-icc.com/media/wysiwyg/files/drawing/c01-8646-0281.pdf,//media.digikey.com/photos/Amphenol%20Photos/D09P13A4GX00LF.jpg,609-1478-ND,D09P13A4GX00LF,Amphenol ICC (FCI),CONN D-SUB PLUG 9POS R/A SOLDER,1609,0,"1.84000","0","1","Tray","Delta D","Active","D-Sub","Plug, Male Pins","9","2","1 (DE, E)","Signal","Through Hole, Right Angle","Housing/Shell (4-40)","Solder","Board Lock, Grounding Indents, Mounting Brackets","Steel, Tin Plated","Gold","Flash","-","UL94 V-0","5A","-55°C ~ 125°C"
https://www.amphenolcanada.com/ProductSearch/drawings/AC/17EHD015XXXX00.pdf,//media.digikey.com/photos/Amphenol%20Photos/17EHD-015-P-AA-0-00.jpg,17EHD-015-P-AA-0-00-ND,17EHD-015-P-AA-0-00,Amphenol ICC (Commercial Products),CONN D-SUB HD PLUG 15POS,1931,0,"1.85000","0","1","Tray","17EHD","Active","D-Sub, High Density","Plug, Male Pins","15","3","1 (DE, E) High Density","Signal","Free Hanging (In-Line)","Housing/Shell (Unthreaded)","Solder Cup","Grounding Indents","Steel, Nickel Plated","Gold","Flash","-","UL94 V-0","3A","-55°C ~ 105°C"
http://www.amphenol-icc.com/media/wysiwyg/files/drawing/c01-8646-0742.pdf,//media.digikey.com/photos/FCI%20Photos/D09P13A4GV00LF.jpg,609-1477-ND,D09P13A4GV00LF,Amphenol ICC (FCI),CONN D-SUB PLUG 9POS R/A SOLDER,1197,0,"1.85000","0","1","Tray","Delta D","Active","D-Sub","Plug, Male Pins","9","2","1 (DE, E)","Signal","Through Hole, Right Angle","Mating Side, Female Screwlock (4-40)","Solder","Board Lock, Grounding Indents, Mounting Brackets","Steel, Tin Plated","Gold","Flash","-","UL94 V-0","5A","-55°C ~ 125°C"
