Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Terminal Type","Number of Positions","Pitch","Number of Rows","Row Spacing","Board Size","Material - Board","Features","Material Flammability Rating"
http://www.keyelco.com/product-pdf.cfm?p=3467,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_1507x.jpg,36-15073-ND,15073,Keystone Electronics,TURRET BOARD 50POS 0.375"" FORK,0,0,"43.87020","0","100","-","Active","Turret Board, Scored","Turret, Fork End, Hollow","50","0.375"" (9.53mm)","2","1.500"" (38.10mm)","13.125"" L x 2.000"" W x 0.093"" H (333.38mm x 50.80mm x 2.36mm)","XP Phenolic","Standard Strip","-"
http://www.keyelco.com/product-pdf.cfm?p=3446,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_150xy%20SERIES.jpg,36-15044-ND,15044,Keystone Electronics,TURRET BOARD 50POS 0.375"" DUAL,0,0,"44.73000","0","100","-","Active","Turret Board, Scored","Turret, Dual End, Double Turret","50","0.375"" (9.53mm)","2","2.000"" (50.80mm)","13.125"" L x 2.500"" W x 0.093"" H (333.38mm x 63.50mm x 2.36mm)","XP Phenolic","Standard Strip","-"
http://www.keyelco.com/product-pdf.cfm?p=3467,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_1507x.jpg,36-15074-ND,15074,Keystone Electronics,TURRET BOARD 50POS 0.375"" FORK,0,0,"44.73000","0","100","-","Active","Turret Board, Scored","Turret, Fork End, Hollow","50","0.375"" (9.53mm)","2","2.000"" (50.80mm)","13.125"" L x 2.500"" W x 0.093"" H (333.38mm x 63.50mm x 2.36mm)","XP Phenolic","Standard Strip","-"
http://www.keyelco.com/product-pdf.cfm?p=5231,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_MS27249%20SERIES.jpg,36-MS27249-2E4-ND,MS272492E4,Keystone Electronics,TURRET BOARD 40POS 0.375"" SINGLE,0,0,"45.26020","0","100","-","Active","Turret Board, Scored","Turret, Single End, Double Turret","40","0.375"" (9.53mm)","2","1.000"" (25.40mm)","10.500"" L x 1.500"" W x 0.125"" H (266.70mm x 38.10mm x 3.18mm)","Glass Epoxy","-","-"
http://www.keyelco.com/product-pdf.cfm?p=3467,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_1507x.jpg,36-15075-ND,15075,Keystone Electronics,TURRET BOARD 50POS 0.375"" FORK,0,0,"45.54020","0","100","-","Active","Turret Board, Scored","Turret, Fork End, Hollow","50","0.375"" (9.53mm)","2","2.500"" (63.50mm)","13.125"" L x 3.000"" W x 0.093"" H (333.38mm x 76.20mm x 2.36mm)","XP Phenolic","Standard Strip","-"
http://www.keyelco.com/product-pdf.cfm?p=3503,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_152xy%20SERIES.jpg,36-15242-ND,15242,Keystone Electronics,TURRET BOARD 50POS 0.375"" DUAL,0,0,"46.04010","0","100","-","Active","Turret Board, Scored","Turret, Dual End, Double Turret","50","0.375"" (9.53mm)","2","1.000"" (25.40mm)","13.125"" L x 1.500"" W x 0.093"" H (333.38mm x 38.10mm x 2.36mm)","Glass Epoxy","Standard Strip","-"
http://www.keyelco.com/product-pdf.cfm?p=5235,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_MS27249%20SERIES.jpg,36-MS27249-3B3-ND,MS272493B3,Keystone Electronics,TURRET BOARD 30POS 0.375"" SINGLE,0,0,"46.45000","0","100","-","Active","Turret Board, Scored","Turret, Single End, Double Turret","30","0.375"" (9.53mm)","2","1.500"" (38.10mm)","7.875"" L x 2.000"" W x 0.125"" H (200.03mm x 50.80mm x 3.18mm)","Glass Epoxy","-","-"
http://www.keyelco.com/product-pdf.cfm?p=5241,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_MS27249%20SERIES.jpg,36-MS27249-3E4-ND,MS272493E4,Keystone Electronics,TURRET BOARD 40POS 0.375"" SINGLE,0,0,"47.71020","0","100","-","Active","Turret Board, Scored","Turret, Single End, Double Turret","40","0.375"" (9.53mm)","2","1.500"" (38.10mm)","10.500"" L x 2.000"" W x 0.125"" H (266.70mm x 50.80mm x 3.18mm)","Glass Epoxy","-","-"
http://www.keyelco.com/product-pdf.cfm?p=5249,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_MS27249%20SERIES.jpg,36-MS27249-4E2-ND,MS272494E2,Keystone Electronics,TURRET BOARD 20POS 0.375"" SINGLE,0,0,"47.83020","0","100","-","Active","Turret Board, Scored","Turret, Single End, Double Turret","20","0.375"" (9.53mm)","2","2.000"" (50.80mm)","5.250"" L x 2.500"" W x 0.125"" H (133.35mm x 63.50mm x 3.18mm)","Glass Epoxy","-","-"
http://www.keyelco.com/product-pdf.cfm?p=3507,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_152xy%20SERIES.jpg,36-15246-ND,15246,Keystone Electronics,TURRET BOARD 50POS 0.375"" DUAL,0,0,"48.83000","0","100","-","Active","Turret Board, Scored","Turret, Dual End, Double Turret","50","0.375"" (9.53mm)","2","1.187"" (30.10mm)","13.125"" L x 1.500"" W x 0.093"" H (333.38mm x 38.10mm x 2.36mm)","Glass Epoxy","Standard Strip","-"
