Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Contact Size","Module Capacity","Size / Dimension"
http://www.amphenolpcd.com/sites/default/files/product-docs/modules/SJT502101_C.pdf,-,SJT506101-ND,SJT506101,Amphenol PCD,CONN RAIL 3.108"" L X 0.885"" W,0,0,"17.47200","0","25","SJT","Active","Rail","-","6","3.108"" L x 0.885"" W x 0.900"" H (78.94mm x 22.48mm x 22.86mm)"
http://www.amphenolpcd.com/sites/default/files/product-docs/modules/SJT502301_C.pdf,-,SJT506301-ND,SJT506301,Amphenol PCD,CONN RAIL 3.108"" L X 0.885"" W,0,0,"17.47200","0","25","SJT","Active","Rail","-","6","3.108"" L x 0.885"" W x 0.900"" H (78.94mm x 22.48mm x 22.86mm)"
-,-,YCTL-20C1000000000-ND,YCTL-20C1000000000,TE Connectivity Deutsch Connectors,CONN WIRE SPLICE SZ20 0.260"" DIA,0,0,"17.55000","0","86","CTL","Active","Wire Splice","20","-","0.260"" Dia x 1.452"" L (6.60mm x 36.88mm)"
-,-,YCTL-16C0290000000-ND,YCTL-16C0290000000,TE Connectivity Deutsch Connectors,CONN WIRE SPLICE SZ16 0.300"" DIA,0,0,"17.75797","0","74","CTL","Active","Wire Splice","16","-","0.300"" Dia x 1.400"" L (7.62mm x 35.56mm)"
-,-,SJS420701-ND,SJS420701,Amphenol PCD,"SJS DOUBLE SPLICE, SIZE 20",0,0,"17.83600","0","25","SJS","Active","-","-","-","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=DCR-1x-xx&DocType=Customer+Drawing&DocLang=English,-,DCR-1A-05-ND,DCR-1A-05,TE Connectivity Deutsch Connectors,GUIDE,0,0,"17.84857","0","77","*","Active","-","-","-","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=CTL-xx&DocType=Customer+Drawing&DocLang=English,-,CTL-16-513[V003]-ND,CTL-16-513 [V003],TE Connectivity Deutsch Connectors,JUNCTION ASSY,0,0,"17.84904","0","73","*","Active","-","-","-","-"
http://www.amphenolpcd.com/sites/default/files/product-docs/modules/SJT502101_C.pdf,-,SJT506104-ND,SJT506104,Amphenol PCD,CONN RAIL 3.108"" L X 0.885"" W,0,0,"17.95320","0","25","SJT","Active","Rail","-","6","3.108"" L x 0.885"" W x 0.900"" H (78.94mm x 22.48mm x 22.86mm)"
http://www.amphenolpcd.com/sites/default/files/product-docs/modules/SJT502404_C.pdf,-,SJT506404-ND,SJT506404,Amphenol PCD,CONN RAIL 3.108"" L X 0.885"" W,0,0,"17.95320","0","25","SJT","Active","Rail","-","6","3.108"" L x 0.885"" W x 0.915"" H (78.94mm x 22.48mm x 23.24mm)"
//media.digikey.com/pdf/Data%20Sheets/Souriau%20PDFs/YHLZ_Term_Block_Modules.pdf,-,YHLZ-44-ND,YHLZ-44,SOURIAU-SUNBANK,CONN MODULE 1.000"" L X 0.305"" W,0,0,"17.99620","0","50","-","Active","Module","-","4","1.000"" L x 0.305"" W x 1.060"" H (25.40mm x 7.75mm x 26.92mm)"
-,-,YCTL-20C0290000000-ND,YCTL-20C0290000000,TE Connectivity Deutsch Connectors,CONN WIRE SPLICE SZ20 0.260"" DIA,0,0,"18.16506","0","83","CTL","Active","Wire Splice","20","-","0.260"" Dia x 1.452"" L (6.60mm x 36.88mm)"
-,-,SYHLZ16-2-ND,YHLZ16-2,SOURIAU-SUNBANK,CONN MODULE 1.000"" L X 1.190"" H,0,0,"18.36000","0","1","-","Active","Module","-","16","1.000"" L x 1.190"" H (25.40mm x 30.23mm)"
-,-,JTE-20-02-ND,JTE-20-02,TE Connectivity Deutsch Connectors,JUNCTION ASSY,0,0,"18.64506","0","83","*","Active","-","-","-","-"
-,-,TBH120450-ND,TBH120450,Amphenol PCD,CONN MODULE SZ20 8-2POS,0,0,"18.68120","0","25","-","Active","Module","20","24","-"
-,-,TBH120455-ND,TBH120455,Amphenol PCD,CONN MODULE SZ20 8-2POS,0,0,"18.68120","0","25","-","Active","Module","20","24","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=DCR-1x-xx&DocType=Customer+Drawing&DocLang=English,-,DCR-1A-04[V003]-ND,DCR-1A-04 [V003],TE Connectivity Deutsch Connectors,COMPOSIT RAIL,0,0,"18.70506","0","83","*","Active","-","-","-","-"
-,-,RST145006-ND,RST145006,Amphenol PCD,TRACK,0,0,"18.81000","0","25","*","Active","-","-","-","-"
http://www.amphenol.co.jp/military/catalog/T81714series2/0-T81714-II.pdf,-,APM81714/65-22-1-ND,M81714/65-22-1,Amphenol PCD,CONN WIRE SPLICE SZ22 1.310"" L,0,0,"18.84000","0","1","Military, MIL-T-81714 Series II, TJS","Active","Wire Splice","22","1","1.310"" L (33.27mm)"
-,-,SYHLZ16-8-ND,YHLZ16-8,SOURIAU-SUNBANK,CONN MODULE 1.000"" L X 1.190"" H,0,0,"18.86000","0","1","-","Active","Module","-","16","1.000"" L x 1.190"" H (25.40mm x 30.23mm)"
-,-,20P-090[V003]-ND,20P-090 [V003],TE Connectivity Deutsch Connectors,MODULE ASSY,0,0,"18.99000","0","79","*","Active","-","-","-","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=DCR-1x-xx&DocType=Customer+Drawing&DocLang=English,-,DCR-1A-03-4021[V003]-ND,DCR-1A-03-4021 [V003],TE Connectivity Deutsch Connectors,COMPOSIT RAIL,0,0,"19.02000","0","50","*","Active","-","-","-","-"
http://www.amphenolpcd.com/sites/default/files/product-docs/modules/SJT502101_C.pdf,-,SJT502101-ND,SJT502101,Amphenol PCD,CONN RAIL 1.036"" L X 0.885"" W,0,0,"19.37000","0","25","SJT","Active","Rail","-","2","1.036"" L x 0.885"" W x 0.900"" H (26.31mm x 22.48mm x 22.86mm)"
http://www.amphenolpcd.com/sites/default/files/product-docs/modules/SJT502201_C.pdf,-,SJT502201-ND,SJT502201,Amphenol PCD,CONN RAIL 1.036"" L X 0.885"" W,0,0,"19.37000","0","25","SJT","Active","Rail","-","2","1.036"" L x 0.885"" W x 0.900"" H (26.31mm x 22.48mm x 22.86mm)"
-,-,SJT502401-ND,SJT502401,Amphenol PCD,"MODULE MOUNTING TRACK, 2 POSITIO",0,0,"19.37000","0","25","SJT","Active","Rail","-","2","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1-1773867-9_deutsch-ctj&DocType=DS&DocLang=English,-,CTJ-3D-02[V003]-ND,CTJ-3D-02 [V003],TE Connectivity Deutsch Connectors,RAIL ASSY,0,0,"19.44806","0","67","*","Active","-","-","-","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=CTL-xx&DocType=Customer+Drawing&DocLang=English,-,CTL-12-ND,CTL-12,TE Connectivity Deutsch Connectors,JUNCTION ASSY,0,0,"19.48701","0","67","*","Active","-","-","-","-"
