Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Type","Size","Cable Diameter","Legend","Color","Material"
http://www.panduit.com/heiler/PartDrawings/C-WAMP250W175-GB0239GN--ENG.pdf,//media.digikey.com/Photos/Panduit%20Corp%20Photos/MFG_MP250W175-C.jpg,298-14968-ND,MP250W175-C,Panduit Corp,MARKER PLATE,1950,0,"1.67000","0","1","100 per Pkg","MP","Active","Wire Marker, Cable Tie","1.75"" W x 2.50"" L (44.5mm x 63.5mm)","-","Blank","White","Nylon"
https://www.panduit.com/content/dam/panduit/en/products/assets/m/mm/mmp/mmp3/mmp350w17qm/media/C-IDMT350W17-Q--ENG.pdf,//media.digikey.com/photos/Panduit%20Corp%20Photos/MMP350W17-Q-M.JPG,298-16827-ND,MMP350W17-Q-M,Panduit Corp,"MARKER PLATE, TWO HOLES, 304 STA",2000,0,"1.84000","0","1","Bulk","Pan-Steel®","Active","Wire Marker, Cable Tie","1.73"" W x 3.50"" L (44.0mm x 89.0mm)","-","Blank","Silver","Stainless Steel 304"
https://www.panduit.com/content/dam/panduit/en/products/assets/m/mm/mmp/mmp3/mmp337w53mal4/media/D-SSCB35--SA-ENG-Perm-ID.pdf,//media.digikey.com/Photos/Panduit%20Corp%20Photos/MMP337W53-MAL-4.jpg,298-16825-ND,MMP337W53-MAL-4,Panduit Corp,"MARKER PLATE, ALUMINUM, 4 HOLE,",1000,0,"1.95000","0","1","Bulk","Pan-Steel®","Active","Wire Marker, Cable Tie","2.12"" W x 3.37"" L (53.8mm x 85.6mm)","-","Blank","Silver","Aluminum"
https://www.panduit.com/content/dam/panduit/en/products/assets/m/mm/mmp/mmp3/mmp337w53mal4/media/D-SSCB35--SA-ENG-Perm-ID.pdf,//media.digikey.com/Photos/Panduit%20Corp%20Photos/MMP337W71-MAL-3.jpg,298-16826-ND,MMP337W71-MAL-3,Panduit Corp,"MARKER PLATE, ALUMINUM, 4 HOLE,",1000,0,"1.95000","0","1","Bulk","Pan-Steel®","Active","Wire Marker, Cable Tie","2.12"" W x 3.37"" L (53.8mm x 85.6mm)","-","Blank","Silver","Aluminum"
http://www.panduit.com/heiler/PartDrawings/S4110002.pdf,-,298-18485-ND,MT150D-Q,Panduit Corp,TAG MKR 304 STL CIRCLE 1.5"",500,0,"2.03000","0","1","25 per Pkg","Pan-Steel®","Active","Wire Marker, Cable Tie","1.50"" Dia (38.1mm)","-","Blank","Silver","Stainless Steel 304"
https://www.panduit.com/content/dam/panduit/en/products/assets/m/mt/mt3/mt35/mt350w17d4hl/media/D-SSCB35--SA-ENG-Perm-ID.pdf,//media.digikey.com/Photos/Panduit%20Corp%20Photos/MFG_MT350W17-D-4HL.jpg,298-16830-ND,MT350W17-D-4HL,Panduit Corp,"MARKER TAG, 304 SS, 4 HOLE, 3.50",1000,0,"2.04000","0","1","Bulk","Pan-Steel®","Active","Wire Marker, Cable Tie","1.73"" W x 3.50"" L (44.0mm x 89.0mm)","-","Blank","Silver","Stainless Steel 304"
http://www.panduit.com/heiler/PartDrawings/C-IDPCM-0-C10796-R2--ENG.pdf,-,298-15283-ND,PCM-1,Panduit Corp,CARD MARKER WIRE SOLID NUMBER 1,488,0,"2.59000","0","1","36 per Card (Full Length); 25 Cards per Pkg","PAN-CODE™","Active","Wire Marker, Cards","0.25"" W x 1.50"" L (6.4mm x 38.1mm)","0.189"" ~ 0.382"" (4.80mm ~ 9.70mm)","1","White","Vinyl Cloth"
http://www1.panduit.com/heiler/PartDrawings/C-IDPCM-0-9--ENG.pdf,-,298-15266-ND,PCM-0-9,Panduit Corp,CARD MARKER WIRE SOLID,482,0,"2.72000","0","1","36 per Card (Full Length); 25 Cards per Pkg","-","Active","Wire Marker, Cards","0.25"" W x 1.50"" L (6.4mm x 38.1mm)","0.374"" (9.50mm)","0-9","White","Vinyl Cloth"
http://www.panduit.com/heiler/PartDrawings/C-IDPCM-0-C10796-R2--ENG.pdf,//media.digikey.com/Photos/Panduit%20Corp%20Photos/MFG_PCM-L1.jpg,298-15340-ND,PCM-L1,Panduit Corp,CARD MARKER WIRE SOLID,400,0,"2.72000","0","1","-","*","Active","-","-","-","-","-","-"
http://www.panduit.com/heiler/PartDrawings/C-IDPCM-0-C10796-R2--ENG.pdf,//media.digikey.com/Photos/Panduit%20Corp%20Photos/MFG_PCM-G.jpg,298-15337-ND,PCM-G,Panduit Corp,CARD MARKER WIRE SOLID,350,0,"2.72000","0","1","-","*","Active","-","-","-","-","-","-"
http://www.panduit.com/heiler/PartDrawings/C-IDPCM-0-C10796-R2--ENG.pdf,-,298-15294-ND,PCM-2,Panduit Corp,CARD MARKER WIRE SOLID NUMBER 2,343,0,"2.72000","0","1","36 per Card (Full Length); 25 Cards per Pkg","PAN-CODE™","Active","Wire Marker, Cards","0.25"" W x 1.50"" L (6.4mm x 38.1mm)","0.189"" ~ 0.382"" (4.80mm ~ 9.70mm)","2","White","Vinyl Cloth"
http://www.panduit.com/heiler/PartDrawings/C-IDPCM-0-C10796-R2--ENG.pdf,//media.digikey.com/Photos/Panduit%20Corp%20Photos/MFG_PCM-L2.jpg,298-15341-ND,PCM-L2,Panduit Corp,CARD MARKER WIRE SOLID,300,0,"2.72000","0","1","-","*","Active","-","-","-","-","-","-"
http://www1.panduit.com/heiler/PartDrawings/C-IDPCM-BLK--ENG.pdf,//media.digikey.com/Photos/Panduit%20Corp%20Photos/MFG_PCM-ORN.jpg,298-15344-ND,PCM-ORN,Panduit Corp,CARD MARKER WIRE SOLID,290,0,"2.72000","0","1","-","*","Active","-","-","-","-","-","-"
http://www.panduit.com/heiler/PartDrawings/C-IDPCM-0-C10796-R2--ENG.pdf,-,298-15305-ND,PCM-3,Panduit Corp,CARD MARKER WIRE SOLID NUMBER 3,288,0,"2.72000","0","1","36 per Card (Full Length); 25 Cards per Pkg","PAN-CODE™","Active","Wire Marker, Cards","0.25"" W x 1.50"" L (6.4mm x 38.1mm)","0.189"" ~ 0.382"" (4.80mm ~ 9.70mm)","3","White","Vinyl Cloth"
http://www.panduit.com/heiler/PartDrawings/C-IDPCM-0-C10796-R2--ENG.pdf,//media.digikey.com/Photos/Panduit%20Corp%20Photos/MFG_PCM-E.jpg,298-15335-ND,PCM-E,Panduit Corp,CARD MARKER WIRE SOLID,250,0,"2.72000","0","1","-","*","Active","-","-","-","-","-","-"
