Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Number of Cable Pairs","Diameter - Inside","Length - Overall","Sheath Opening","Features"
https://multimedia.3m.com/mws/media/41589O/motor-lead-splicing-kits-5300-series.pdf,-,3M159642-ND,5303 PIGTAIL,3M,WIRE SPLICE MOTOR KIT 1PAIR,3,0,"88.13000","0","1","5300","Active","Motor Splice Kit","1 Pair","-","-","-","-"
http://multimedia.3m.com/mws/media/37303O/82-a-series-power-cable-splice-kit.pdf,//media.digikey.com/Photos/3M%20Photos/MFG_82-A-Series.jpg,3M160692-ND,82-A3,3M,WIRE SPLICE PWR CBL KIT 1PAIR,1,0,"97.38000","0","1","Scotchcast™ 82-A","Active","Power Cable Splice Kit","1 Pair @ 400MCM (kcmil) - 3/0AWG","-","-","9.00"" (228.6mm)","Scotchcast No. 4 Resin"
https://multimedia.3m.com/mws/media/829862O/3m-scotchcast-flexible-power-cable-splicing-kits-82-f-82-bf.pdf,-,3M160696-ND,82-F2,3M,WIRE SPLICE PWR CBL KIT 1PAIR,1,0,"106.24000","0","1","Scotchcast™","Active","Power Cable Splice Kit","1 Pair @ 4/0-2/0 AWG","-","11.50"" (292.1mm)","-","-"
http://multimedia.3m.com/mws/media/806883O/slic-aerial-closures-and-terminals-brochure.pdf,-,3M157542-ND,SLIC-5.6X33-SES,3M,WIRE SPLICE AERIAL CLOSUR 1200PR,1,0,"128.64000","0","1","SLiC™","Active","Aerial Closure, Free-Breathing","1200 Pairs @ 26 AWG","5.600"" (142.24mm)","33.00"" (838.2mm)","21.00"" (533.4mm)","Floating Bond, Spiral End Seals"
https://multimedia.3m.com/mws/media/41589O/motor-lead-splicing-kits-5300-series.pdf,-,3M159650-ND,5318,3M,WIRE SPLICE MOTOR KIT 1PAIR,1,0,"161.85000","0","1","5300","Active","Motor Splice Kit","1 Pair","-","-","-","-"
https://multimedia.3m.com/mws/media/41589O/motor-lead-splicing-kits-5300-series.pdf,-,3M159651-ND,5382,3M,WIRE SPLICE MOTOR KIT 1PAIR,1,0,"465.26000","0","1","5300","Active","Motor Splice Kit","1 Pair","-","-","-","-"
https://multimedia.3m.com/mws/media/41589O/motor-lead-splicing-kits-5300-series.pdf,-,3M159652-ND,5383,3M,WIRE SPLICE MOTOR KIT 1PAIR,1,0,"566.91000","0","1","5300","Active","Motor Splice Kit","1 Pair","-","-","-","-"
-,-,OSCW-J-1/2-ND,OSCW-J-1/2,3M,WIRE SPLICE ENCLOSURE SYS,0,0,"21.04167","0","12","-","Active","Enclosure System, One Step","-","1.700"" (43.18mm)","4.50"" (114.3mm)","-","Chemical Resistant, UV Resistant"
-,-,OSCW-F-7/8-ND,OSCW-F-7/8,3M,WIRE SPLICE ENCLOSURE SYS,0,0,"26.30250","0","12","-","Active","Enclosure System, One Step","-","0.570"" (14.48mm)","7.58"" (192.5mm)","-","Chemical Resistant, UV Resistant"
http://solutions.3mschweiz.ch/3MContentRetrievalAPI/BlobServlet?locale=de_CH&lmd=1294914542000&assetId=1273675066989&assetType=MMM_Image&blobAttribute=ImageFile,//media.digikey.com/Photos/3M%20Photos/MFG_4560.jpg,4560-5-ND,4560-5,3M,5' ARMORCAST STRUCTURAL MATERIAL,0,0,"29.87800","0","5","*","Active","-","-","-","-","-","-"
-,-,85-10-ND,85-10,3M,MULTI-MOLD A DIE,0,0,"31.07000","0","1","*","Active","-","-","-","-","-","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=559308&DocType=Customer+Drawing&DocLang=English,-,559308-1-ND,559308-1,TE Connectivity AMP Connectors,WIRE SPLICE TRAY 6PAIR,0,0,"40.57000","0","1","RibbonMaster","Active","Tray, Splice","6 Pairs","-","12.50"" (317.5mm)","-","Ribbon Cable Splices"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=559405&DocType=Customer+Drawing&DocLang=English,-,559405-1-ND,559405-1,TE Connectivity AMP Connectors,WIRE SPLICE TRAY 6PAIR,0,0,"40.57000","0","1","RibbonMaster","Active","Tray, Splice","6 Pairs","-","12.50"" (317.5mm)","-","Discrete Cable Splices"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=E157&DocType=DS&DocLang=English,-,709794-000-ND,709794-000,TE Energy & Utilities,WIRE SPLICE WRAP AROUND COVER,0,0,"40.72000","0","1","GelWrap","Active","Wrap Around Splice Cover","-","0.800"" ~ 1.500"" (20.32mm ~ 38.10mm)","8.00"" (203.2mm)","-","PowerGel Sealing Gel"
