Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Shrinkage Ratio","Length","Diameter - Inner, Recovered","Diameter - Inner, Supplied","Wall Thickness - Nonrecovered","Color"
http://www.alphawire.com/Home/Products/TubingAccessories/FIT-Heat-Shrink-Tubing/Shrink-Tubing/FITFAB1?device=pdf,//media.digikey.com/photos/Alpha%20Wire%20Photos/FITFAB-1%20BK007.JPG,A0471B-50-ND,FITFAB-1 BK007,Alpha Wire,HEATSHRINK FABRIC .47"" X 50',11,0,"158.38000","0","1","FIT®","Active","2 to 1","50.00' (15.24m)","0.24"" (6.1mm)","0.47"" (11.9mm)","0.040"" (1.02mm)","Black"
http://www.alphawire.com/Home/Products/TubingAccessories/FIT-Heat-Shrink-Tubing/Shrink-Tubing/FITFAB4?device=pdf,//media.digikey.com/photos/Alpha%20Wire%20Photos/FITFAB-4%20BK007.JPG,A1574B-50-ND,FITFAB-4 BK007,Alpha Wire,HEATSHRINK FABRIC 1.57"" X 50',2,0,"234.50000","0","1","FIT®","Active","2 to 1","50.00' (15.24m)","0.79"" (20.1mm)","1.57"" (39.9mm)","0.040"" (1.02mm)","Black"
http://www.alphawire.com/Home/Products/TubingAccessories/FIT-Heat-Shrink-Tubing/Shrink-Tubing/FITFAB4?device=pdf,//media.digikey.com/photos/Alpha%20Wire%20Photos/FITFAB-4%20BK004.JPG,A1574B-200-ND,FITFAB-4 BK004,Alpha Wire,HEATSHRINK FABRIC 1.57""X200',2,0,"560.93000","0","1","FIT®","Active","2 to 1","200.0' (61.0m)","0.79"" (20.1mm)","1.57"" (39.9mm)","0.040"" (1.02mm)","Black"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=HFT5000&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/HFT5000-20%5E10-0-SP.JPG,HFT2010-400-ND,HFT5000-20/10-0-SP,TE Connectivity Raychem Cable Protection,HEATSHRK FABRIC 20/10MM 400M BLK,2,0,"1095.58000","0","1","HFT5000","Active","2 to 1","1312.3' (400.0m)","0.39"" (9.9mm)","0.79"" (20.1mm)","-","Black"
http://www.alphawire.com/Home/Products/TubingAccessories/FIT-Heat-Shrink-Tubing/Shrink-Tubing/FITFAB2?device=pdf,//media.digikey.com/photos/Alpha%20Wire%20Photos/FITFAB-2%20BK004.JPG,A0792B-200-ND,FITFAB-2 BK004,Alpha Wire,HEATSHRINK FABRIC .79""X200',4,12,"453.38000","0","1","FIT®","Active","2 to 1","200.0' (61.0m)","0.39"" (9.9mm)","0.79"" (20.1mm)","0.040"" (1.02mm)","Black"
http://cdn.techflex.com/assets/pdfs/specification-sheets/h2f.pdf,//media.digikey.com/Photos/Techflex/MFG_H2F0.79BK.jpg,1030-1371-ND,H2F0.79BK25,Techflex,2:1 FAB HEATSHRINK BLK 20MM 25',20,0,"46.78000","0","1","Shrinkflex","Active","2 to 1","25.00' (7.62m)","0.39"" (9.9mm)","0.79"" (20.1mm)","-","Black"
http://www.alphawire.com/Home/Products/TubingAccessories/FIT-Heat-Shrink-Tubing/Shrink-Tubing/FITFAB5?device=pdf,//media.digikey.com/photos/Alpha%20Wire%20Photos/FITFAB-5%20BK008.JPG,A1975B-25-ND,FITFAB-5 BK008,Alpha Wire,HEATSHRINK FABRIC 1.97"" X 25',3,0,"170.62000","0","1","FIT®","Active","2 to 1","25.00' (7.62m)","0.98"" (24.9mm)","1.97"" (50.0mm)","0.040"" (1.02mm)","Black"
http://www.alphawire.com/Home/Products/TubingAccessories/FIT-Heat-Shrink-Tubing/Shrink-Tubing/FITFAB6?device=pdf,//media.digikey.com/photos/Alpha%20Wire%20Photos/FITFAB-6%20BK008.JPG,A2366B-25-ND,FITFAB-6 BK008,Alpha Wire,HEATSHRINK FABRIC 2.36"" X 25',3,0,"185.54000","0","1","FIT®","Active","2 to 1","25.00' (7.62m)","1.18"" (30.0mm)","2.36"" (59.9mm)","0.040"" (1.02mm)","Black"
http://www.alphawire.com/Home/Products/TubingAccessories/FIT-Heat-Shrink-Tubing/Shrink-Tubing/FITFAB7?device=pdf,//media.digikey.com/photos/Alpha%20Wire%20Photos/FITFAB-7%20BK008.jpg,A2767B-25-ND,FITFAB-7 BK008,Alpha Wire,HEATSHRINK FABRIC 2.76"" X 25',3,0,"214.15000","0","1","FIT®","Active","2 to 1","25.00' (7.62m)","1.38"" (35.1mm)","2.76"" (70.1mm)","0.040"" (1.02mm)","Black"
http://www.alphawire.com/Home/Products/TubingAccessories/FIT-Heat-Shrink-Tubing/Shrink-Tubing/FITFAB5?device=pdf,//media.digikey.com/photos/Alpha%20Wire%20Photos/FITFAB-5%20BK005.JPG,A1975B-100-ND,FITFAB-5 BK005,Alpha Wire,HEATSHRINK FABRIC 1.97""X100',5,0,"409.17000","0","1","FIT®","Active","2 to 1","100.0' (30.5m)","0.98"" (24.9mm)","1.97"" (50.0mm)","0.040"" (1.02mm)","Black"
