Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Diameter","Length","Color","Features"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=S02-XX-R&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/S02-03-R.jpg,A101231-ND,S02-03-R,"TE Connectivity Aerospace, Defense and Marine",SOLDERSLEEVE IMMERS RESIS .650"",1139,0,"2.70000","0","1","SolderSleeve S02","Active","Wire to Wire","0.170"" (4.32mm), 0.200"" (5.08mm)","0.650"" (16.51mm)","Transparent - Blue","Immersion Resistant, Pre-Installed Lead Wire"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=S02-XX-R&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/744861-000.jpg,S02-12-R-ND,S02-12-R,TE Connectivity Raychem Cable Protection,SHIELD TERMINATOR,719,0,"2.73000","0","1","SolderSleeve S02","Active","Wire to Wire","0.105"" (2.67mm), 0.145"" (3.68mm)","0.650"" (16.51mm)","Transparent - Blue","Pre-Installed Lead Wire"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=S02-XX-R&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/S02-09-R.JPG,A126010-ND,S02-09-R,"TE Connectivity Aerospace, Defense and Marine",SHIELD TERMINATOR,417,0,"3.08000","0","1","SolderSleeve S02","Active","Wire to Wire","0.235"" (5.97mm), 0.255"" (6.48mm)","0.750"" (19.05mm)","Transparent - Blue","Environment Resistant, Immersion Resistant, Pre-Installed Lead Wire"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=CWT-XX-W122-5&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/486085-000.jpg,CWT-9-W122-5-ND,CWT-9-W122-5,"TE Connectivity Aerospace, Defense and Marine",SHIELD TERMINATOR 22 AWG LEAD,1658,0,"3.10000","0","1","SolderSleeve CWT, One-Step","Active","Wire to Wire","0.343"" (8.71mm), 0.362"" (9.19mm)","1.398"" (35.52mm)","Clear","Pre-Installed Lead Wire"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=S02-XX-R&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/669507-000.jpg,S02-10-R-ND,S02-10-R,TE Connectivity Raychem Cable Protection,SHIELD TERMINATOR,517,0,"3.53000","0","1","SolderSleeve S02","Active","Wire to Wire","0.275"" (6.99mm), 0.300"" (7.62mm)","0.750"" (19.05mm)","Transparent - Blue","Immersion Resistant, Pre-Installed Lead Wire"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=SO63-A-55-GA-CL&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/764684-000.jpg,SO63-2-55-24-90-ND,SO63-2-55-24-90,TE Connectivity Raychem Cable Protection,SOLDER SHIELD TERM 24 AWG LEAD,2350,0,"3.65000","0","1","SolderSleeve SO63","Active","Wire to Wire","0.105"" (2.67mm), 0.145"" (3.68mm)","0.650"" (16.51mm)","Transparent - Blue","Immersion Resistant, Pre-Installed Lead Wire"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=SO63-A-55-GA-CL&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/photos/TE%20Connectivity/SO63-2-55-20-90.jpg,SO63-2-55-20-90-ND,SO63-2-55-20-90,TE Connectivity Raychem Cable Protection,SOLDER SHIELD TERM 20 AWG LEAD,986,0,"3.65000","0","1","SolderSleeve SO63","Active","Wire to Wire","0.105"" (2.67mm), 0.145"" (3.68mm)","0.650"" (16.51mm)","Transparent - Blue","Immersion Resistant, Pre-Installed Lead Wire"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=ST63-X-55-GA-CL&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/601934-000.jpg,A104770-ND,ST63-3-55-22-90,"TE Connectivity Aerospace, Defense and Marine",ST63-3-55-22-90,346,0,"3.90000","0","1","SolderSleeve ST63","Active","Wire to Wire","0.170"" (4.32mm), 0.200"" (5.08mm)","0.650"" (16.51mm)","Transparent - Blue","Pre-Installed Lead Wire"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=D-1744-01/-02/-03/-04&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/448859-000.JPG,A104746-ND,D-1744-01,"TE Connectivity Aerospace, Defense and Marine",D-1744-01,1892,0,"4.08000","0","1","SolderSleeve D-1744","Active","Wire to Wire","0.075"" (1.91mm), 0.095"" (2.41mm)","1.170"" (29.72mm)","Transparent - Blue","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=D-1744-01/-02/-03/-04&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/D-1744-03.JPG,A101222-ND,750648-000,"TE Connectivity Aerospace, Defense and Marine",SOLDERSLEEVE WIRE SPLICE .200"",1778,0,"4.53000","0","1","SolderSleeve D-1744","Active","Wire to Wire","0.180"" (4.57mm), 0.200"" (5.08mm)","1.165"" (29.59mm)","Transparent - Blue","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=SO63-A-55-GA-CL&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/882218-000.jpg,SO63-5-55-22-90-ND,SO63-5-55-22-90,"TE Connectivity Aerospace, Defense and Marine",SOLDER SHIELD TERM 22 AWG LEAD,673,0,"4.73000","0","1","SolderSleeve SO63","Active","Wire to Wire","0.275"" (6.99mm), 0.300"" (7.62mm)","0.750"" (19.05mm)","Transparent - Blue","Immersion Resistant, Pre-Installed Lead Wire"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=CWT-4XXX-W122-5/9&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/834799-000.jpg,A125996-ND,CWT-4174-W122-5/9,"TE Connectivity Aerospace, Defense and Marine",COAX TERMINATION KIT RG174,1611,0,"5.13000","0","1","SolderSleeve CWT, One-Step","Active","Wire to Wire","0.175"" (4.45mm)","0.827"" (21.00mm)","Clear","Pre-Installed Lead Wire"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=S03-0X-R-100&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/651105-000.jpg,A104797-ND,S03-03-R-100,"TE Connectivity Aerospace, Defense and Marine",S03-03-R-100,980,0,"5.23000","0","1","SolderSleeve S03","Active","Wire to Wire","0.170"" (4.32mm), 0.200"" (5.08mm)","0.650"" (16.51mm)","Transparent - Blue","Pre-Installed Braid"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=SO96-X-55-22-90&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/236834-000.jpg,SO96-2-55-22-90-ND,SO96-2-55-22-90,"TE Connectivity Aerospace, Defense and Marine",SOLDR SLV .105"" IMM RES W/LEAD,734,0,"5.70000","0","1","SolderSleeve SO96","Active","Wire to Wire","0.105"" (2.67mm), 0.145"" (3.68mm)","0.650"" (16.51mm)","Transparent - Blue","Immersion Resistant, Pre-Installed Lead Wire"
