Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Accessory Type","For Use With/Related Products","Material","Features"
-,-,2081-25722.9-ND,25722.9,Pflitsch,M20X1.5 LOCKNUT PABK,1500,0,"0.40000","0","1","-","Active","Locknut","Cable Glands","Polyamide (PA), Nylon","M20 Thread"
-,-,2081-25500.9-ND,25500.9,Pflitsch,M12X1.5 LOCKNUT NPB,1380,0,"0.40000","0","1","-","Active","Locknut","Cable Glands","Brass, Nickel Plated","M12 Thread"
http://www.panduit.com/heiler/CatalogCutSheets/CR2-M%20Product%20Page.pdf,//media.digikey.com/Photos/Panduit%20Corp%20Photos/MFG_CR4H-M0.jpg,298-14329-ND,CR4H-M0,Panduit Corp,"RING CONNECTOR, WR BLACK",7800,0,"0.45000","0","1","CR","Active","Connector Ring","M, I, S, HS, and LH Ties","Polyamide (PA66), Nylon 6/6","Weather Resistant"
http://contaclipinc.com/fileadmin/content/FlipViewer/New_Cord_Grips_Catalogue_2011/,-,2081-23001.9-ND,23001.9,Pflitsch,PG 9 LOCKNUT NPB,2500,0,"0.45000","0","1","-","Active","Locknut","PG9 Thread - Cable Glands","Brass, Nickel Plated","-"
-,-,2081-23002.9-ND,23002.9,Pflitsch,PG 11 LOCKNUT NPB,2500,0,"0.45000","0","1","-","Active","Locknut","Cable Glands","Brass, Nickel Plated","PG11 Thread"
-,-,2081-23054.9-ND,23054.9,Pflitsch,PG 16 LOCKNUT PALG,1500,0,"0.45000","0","1","-","Active","Locknut","Cable Glands","Polyamide (PA), Nylon","PG16 Thread"
-,-,2081-23064.9-ND,23064.9,"Conta-Clip, Inc.",PG 16 LOCKNUT PABK,1500,0,"0.45000","0","1","-","Active","Locknut","Cable Glands","Polyamide (PA), Nylon","PG16 Thread"
-,-,2081-25723.9-ND,25723.9,Pflitsch,M25X1.5 LOCKNUT PABK,1500,0,"0.45000","0","1","-","Active","Locknut","Cable Glands","Polyamide (PA), Nylon","M25 Thread"
-,-,2081-25513.9-ND,25513.9,Pflitsch,M25X1.5 LOCKNUT PALG,1496,0,"0.45000","0","1","-","Active","Locknut","Cable Glands","Polyamide (PA), Nylon","M25 Thread"
-,"//media.digikey.com/photos/Conta-Clip,%20Inc/23203.9.JPG",2081-23203.9-ND,23203.9,"Conta-Clip, Inc.",NPT 3/8"" LOCKNUT PALG,1100,0,"0.47000","0","1","-","Active","Locknut","Cable Glands","Polyamide (PA), Nylon","3/8"" NPT Thread"
-,"//media.digikey.com/photos/Conta-Clip,%20Inc/23207.9.JPG",2081-23207.9-ND,23207.9,"Conta-Clip, Inc.",NPT 3/8"" LOCKNUT PABK,1100,0,"0.47000","0","1","-","Active","Locknut","Cable Glands","Polyamide (PA), Nylon","3/8"" NPT Thread"
-,-,2081-23003.9-ND,23003.9,Pflitsch,PG 13.5 LOCKNUT NPB,2000,0,"0.49000","0","1","-","Active","Locknut","Cable Glands","Brass, Nickel Plated","PG13.5 Thread"
-,-,2081-25501.9-ND,25501.9,Pflitsch,M16X1.5 LOCKNUT NPB,1450,0,"0.52000","0","1","-","Active","Locknut","Cable Glands","Brass, Nickel Plated","M16 Thread"
-,-,2081-23208.9-ND,23208.9,"Conta-Clip, Inc.",NPT 1/2""LOCKNUT PABK,1500,0,"0.54000","0","1","-","Active","Locknut","Cable Glands","Polyamide (PA), Nylon","1/2"" NPT Thread"
-,-,2081-23004.9-ND,23004.9,Pflitsch,PG 16 LOCKNUT NPB,1500,0,"0.56000","0","1","-","Active","Locknut","Cable Glands","Brass, Nickel Plated","PG16 Thread"
http://www.panduit.com/heiler/PartDrawings/C-SSMTHH-C-N41130--ENG.pdf,//media.digikey.com/photos/Panduit%20Corp%20Photos/MFG_MTHS-C.jpg,298-14975-ND,MTHH-C,Panduit Corp,BANDING HEAD 304 STAINLESS STEEL,2000,0,"0.83000","0","1","-","Active","Head - Banding","MBH-MR and MBH-TLR Banding","Stainless Steel 304","250 lb min Loop Tensile Strength"
http://www.panduit.com/heiler/PartDrawings/HBN_01.pdf,//media.digikey.com/Photos/Panduit%20Corp%20Photos/MFG_HBN.75-T.jpg,298-14545-ND,HBN.75-T,Panduit Corp,HARNESS BOARD NAILS,2250,0,"0.84000","0","1","Quick-Build™","Active","Nails, Harness Board","Harness Board","Steel, Nickel Plated","0.075"" Dia, 1.40"" Total Length, 0.75"" Exposed Length"
http://www.panduit.com/heiler/PartDrawings/HBN_01.pdf,//media.digikey.com/Photos/Panduit%20Corp%20Photos/HBN3-T.JPG,298-14547-ND,HBN2.5-T,Panduit Corp,HARNESS BOARD NAILS,1260,0,"0.93000","0","1","Quick-Build™","Active","Nails, Harness Board","Harness Board","Steel, Nickel Plated","0.107"" Dia, 3.16"" Total Length, 2.50"" Exposed Length"
http://www.panduit.com/heiler/Catalogs/D-CMCB02--SA-ENG-StrongHoldCatalog-W.pdf,//media.digikey.com/photos/Panduit%20Corp%20Photos/MFG_PCJ6.jpg,298-15265-ND,PCJ6,Panduit Corp,CLIP CABLE SUPPORT,5000,0,"1.05000","0","1","*","Active","-","-","-","-"
-,-,2081-25726.9-ND,25726.9,Pflitsch,M50X1.5 LOCKNUT PABK,200,0,"2.09000","0","1","-","Active","Locknut","Cable Glands","Polyamide (PA), Nylon","M50 Thread"
-,-,2081-25516.9-ND,25516.9,Pflitsch,M50X1.5 LOCKNUT PALG,150,0,"2.09000","0","1","-","Active","Locknut","Cable Glands","Polyamide (PA), Nylon","M50 Thread"
-,-,2081-25891.9-ND,25891.9,Pflitsch,M16X1.5 NPB LOCK NUT EMI/RFI,200,0,"2.14000","0","1","-","Active","Locknut","Cable Glands","Brass, Nickel Plated","M16 Thread"
-,-,2081-25727.9-ND,25727.9,Pflitsch,M63X1.5 LOCKNUT PABK,200,0,"2.33000","0","1","-","Active","Locknut","Cable Glands","Polyamide (PA), Nylon","M63 Thread"
-,-,2081-25517.9-ND,25517.9,Pflitsch,M63X1.5 LOCKNUT PALG,150,0,"2.33000","0","1","-","Active","Locknut","Cable Glands","Polyamide (PA), Nylon","M63 Thread"
-,-,2081-23201.9-ND,23201.9,Pflitsch,NPT 1/2"" LOCKNUT NPB,150,0,"2.35000","0","1","-","Active","Locknut","Cable Glands","Brass, Nickel Plated","1/2"" NPT Thread"
-,-,2081-25892.9-ND,25892.9,Pflitsch,M20X1.5 NPB LOCK NUT EMI/RFI,200,0,"2.48000","0","1","-","Active","Locknut","Cable Glands","Brass, Nickel Plated","M20 Thread"
-,-,2081-22802.9-ND,22802.9,Pflitsch,REDUCTION PG11/PG9,250,0,"2.51000","0","1","-","Active","Reducing Adapter","Cable Glands","Brass, Nickel Plated","PG11 to PG9"
-,-,2081-25893.9-ND,25893.9,Pflitsch,M25X1.5 NPB LOCK NUT EMI/RFI,300,0,"2.68000","0","1","-","Active","Locknut","Cable Glands","Brass, Nickel Plated","M25 Thread"
-,-,2081-25874.9-ND,25874.9,"Conta-Clip, Inc.",M25X1.5 THREADED PLUG,200,0,"2.95000","0","1","-","Active","-","-","-","-"
http://contaclipinc.com/fileadmin/content/FlipViewer/New_Cord_Grips_Catalogue_2011/,-,2081-23011.9-ND,23011.9,Pflitsch,PG 9 NPB LOCKNUT EMI/RFI,150,0,"2.95000","0","1","-","Active","Locknut","PG9 Thread - Cable Glands","Brass, Nickel Plated","-"
-,-,2081-23009.9-ND,23009.9,Pflitsch,PG 48 LOCKNUT NPB,150,0,"2.95000","0","1","-","Active","Locknut","Cable Glands","Brass, Nickel Plated","PG48 Thread"
http://contaclipinc.com/fileadmin/content/FlipViewer/New_Cord_Grips_Catalogue_2011/,-,2081-23012.9-ND,23012.9,Pflitsch,PG 11 NPB LOCKNUT EMI/RFI,150,0,"3.08000","0","1","-","Active","Locknut","PG11 Thread - Cable Glands","Brass, Nickel Plated","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=D-436-0096/-0098&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/650138-000.jpg,A132142-ND,650138-000,"TE Connectivity Aerospace, Defense and Marine",SEALING SLEEVE 0.025-0.170"" WIRE,244,0,"3.10000","0","1","-","Active","Sealing Sleeve, Heat Shrinkable","Splices","Polyvinylidene Fluoride (PVDF), Irradiated","Wire Diameter - 0.63mm ~ 4.32mm"
-,-,2081-25614.9-ND,25614.9,Pflitsch,M25X1.5 TO M20X1.5 REDUCTION,150,0,"3.35000","0","1","-","Active","Reducing Adapter","Cable Glands","Brass, Nickel Plated","M25 to M20"
-,//media.digikey.com/Photos/Pflitsch/25506.9.JPG,2081-25506.9-ND,25506.9,Pflitsch,M50X1.5 LOCKNUT NPB,138,0,"3.49000","0","1","-","Active","Locknut","Cable Glands","Brass, Nickel Plated","M50 Thread"
-,//media.digikey.com/Photos/Weidmuller/2584090000.jpg,281-3907-ND,2584090000,Weidmüller,"SEPARABLE LOCKNUT, BLACK",170,30,"3.66000","0","1","Cabtite LNS","Active","Locknut","Cabtite Cable Glands","Polyamide (PA), Nylon","M25 Thread"
-,//media.digikey.com/Photos/Weidmuller/MFG_2584110000.jpg,281-3908-ND,2584110000,Weidmüller,"SEPARABLE LOCKNUT, BLACK",168,218,"3.66000","0","1","Cabtite LNS","Active","Locknut","Cabtite Cable Glands","Polyamide (PA), Nylon","M20 Thread"
-,-,2081-22874.9-ND,22874.9,Pflitsch,ENLARGER PG16/PG21,200,0,"3.69000","0","1","-","Active","Adapter","Cable Glands","Brass, Nickel Plated","PG16 to PG21"
-,-,2081-25702.9-ND,25702.9,Pflitsch,M20X1.5 TO M25X1.5 ENLARGER,150,0,"3.82000","0","1","-","Active","Adapter","Cable Glands","Brass, Nickel Plated","M20 to M25"
-,-,2081-25894.9-ND,25894.9,Pflitsch,M32X1.5 NPB LOCK NUT EMI/RFI,200,0,"3.89000","0","1","-","Active","Locknut","Cable Glands","Brass, Nickel Plated","M32 Thread"
https://catalog.conta-clip.com/en/DataSheet/index/ordernumber/28517.4,-,2080-28517.4-ND,28517.4,"Conta-Clip, Inc.","KDS INLAY, T-SHAPE FOR LG & SM",500,0,"4.08000","0","1","KDSClick","Active","Grid Inlay","KDSClick Frames","Polyamide (PA66), Nylon 6/6, Glass Filled","T Shape"
-,-,2080-28516.4-ND,28516.4,"Conta-Clip, Inc.",KDS INLAY FOR VERTICAL SPLIT,495,0,"4.08000","0","1","KDSClick","Active","Grid Inlay","KDSClick Frames","Polyamide (PA66), Nylon 6/6, Glass Filled","I Shape"
-,-,2081-22812.9-ND,22812.9,Pflitsch,REDUCTION PG21/PG16,150,0,"4.11000","0","1","-","Active","Reducing Adapter","Cable Glands","Brass, Nickel Plated","PG21 to PG16"
-,//media.digikey.com/Photos/Weidmuller/2584070000.jpg,281-3905-ND,2584070000,Weidmüller,"SEPARABLE LOCKNUT, BLACK",160,495,"4.14000","0","1","Cabtite LNS","Active","Locknut","Cabtite Cable Glands","Polyamide (PA), Nylon","M32 Thread"
-,-,2080-28518.4-ND,28518.4,"Conta-Clip, Inc.",KDS INLAY FOR 4-WAY SPLITS,655,0,"4.32000","0","1","KDSClick","Active","Grid Inlay","KDSClick Frames","Polyamide (PA66), Nylon 6/6, Glass Filled","T Shape"
-,-,2080-28519.4-ND,28519.4,"Conta-Clip, Inc.",KDS INLAY FOR 6-WAY SPLITS,327,0,"4.32000","0","1","KDSClick","Active","Grid Inlay","KDSClick Frames","Polyamide (PA66), Nylon 6/6, Glass Filled","H Shape"
-,-,2081-25507.9-ND,25507.9,Pflitsch,M63X1.5 LOCKNUT NPB,150,0,"4.56000","0","1","-","Active","Locknut","Cable Glands","Brass, Nickel Plated","M63 Thread"
http://www.alphawire.com/~/media/Files/MasterCatalog2011/FITWireMgmt.pdf,-,SLC3/8BK076-ND,SLC3/8 BK076,Alpha Wire,TUBING BLK 1,300,0,"4.89000","0","1","FIT® SLC","Active","Tubing - Straight Splicer","-","Polyamide (PA), Nylon","-"
http://www.alphawire.com/~/media/Files/MasterCatalog2011/FITWireMgmt.pdf,-,SLC1/2BK076-ND,SLC1/2 BK076,Alpha Wire,TUBING BLK,300,0,"5.14000","0","1","FIT® SLC","Active","Tubing - Straight Splicer","-","Polyamide (PA), Nylon","-"
-,-,2081-97603.9-ND,97603.9,Pflitsch,M24X1.5 NPB LOCK NUT EMI/RFI,150,0,"5.48000","0","1","-","Active","Locknut","Cable Glands","Brass, Nickel Plated","M24 Thread"
-,//media.digikey.com/Photos/Panduit%20Corp%20Photos/MFG_QB-WEH1416-Q.jpg,298-15741-ND,QB-WEH1416-Q,Panduit Corp,WIRE END HOLDER FOR QUICK-BUILD,1248,0,"6.35000","0","1","*","Active","-","-","-","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=D-436-48&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/7-1195133-8.JPG,7-1195133-8-ND,7-1195133-8,TE Connectivity Raychem Cable Protection,SEALING SLEEVE 0.150"" WIRE,1000,0,"7.03000","0","1","-","Active","Sealing Sleeve, Heat Shrinkable","Splices","Polyvinylidene Fluoride (PVDF), Irradiated","Wire Diameter - 3.81mm"
