Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Mounting Type","Size / Dimension","For Use With/Related Products","Material","Color"
http://www.panduit.com/heiler/PartDrawings/PBMS_H25_R1.pdf,-,298-20026-ND,PBMS-H25-M14,Panduit Corp,CABLE TIE MOUNT PUSH MOUNT,4000,0,"0.38000","0","1","-","Active","Single Opening","Push In - Reverse Snap Lock","0.42"" Dia x 0.40"" H (10.7mm x 10.2mm)","M, I, S Ties","Nylon","Gray"
http://www.panduit.com/heiler/PartDrawings/TMSTLH_R7.pdf,//media.digikey.com/photos/Panduit%20Corp%20Photos/TMSTLHS8-M0.JPG,298-9966-ND,TMSTLHS8-M0,Panduit Corp,TIE MNT THREADED 5/16"" STUD M8,1020,0,"0.38000","0","1","-","Active","Quad Opening","Stud, 5/16"" (M8)","1.25"" L x 0.48"" W x 0.95"" H (31.8mm x 12.2mm x 24.1mm)","M, I, S, LH, H Ties","Nylon, Impact Resistant, Weather Resistant","Black"
http://www.essentracomponents.com.sg/images-line/pdfs/FTH-39.EU.pdf,//media.digikey.com/Renders/Essentra%20Components/MFG_FTH-39-1-01.jpg,RPC3998-ND,FTH-39-1-01,Essentra Components,FLAT TIE HOLDER ARROW MNT NAT,2000,0,"0.39537","0","1000","FTH","Active","Single Opening","Push In - Arrowhead","0.24"" L x 0.64"" H (6.0mm x 16.2mm)","Cable Ties up to 0.098"" (2.5mm) Width","Nylon, Flame Retardant","Natural"
http://www.panduit.com/heiler/PartDrawings/C-WATM3S10-GB0239EN--ENG.pdf,-,298-20438-ND,TM3S2510-M39,Panduit Corp,CABLE TIE MOUNT #10 SCREW,4000,0,"0.40000","0","1","-","Active","Dual Opening","Screw, #10 (M5)","0.88"" L x 0.63"" W x 0.38"" H (22.3mm x 16.0mm x 9.6mm)","M, I, S, LH Ties","Nylon, Heat Stabilized for Temperatures up to 239°F","Natural"
http://www.panduit.com/heiler/CatalogCutSheets/TA1S8-C%20Product%20Page.pdf,"//media.digikey.com/photos/Panduit%20Corp%20Photos/MFG_TA2-(C,M).jpg",298-20420-ND,TA2-M,Panduit Corp,TIE ANCHOR,2000,0,"0.42000","0","1","-","Active","Single Opening","Screw, #10","1.22"" L x 0.50"" W x 0.12"" H (31.1mm x 12.7mm x 3.2mm)","M, I, S Ties","Nylon","Natural"
http://www.panduit.com/heiler/SelectionGuides/ABM%20Guide%20SA102N90-WA.PDF,//media.digikey.com/Photos/Panduit%20Corp%20Photos/MFG_TM1SX-X0.jpg,298-15888-ND,TM1S6-C0,Panduit Corp,CABLE TIE MOUNT #6 SCREW WR,1293,0,"0.43000","0","1","-","Active","Dual Opening","Screw, #6 (M3)","0.51"" L x 0.32"" W x 0.23"" H (13.0mm x 8.0mm x 5.8mm)","M Ties","Nylon, Weather Resistant","Black"
http://www.essentracomponents.com.sg/images-line/pdfs/FTH-7.pdf,//media.digikey.com/Photos/Essentra%20Components%20Photos/MFG_FTH-7-01-M.jpg,RPC4005-ND,FTH-7-01-M,Essentra Components,"TIE HOLD FLT WIT-50,60 1""",2000,0,"0.43235","0","1000","FTH","Active","Quad Opening","Screw, #8 (M4)","1.00"" L x 1.00"" W x 0.28"" H (25.4mm x 25.4mm x 7.1mm)","WIT-50, 60 and QTE-50 Ties","Nylon, Flame Retardant","Natural"
http://www.panduit.com/heiler/CatalogCutSheets/PM2H25-C%20Product%20Page.pdf,//media.digikey.com/photos/Panduit%20Corp%20Photos/pbms-h25-m0.JPG,298-9967-ND,PBMS-H25-M0,Panduit Corp,PUSH BUTTON MNT,3735,0,"0.44000","0","1","-","Active","Single Opening","Push In - Reverse Snap Lock","0.42"" Dia x 0.40"" H (10.7mm x 10.2mm)","M, I, S Ties","Nylon, Weather Resistant","Black"
http://www.panduit.com/heiler/PartDrawings/C-WATM3S10-GB0239EN--ENG.pdf,//media.digikey.com/Photos/Panduit%20Corp%20Photos/MFG_TMXXX-X.jpg,298-15912-ND,TM3S8-M,Panduit Corp,CABLE TIE MOUNT #8 SCREW,7583,0,"0.47000","0","1","-","Active","Dual Opening","Screw, #8 (M4)","0.86"" L x 0.61"" W x 0.37"" H (21.8mm x 15.5mm x 9.4mm)","M, I, S, LH Ties","Nylon","Natural"
http://www.panduit.com/heiler/PartDrawings/C-WATM3S10-GB0239EN--ENG.pdf,//media.digikey.com/Photos/Panduit%20Corp%20Photos/MFG_TMXXX-X.jpg,298-15908-ND,TM3S25-M,Panduit Corp,CABLE TIE MOUNT 1/4"" SCREW,6722,0,"0.47000","0","1","-","Active","Dual Opening","Screw, 1/4"" (M6)","0.88"" L x 0.63"" W x 0.38"" H (22.3mm x 16.0mm x 9.6mm)","M, I, S, LH Ties","Nylon","Natural"
