Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Frequency","Features","Size / Dimension"
https://www.jadaktech.com/wp-content/uploads/2019/03/EL6e-2nd-release-data-sheet-031819.pdf,-,1523-1513-ND,PLT-RFID-ANT-EL6E-NA,"ThingMagic, a JADAK brand",EL6E ANTENNA KIT NORTH AMERICA,50,0,"50.00000","0","1","-","-","Active","915MHz ~ 928MHz","-","-"
https://www.jadaktech.com/wp-content/uploads/2019/03/EL6e-2nd-release-data-sheet-031819.pdf,-,1523-1514-ND,PLT-RFID-ANT-EL6E-EU,"ThingMagic, a JADAK brand",EL6E RFID ANTENNA KIT EUROPE,49,0,"50.00000","0","1","-","-","Active","865MHz ~ 868MHz","-","-"
http://www.ia.omron.com/data_pdf/cat/v640_series_ds_e_10_3_csm1356.pdf,//media.digikey.com/Photos/Omron%20Auto/V640-HS61-2M.jpg,Z12671-ND,V640-HS61 2M,Omron Automation and Safety,TIRIS RFID ANTENNA FOR SEMI 2M,10,156,"262.89000","0","1","Bulk","V640","Active","134kHz","-","-"
https://www.feig-electronics.com/fileadmin/user_upload/Downloads/Datenblaetter/Data_sheet_Identification_Antennas_ID_ISC_ANT310_310.pdf,-,629-1073-ND,3249.000.00,FEIG Electronic,IDISC.ANT310/310-A HF ANTENNA,10,0,"585.13000","0","1","-","-","Active","13.56MHz","SMA Style","-"
https://abracon.com/NFC-antenna/ANFCA-2515-A02.pdf,//media.digikey.com/photos/Abracon%20Corporation%20Photos/ANFCA-2515-A02.JPG,535-12516-ND,ANFCA-2515-A02,Abracon LLC,NFC STAMP FLEX ANTENNA 25X15MM,646,0,"1.91000","0","1","Bulk","-","Obsolete","13.56MHz","-","-"
https://www.tdk-electronics.tdk.com/inf/30/ds/b82451l_e.pdf,//media.digikey.com/Photos/Epcos%20Photos/MFG_B82451L.jpg,495-7511-2-ND,B82451L2364E402,EPCOS (TDK),TRANSPONDER COIL 2.36MH 20 OHM,0,0,"0.92829","0","1500","Tape & Reel (TR)","Automotive, AEC-Q200, B82451L","Active","125kHz","-","-"
https://www.tdk-electronics.tdk.com/inf/30/ds/b82451l_e.pdf,//media.digikey.com/Photos/Epcos%20Photos/MFG_B82451L.jpg,495-7511-1-ND,B82451L2364E402,EPCOS (TDK),TRANSPONDER COIL 2.36MH 20 OHM,684,0,"2.24000","0","1","Cut Tape (CT)","Automotive, AEC-Q200, B82451L","Active","125kHz","-","-"
https://www.tdk-electronics.tdk.com/inf/30/ds/b82451l_e.pdf,//media.digikey.com/Photos/Epcos%20Photos/MFG_B82451L.jpg,495-7511-6-ND,B82451L2364E402,EPCOS (TDK),TRANSPONDER COIL 2.36MH 20 OHM,684,0,"Digi-Reel","0","1","Digi-Reel®","Automotive, AEC-Q200, B82451L","Active","125kHz","-","-"
https://www.tdk-electronics.tdk.com/inf/30/db/ind_2008/b82450a_a.pdf,//media.digikey.com/Renders/Epcos%20Renders/B82450A%20Series.jpg,495-2719-2-ND,B82450A1004A000,EPCOS (TDK),TRANSPONDER COIL 1MH SMD,0,0,"1.04415","0","2500","Tape & Reel (TR)","Automotive, AEC-Q200, B82450A","Active","125kHz","-","-"
https://www.tdk-electronics.tdk.com/inf/30/db/ind_2008/b82450a_a.pdf,//media.digikey.com/Renders/Epcos%20Renders/B82450A%20Series.jpg,495-2719-1-ND,B82450A1004A000,EPCOS (TDK),TRANSPONDER COIL 1MH SMD,624,0,"2.60000","0","1","Cut Tape (CT)","Automotive, AEC-Q200, B82450A","Active","125kHz","-","-"
