Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Frequency Range","Impedance - Unbalanced/Balanced","Phase Difference","Insertion Loss (Max)","Return Loss (Min)","Package / Case","Mounting Type"
https://www.johansontechnology.com/datasheets/1600BL15B050/1600BL15B050.pdf,//media.digikey.com/Renders/Johanson%20Tech%20Renders/2.45GHz%20Balun6.jpg,712-1026-2-ND,1600BL15B050E,Johanson Technology Inc.,BALUN 1.5GHZ-1.7GHZ 50/50 0805,24000,0,"0.25500","0","4000","Tape & Reel (TR)","1600","Active","1.5GHz ~ 1.7GHz","50 / 50Ohm","180° ±10°","1.0dB","9.5dB","0805 (2012 Metric)","Surface Mount"
https://www.johansontechnology.com/datasheets/1600BL15B050/1600BL15B050.pdf,//media.digikey.com/Renders/Johanson%20Tech%20Renders/2.45GHz%20Balun6.jpg,712-1026-1-ND,1600BL15B050E,Johanson Technology Inc.,BALUN 1.5GHZ-1.7GHZ 50/50 0805,25087,0,"0.83000","0","1","Cut Tape (CT)","1600","Active","1.5GHz ~ 1.7GHz","50 / 50Ohm","180° ±10°","1.0dB","9.5dB","0805 (2012 Metric)","Surface Mount"
https://www.johansontechnology.com/datasheets/1600BL15B050/1600BL15B050.pdf,//media.digikey.com/Renders/Johanson%20Tech%20Renders/2.45GHz%20Balun6.jpg,712-1026-6-ND,1600BL15B050E,Johanson Technology Inc.,BALUN 1.5GHZ-1.7GHZ 50/50 0805,25087,0,"Digi-Reel","0","1","Digi-Reel®","1600","Active","1.5GHz ~ 1.7GHz","50 / 50Ohm","180° ±10°","1.0dB","9.5dB","0805 (2012 Metric)","Surface Mount"
//media.digikey.com/pdf/Data%20Sheets/Johanson%20Technology/5400BL15B100.pdf,//media.digikey.com/Renders/Johanson%20Tech%20Renders/5.5GHz%20Balun6.jpg,712-1059-2-ND,5400BL15B100E,Johanson Technology Inc.,BALUN 4.9GHZ-5.9GHZ 50/100 0805,4000,0,"0.25500","0","4000","Tape & Reel (TR)","5400","Active","4.9GHz ~ 5.9GHz","50 / 100Ohm","180° ±10°","1.0dB","9.5dB","0805 (2012 Metric)","Surface Mount"
//media.digikey.com/pdf/Data%20Sheets/Johanson%20Technology/5400BL15B100.pdf,//media.digikey.com/Renders/Johanson%20Tech%20Renders/5.5GHz%20Balun6.jpg,712-1059-1-ND,5400BL15B100E,Johanson Technology Inc.,BALUN 4.9GHZ-5.9GHZ 50/100 0805,13888,0,"0.83000","0","1","Cut Tape (CT)","5400","Active","4.9GHz ~ 5.9GHz","50 / 100Ohm","180° ±10°","1.0dB","9.5dB","0805 (2012 Metric)","Surface Mount"
//media.digikey.com/pdf/Data%20Sheets/Johanson%20Technology/5400BL15B100.pdf,//media.digikey.com/Renders/Johanson%20Tech%20Renders/5.5GHz%20Balun6.jpg,712-1059-6-ND,5400BL15B100E,Johanson Technology Inc.,BALUN 4.9GHZ-5.9GHZ 50/100 0805,13888,0,"Digi-Reel","0","1","Digi-Reel®","5400","Active","4.9GHz ~ 5.9GHz","50 / 100Ohm","180° ±10°","1.0dB","9.5dB","0805 (2012 Metric)","Surface Mount"
http://www.st.com/content/ccc/resource/technical/document/datasheet/88/54/7c/fd/6d/9c/46/74/DM00055606.pdf/files/DM00055606.pdf/jcr:content/translations/en.DM00055606.pdf,"//media.digikey.com/Renders/STMicro%20Renders/5-UFBGA,%20FCBGA.jpg",497-13637-2-ND,BAL-NRF01D3,STMicroelectronics,BALUN 2.4GHZ-2.54GHZ 5WFBGA,120000,0,"0.27000","0","5000","Tape & Reel (TR)","-","Active","2.4GHz ~ 2.54GHz","50 / -Ohm","3°","2.25dB","10dB","5-WFBGA, FCBGA","Surface Mount"
http://www.st.com/content/ccc/resource/technical/document/datasheet/88/54/7c/fd/6d/9c/46/74/DM00055606.pdf/files/DM00055606.pdf/jcr:content/translations/en.DM00055606.pdf,"//media.digikey.com/Renders/STMicro%20Renders/5-UFBGA,%20FCBGA.jpg",497-13637-1-ND,BAL-NRF01D3,STMicroelectronics,BALUN 2.4GHZ-2.54GHZ 5WFBGA,120768,0,"0.77000","0","1","Cut Tape (CT)","-","Active","2.4GHz ~ 2.54GHz","50 / -Ohm","3°","2.25dB","10dB","5-WFBGA, FCBGA","Surface Mount"
http://www.st.com/content/ccc/resource/technical/document/datasheet/88/54/7c/fd/6d/9c/46/74/DM00055606.pdf/files/DM00055606.pdf/jcr:content/translations/en.DM00055606.pdf,"//media.digikey.com/Renders/STMicro%20Renders/5-UFBGA,%20FCBGA.jpg",497-13637-6-ND,BAL-NRF01D3,STMicroelectronics,BALUN 2.4GHZ-2.54GHZ 5WFBGA,120768,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","2.4GHz ~ 2.54GHz","50 / -Ohm","3°","2.25dB","10dB","5-WFBGA, FCBGA","Surface Mount"
https://www.johansontechnology.com/datasheets/0868BM15C0001/0868BM15C0001.pdf,//media.digikey.com/Renders/Johanson%20Tech%20Renders/0805%282012%20Metric%29%206%20PC%20Pad.jpg,712-1569-2-ND,0868BM15C0001E,Johanson Technology Inc.,BALUN 863MHZ-873MHZ 0805,128000,0,"0.27720","0","4000","Tape & Reel (TR)","-","Active","863MHz ~ 873MHz","50 / -Ohm","180° ±15°","2.1dB","9.5dB","0805 (2012 Metric), 6 PC Pad","Surface Mount"
