Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","RF Type","Frequency","Number of Mixers","Gain","Noise Figure","Secondary Attributes","Current - Supply","Voltage - Supply","Package / Case","Supplier Device Package"
https://cdn.macom.com/datasheets/MAMX-011054.pdf,//media.digikey.com/Photos/MACom%20Technology%20Solutions/MFG_MAMX-011054.jpg,1465-1831-6-ND,MAMX-011054-TR0100,M/A-Com Technology Solutions,MIXER 18-46 GHZ 12-AQFN,110,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","Radar","18GHz ~ 46GHz","1","-","-","-","-","-","12-LFQFN Exposed Pad","12-AQFN (3x3)"
https://www.analog.com/media/en/technical-documentation/data-sheets/HMC8191.pdf,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/24-VFQFN%20Exposed%20Pad.jpg,1127-3689-2-ND,HMC8191LC4TR-R5,Analog Devices Inc.,"SMT I/Q MIXER, 3.0 TO 7.5 GHZ",0,0,"75.78636","0","500","Tape & Reel (TR)","-","Active","-","6GHz ~ 26GHz","2","-","-","-","-","-","24-CLCC Exposed Pad","24-LCC (4x4)"
https://www.analog.com/media/en/technical-documentation/data-sheets/HMC8191.pdf,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/24-VFQFN%20Exposed%20Pad.jpg,1127-3689-1-ND,HMC8191LC4TR-R5,Analog Devices Inc.,"SMT I/Q MIXER, 3.0 TO 7.5 GHZ",191,0,"107.12000","0","1","Cut Tape (CT)","-","Active","-","6GHz ~ 26GHz","2","-","-","-","-","-","24-CLCC Exposed Pad","24-LCC (4x4)"
https://www.analog.com/media/en/technical-documentation/data-sheets/HMC8191.pdf,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/24-VFQFN%20Exposed%20Pad.jpg,1127-3689-6-ND,HMC8191LC4TR-R5,Analog Devices Inc.,"SMT I/Q MIXER, 3.0 TO 7.5 GHZ",191,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","-","6GHz ~ 26GHz","2","-","-","-","-","-","24-CLCC Exposed Pad","24-LCC (4x4)"
https://www.analog.com/media/en/technical-documentation/data-sheets/hmc554a.pdf,//media.digikey.com/Renders/Hittite%20Microwave%20Renders/12-VFQFN%20Exposed%20Pad.jpg,1127-3755-ND,HMC554ALC3B,Analog Devices Inc.,IC MMIC MIXER DBL-BAL 12SMD,84,0,"51.83000","0","1","Strip","-","Active","VSAT","11GHz ~ 20GHz","1","-","8dB","-","-","-","12-CLCC Exposed Pad","12-CLCC (2.9x2.9)"
https://www.analog.com/media/en/technical-documentation/data-sheets/HMC8193.pdf,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/24-VFQFN%20Exposed%20Pad.jpg,1127-3659-ND,HMC8193LC4,Analog Devices Inc.,IC MMIC IQ MIXER 24SMD,96,50,"57.76000","0","1","Strip","-","Active","-","2.5GHz ~ 8.5GHz","2","-","15dB","-","153mA","3.3V","24-CLCC Exposed Pad","24-LCC (4x4)"
https://www.analog.com/media/en/technical-documentation/data-sheets/hmc264lc3b.pdf,//media.digikey.com/Renders/Hittite%20Microwave%20Renders/12-VFQFN%20Exposed%20Pad.jpg,1127-3435-ND,HMC264LC3B,Analog Devices Inc.,IC MIXER SUB-HARMONIC 12SMD,58,77,"63.44000","0","1","Bulk","-","Active","General Purpose","21GHz ~ 31GHz","1","-","9dB","-","28mA","3V ~ 4V","12-VFQFN Exposed Pad","12-SMT (3x3)"
https://www.analog.com/media/en/technical-documentation/data-sheets/hmc774alc3b.pdf,//media.digikey.com/Renders/Hittite%20Microwave%20Renders/12-VFQFN%20Exposed%20Pad.jpg,1127-3739-ND,HMC774ALC3B,Analog Devices Inc.,IC MMIC MIXER GAAS 12SMD,13,85,"99.05000","0","1","Strip","-","Active","VSAT","7GHz ~ 34GHz","1","-","-","-","-","-","12-CLCC Exposed Pad","12-CLCC (2.9x2.9)"
https://www.analog.com/media/en/technical-documentation/data-sheets/HMC8191.pdf,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/24-VFQFN%20Exposed%20Pad.jpg,1127-3138-ND,HMC8191LC4,Analog Devices Inc.,IC MMIC I/Q UPCONVERTER 32SMD,19,0,"102.02000","0","1","Strip","-","Active","-","6GHz ~ 26GHz","-","-","-","-","-","-","24-CLCC Exposed Pad","24-LCC (4x4)"
https://www.analog.com/media/en/technical-documentation/data-sheets/hmc1056.pdf,//media.digikey.com/Renders/Hittite%20Microwave%20Renders/20-QFN%20Pkg.jpg,1127-1668-ND,HMC1056LP4BE,Analog Devices Inc.,IC MMIC IQ MIXER GAAS 20SMD,21,232,"33.76000","0","1","Strip","-","Active","Radar","8GHz ~ 12GHz","2","-","-","Up Converter","-","-","20-VFQFN Exposed Pad","20-SMT (4x4)"
