Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Coupler Type","Frequency","Coupling Factor","Applications","Insertion Loss","Power - Max","Isolation","Return Loss","Package / Case","Supplier Device Package"
https://nardamiteq.com/docs/082-COUPLERS.PDF,//media.digikey.com/Photos/L3-Narda-MITEQ/MFG_4246B-10.JPG,1949-1018-ND,4246B-10,L3 Narda-MITEQ,RF DIR COUPLER 6GHZ-18GHZ MODULE,59,0,"814.90000","0","1","-","-","Active","Standard","6GHz ~ 18GHz","10dB","General Purpose","1.2dB","50W","-","-","Module","Module"
https://cdn.anaren.com/product-documents/Xinger/90DegreeHybridCouplers/C2327J5003AHF/C2327J5003AHF_DataSheet(Rev_D).pdf,//media.digikey.com/Renders/Anaren%20Renders/0805%20(2012%20Metric).jpg,1173-1081-2-ND,C2327J5003AHF,Anaren,RF DIR COUPLER 2.3-2.7GHZ 0805,8000,0,"0.39000","0","4000","Tape & Reel (TR)","Xinger®","Active","Standard","2.3GHz ~ 2.7GHz","3dB","General Purpose","0.3dB","4W","22dB","18dB","0805 (2012 Metric)","0805"
https://cdn.anaren.com/product-documents/Xinger/90DegreeHybridCouplers/C2327J5003AHF/C2327J5003AHF_DataSheet(Rev_D).pdf,//media.digikey.com/Renders/Anaren%20Renders/0805%20(2012%20Metric).jpg,1173-1081-1-ND,C2327J5003AHF,Anaren,RF DIR COUPLER 2.3-2.7GHZ 0805,8200,0,"0.77000","0","1","Cut Tape (CT)","Xinger®","Active","Standard","2.3GHz ~ 2.7GHz","3dB","General Purpose","0.3dB","4W","22dB","18dB","0805 (2012 Metric)","0805"
https://cdn.anaren.com/product-documents/Xinger/90DegreeHybridCouplers/C2327J5003AHF/C2327J5003AHF_DataSheet(Rev_D).pdf,//media.digikey.com/Renders/Anaren%20Renders/0805%20(2012%20Metric).jpg,1173-1081-6-ND,C2327J5003AHF,Anaren,RF DIR COUPLER 2.3-2.7GHZ 0805,8200,0,"Digi-Reel","0","1","Digi-Reel®","Xinger®","Active","Standard","2.3GHz ~ 2.7GHz","3dB","General Purpose","0.3dB","4W","22dB","18dB","0805 (2012 Metric)","0805"
https://cdn.anaren.com/product-documents/Xinger/90DegreeHybridCouplers/C1517J5003AHF/C1517J5003AHF_DataSheet(Rev_D).pdf,//media.digikey.com/Renders/Anaren%20Renders/0805%20(2012%20Metric).jpg,1173-1133-2-ND,C1517J5003AHF,Anaren,RF DIR COUPLER 1.5-1.7GHZ 0805,8000,0,"0.39000","0","4000","Tape & Reel (TR)","Xinger®","Active","Standard","1.5GHz ~ 1.7GHz","3dB","General Purpose","0.2dB","4W","28dB","25dB","0805 (2012 Metric)","0805"
https://cdn.anaren.com/product-documents/Xinger/90DegreeHybridCouplers/C1517J5003AHF/C1517J5003AHF_DataSheet(Rev_D).pdf,//media.digikey.com/Renders/Anaren%20Renders/0805%20(2012%20Metric).jpg,1173-1133-1-ND,C1517J5003AHF,Anaren,RF DIR COUPLER 1.5-1.7GHZ 0805,8243,0,"0.77000","0","1","Cut Tape (CT)","Xinger®","Active","Standard","1.5GHz ~ 1.7GHz","3dB","General Purpose","0.2dB","4W","28dB","25dB","0805 (2012 Metric)","0805"
https://cdn.anaren.com/product-documents/Xinger/90DegreeHybridCouplers/C1517J5003AHF/C1517J5003AHF_DataSheet(Rev_D).pdf,//media.digikey.com/Renders/Anaren%20Renders/0805%20(2012%20Metric).jpg,1173-1133-6-ND,C1517J5003AHF,Anaren,RF DIR COUPLER 1.5-1.7GHZ 0805,8243,0,"Digi-Reel","0","1","Digi-Reel®","Xinger®","Active","Standard","1.5GHz ~ 1.7GHz","3dB","General Purpose","0.2dB","4W","28dB","25dB","0805 (2012 Metric)","0805"
https://cdn.anaren.com/product-documents/Xinger/DirectionalCouplers/DC1722J5010AHF/DC1722J5010AHF_DataSheet(Rev_E).pdf,//media.digikey.com/Renders/Anaren%20Renders/0805%20(2012%20Metric).jpg,1173-1086-2-ND,DC1722J5010AHF,Anaren,RF DIR COUPLER 1.7-2.2GHZ 0805,0,0,"0.46000","0","4000","Tape & Reel (TR)","Xinger®","Active","Standard","1.7GHz ~ 2.2GHz","10.5dB","General Purpose","0.16dB","2W","-","20dB","0805 (2012 Metric)","0805 (2012 Metric)"
https://cdn.anaren.com/product-documents/Xinger/DirectionalCouplers/DC1722J5010AHF/DC1722J5010AHF_DataSheet(Rev_E).pdf,//media.digikey.com/Renders/Anaren%20Renders/0805%20(2012%20Metric).jpg,1173-1086-1-ND,DC1722J5010AHF,Anaren,RF DIR COUPLER 1.7-2.2GHZ 0805,2049,0,"0.88000","0","1","Cut Tape (CT)","Xinger®","Active","Standard","1.7GHz ~ 2.2GHz","10.5dB","General Purpose","0.16dB","2W","-","20dB","0805 (2012 Metric)","0805 (2012 Metric)"
https://cdn.anaren.com/product-documents/Xinger/DirectionalCouplers/DC1722J5010AHF/DC1722J5010AHF_DataSheet(Rev_E).pdf,//media.digikey.com/Renders/Anaren%20Renders/0805%20(2012%20Metric).jpg,1173-1086-6-ND,DC1722J5010AHF,Anaren,RF DIR COUPLER 1.7-2.2GHZ 0805,6049,0,"Digi-Reel","0","1","Digi-Reel®","Xinger®","Active","Standard","1.7GHz ~ 2.2GHz","10.5dB","General Purpose","0.16dB","2W","-","20dB","0805 (2012 Metric)","0805 (2012 Metric)"
