Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Frequency","RF Type","Input Range","Accuracy","Voltage - Supply","Current - Supply","Package / Case","Supplier Device Package"
-,-,MAX2206EBS-T-ND,MAX2206EBS-T,Maxim Integrated,IC RF DETECT 800MHZ-2GHZ 4UCSP,0,0,"Active","0","0","Tape & Reel (TR)","-","Active","800MHz ~ 2GHz","Cellular, GSM, EDGE","-25dB ~ 15dB","±0.3dB","2.7V ~ 5V","3.5mA","4-WFBGA, CSPBGA","4-UCSP (1.05x1.05)"
-,-,MAX2206EBS-T10-ND,MAX2206EBS-T10,Maxim Integrated,IC RF DETECT 800MHZ-2GHZ 4UCSP,0,0,"Active","0","0","Tape & Reel (TR)","-","Active","800MHz ~ 2GHz","Cellular, GSM, EDGE","-25dB ~ 15dB","±0.3dB","2.7V ~ 5V","3.5mA","4-WFBGA, CSPBGA","4-UCSP (1.05x1.05)"
-,-,MAX2208EBS-T-ND,MAX2208EBS-T,Maxim Integrated,IC RF DETECT 800MHZ-2GHZ 4UCSP,0,0,"Active","0","0","Tape & Reel (TR)","-","Active","800MHz ~ 2GHz","Cellular, CDMA","-10dBm ~ 15dBm","±0.3dB","2.7V ~ 5V","2mA","4-WFBGA, CSPBGA","4-UCSP (1.05x1.05)"
-,-,MAX2208EBS-T10-ND,MAX2208EBS-T10,Maxim Integrated,IC RF DETECT 800MHZ-2GHZ 4UCSP,0,0,"Active","0","0","Tape & Reel (TR)","-","Active","800MHz ~ 2GHz","Cellular, CDMA","-10dBm ~ 15dBm","±0.3dB","2.7V ~ 5V","2mA","4-WFBGA, CSPBGA","4-UCSP (1.05x1.05)"
-,//media.digikey.com/Renders/Maxim%20Renders/MSOP-8.jpg,MAX4000EUA-ND,MAX4000EUA,Maxim Integrated,IC RF DETECT 100MHZ-2.5GHZ 8UMAX,0,0,"Obsolete","0","5000","Tube","-","Obsolete","100MHz ~ 2.5GHz","Cellular, CDMA, GSM","-45dBm ~ 0dBm","-","2.7V ~ 5.5V","5.9mA","8-TSSOP, 8-MSOP (0.118"", 3.00mm Width)","8-uMAX"
-,//media.digikey.com/Renders/Maxim%20Renders/MSOP-8.jpg,MAX4000EUA-T-ND,MAX4000EUA-T,Maxim Integrated,IC RF DETECT 100MHZ-2.5GHZ 8UMAX,0,0,"Obsolete","0","5000","Tape & Reel (TR)","-","Obsolete","100MHz ~ 2.5GHz","Cellular, CDMA, GSM","-45dBm ~ 0dBm","-","2.7V ~ 5.5V","5.9mA","8-TSSOP, 8-MSOP (0.118"", 3.00mm Width)","8-uMAX"
-,//media.digikey.com/Renders/Maxim%20Renders/MSOP-8.jpg,MAX4001EUA-ND,MAX4001EUA,Maxim Integrated,IC RF DETECT 100MHZ-2.5GHZ 8UMAX,0,0,"Active","0","0","Tube","-","Active","100MHz ~ 2.5GHz","Cellular, CDMA, GSM","-35dBm ~ 10dBm","-","2.7V ~ 5.5V","5.9mA","8-TSSOP, 8-MSOP (0.118"", 3.00mm Width)","8-uMAX"
-,//media.digikey.com/Renders/Maxim%20Renders/MSOP-8.jpg,MAX4001EUA-T-ND,MAX4001EUA-T,Maxim Integrated,IC RF DETECT 100MHZ-2.5GHZ 8UMAX,0,0,"Active","0","0","Tape & Reel (TR)","-","Active","100MHz ~ 2.5GHz","Cellular, CDMA, GSM","-35dBm ~ 10dBm","-","2.7V ~ 5.5V","5.9mA","8-TSSOP, 8-MSOP (0.118"", 3.00mm Width)","8-uMAX"
-,//media.digikey.com/Renders/Maxim%20Renders/MSOP-8.jpg,MAX4002EUA-ND,MAX4002EUA,Maxim Integrated,IC RF DETECT 100MHZ-2.5GHZ 8UMAX,0,0,"Obsolete","0","5000","Tube","-","Obsolete","100MHz ~ 2.5GHz","Cellular, CDMA, GSM","-30dBm ~ 15dBm","-","2.7V ~ 5.5V","5.9mA","8-TSSOP, 8-MSOP (0.118"", 3.00mm Width)","8-uMAX"
-,//media.digikey.com/Renders/Maxim%20Renders/MSOP-8.jpg,MAX4002EUA-T-ND,MAX4002EUA-T,Maxim Integrated,IC RF DETECT 100MHZ-2.5GHZ 8UMAX,0,0,"Obsolete","0","5000","Tape & Reel (TR)","-","Obsolete","100MHz ~ 2.5GHz","Cellular, CDMA, GSM","-30dBm ~ 15dBm","-","2.7V ~ 5.5V","5.9mA","8-TSSOP, 8-MSOP (0.118"", 3.00mm Width)","8-uMAX"
