Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Function","LO Frequency","RF Frequency","P1dB","Gain","Noise Figure","Current - Supply","Voltage - Supply","Package / Case","Supplier Device Package"
https://www.analog.com/media/en/technical-documentation/data-sheets/ADL5387.pdf,//media.digikey.com/Renders/Analog%20Devices%20Renders/505;CP-24-2;CP;24.jpg,ADL5387ACPZ-R7DKR-ND,ADL5387ACPZ-R7,Analog Devices Inc.,RF DEMOD IC 30MHZ-2GHZ 24LFCSP,1284,3000,"Digi-Reel","0","1","Digi-Reel®","-","Active","Demodulator","100MHz ~ 4GHz","30MHz ~ 2GHz","12.8dBm","3.8dB","16.5dB","180mA","4.75V ~ 5.25V","24-VFQFN Exposed Pad, CSP","24-LFCSP-VQ (4x4)"
https://www.cmlmicro.com/wp-content/uploads/2017/10/CMX973-data-sheet.pdf,-,2032-1109-ND,CMX973Q5,CML Microcircuits,RF QUADRATURE MODULATOR / DEMODU,490,0,"13.97000","0","1","-","-","Active","Demodulator","40MHz ~ 600MHz","20MHz ~ 300MHz","-41dBm","56dB","10dB","3mA","3V ~ 3.6V","32-VFQFN Exposed Pad","32-VQFN (5x5)"
-,"//media.digikey.com/Photos/IDT,%20Integrated%20Device%20Technology/F1375NBGI.JPG",800-3181-ND,F1375NBGI,"IDT, Integrated Device Technology Inc",IC DEMODULATOR DPD 36VFQFPN,470,0,"16.96000","0","1","Tray","-","Active","-","-","-","-","-","-","-","-","-","-"
-,"//media.digikey.com/Renders/IDT,%20Integrated%20Device%20Technology%20Renders/800;NBG36;NBG;36.jpg",800-3179-ND,F1325NBGI,"IDT, Integrated Device Technology Inc",IC DEMODULATOR DPD 36VFQFPN,490,0,"17.27000","0","1","Tray","-","Active","-","-","-","-","-","-","-","-","-","-"
https://www.idt.com/document/dst/f1370-datasheet-rev4,"//media.digikey.com/Renders/IDT,%20Integrated%20Device%20Technology%20Renders/800;NBG36;NBG;36.jpg",800-3180-ND,F1370NBGI,"IDT, Integrated Device Technology Inc",RF DEMOD IC 1.45-2.7GHZ 36VFQFPN,485,0,"17.60000","0","1","Tray","-","Active","-","1.4GHz ~ 2.9GHz","1.45GHz ~ 2.7GHz","1dBm","12dB","17dB","325mA","5V","36-WFQFN Exposed Pad","36-VFQFPN (6x6)"
https://www.analog.com/media/en/technical-documentation/data-sheets/AD8333.pdf,//media.digikey.com/Renders/Analog%20Devices%20Renders/505;CP-32-7;CP;32.jpg,AD8333ACPZ-REEL7TR-ND,AD8333ACPZ-REEL7,Analog Devices Inc.,RF DEMOD IC 0HZ-50MHZ 32LFCSP,0,0,"12.17030","0","1500","Tape & Reel (TR)","-","Active","Demodulator","100kHz ~ 200MHz","0Hz ~ 50MHz","14.5dBm","4.7dB","11dB","51mA","4.5V ~ 6V","32-WFQFN Exposed Pad, CSP","32-LFCSP-WQ (5x5)"
https://www.analog.com/media/en/technical-documentation/data-sheets/AD8333.pdf,//media.digikey.com/Renders/Analog%20Devices%20Renders/505;CP-32-7;CP;32.jpg,AD8333ACPZ-REEL7CT-ND,AD8333ACPZ-REEL7,Analog Devices Inc.,RF DEMOD IC 0HZ-50MHZ 32LFCSP,862,0,"19.79000","0","1","Cut Tape (CT)","-","Active","Demodulator","100kHz ~ 200MHz","0Hz ~ 50MHz","14.5dBm","4.7dB","11dB","51mA","4.5V ~ 6V","32-WFQFN Exposed Pad, CSP","32-LFCSP-WQ (5x5)"
https://www.analog.com/media/en/technical-documentation/data-sheets/AD8333.pdf,//media.digikey.com/Renders/Analog%20Devices%20Renders/505;CP-32-7;CP;32.jpg,AD8333ACPZ-REEL7DKR-ND,AD8333ACPZ-REEL7,Analog Devices Inc.,RF DEMOD IC 0HZ-50MHZ 32LFCSP,862,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","Demodulator","100kHz ~ 200MHz","0Hz ~ 50MHz","14.5dBm","4.7dB","11dB","51mA","4.5V ~ 6V","32-WFQFN Exposed Pad, CSP","32-LFCSP-WQ (5x5)"
http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Ftrf3710,//media.digikey.com/Renders/Texas%20Instr%20Renders/48-VQFN-Exposed-Pad-RGZ.jpg,296-22071-2-ND,TRF3710IRGZT,Texas Instruments,RF DEMOD IC 1.7GHZ-2GHZ 48VQFN,0,3000,"15.97032","0","250","Tape & Reel (TR)","-","Active","Demodulator","1.7GHz ~ 2GHz","1.7GHz ~ 2GHz","-","45dB","14.5dB","360mA","4.5V ~ 5.5V","48-VFQFN Exposed Pad","48-VQFN (7x7)"
http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Ftrf3710,//media.digikey.com/Renders/Texas%20Instr%20Renders/48-VQFN-Exposed-Pad-RGZ.jpg,296-22071-1-ND,TRF3710IRGZT,Texas Instruments,RF DEMOD IC 1.7GHZ-2GHZ 48VQFN,788,3000,"22.12000","0","1","Cut Tape (CT)","-","Active","Demodulator","1.7GHz ~ 2GHz","1.7GHz ~ 2GHz","-","45dB","14.5dB","360mA","4.5V ~ 5.5V","48-VFQFN Exposed Pad","48-VQFN (7x7)"
