Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Frequency","Applications","Modulation or Protocol","Data Rate (Max)","Power - Output","Current - Transmitting","Data Interface","Antenna Connector","Memory Size","Features","Voltage - Supply","Operating Temperature","Package / Case"
//media.digikey.com/pdf/Data Sheets/Rohm PDFs/BH1425GWL.pdf,//media.digikey.com/renders/Rohm%20Renders/32-UCSP_UCSP50L%20Pkg.jpg,BH1425GWL-E2TR-ND,BH1425GWL-E2,Rohm Semiconductor,RF XMITTER FM 76-108MHZ 32UFBGA,0,0,"7.49000","0","2500","Tape & Reel (TR)","-","Not For New Designs","76MHz ~ 108MHz","Wireless Audio Link LSI","FM","-","-9dBm ~ -3dBm","20mA","PCB, Surface Mount","PCB, Surface Mount","-","-","2.7V ~ 4V","-20°C ~ 85°C","32-UFBGA, WLCSP"
//media.digikey.com/pdf/Data Sheets/Rohm PDFs/BH1425GWL.pdf,//media.digikey.com/renders/Rohm%20Renders/32-UCSP_UCSP50L%20Pkg.jpg,BH1425GWL-E2CT-ND,BH1425GWL-E2,Rohm Semiconductor,RF XMITTER FM 76-108MHZ 32UFBGA,0,0,"Discontinued at Digi-Key","0","1","Cut Tape (CT)","-","Discontinued at Digi-Key","76MHz ~ 108MHz","Wireless Audio Link LSI","FM","-","-9dBm ~ -3dBm","20mA","PCB, Surface Mount","PCB, Surface Mount","-","-","2.7V ~ 4V","-20°C ~ 85°C","32-UFBGA, WLCSP"
//media.digikey.com/pdf/Data Sheets/Rohm PDFs/BH1425GWL.pdf,//media.digikey.com/renders/Rohm%20Renders/32-UCSP_UCSP50L%20Pkg.jpg,BH1425GWL-E2DKR-ND,BH1425GWL-E2,Rohm Semiconductor,RF XMITTER FM 76-108MHZ 32UFBGA,0,0,"Digi-Reel","0","1","Digi-Reel®","-","Discontinued at Digi-Key","76MHz ~ 108MHz","Wireless Audio Link LSI","FM","-","-9dBm ~ -3dBm","20mA","PCB, Surface Mount","PCB, Surface Mount","-","-","2.7V ~ 4V","-20°C ~ 85°C","32-UFBGA, WLCSP"
http://www.hoperf.com/upload/rf/RFM67W-V1.2.pdf,//media.digikey.com/photos/RF%20Solutions%20Photos/RFM67W-433S2.JPG,RFM67W-433S2-ND,RFM67W-433S2,RF Solutions,RF TX IC FSK 433MHZ 16SMD MOD,0,0,"8.84615","0","13","Bulk","-","Active","433MHz","Home Automation, Remote Sensing, RKE","FSK, GFSK, GMSK, MSK, OOK","600kbps","17dBm","95mA","SPI","PCB, Surface Mount","-","-","1.8V ~ 3.7V","-40°C ~ 85°C","16-SMD Module"
http://www.hoperf.com/upload/rf/RFM67W-V1.2.pdf,//media.digikey.com/photos/RF%20Solutions%20Photos/RFM67W-868S2.JPG,RFM67W-868S2-ND,RFM67W-868S2,RF Solutions,RF TX IC FSK 868MHZ 16SMD MOD,0,0,"8.84615","0","13","Bulk","-","Active","868MHz","Home Automation, Remote Sensing, RKE","FSK, GFSK, GMSK, MSK, OOK","600kbps","17dBm","95mA","SPI","PCB, Surface Mount","-","-","1.8V ~ 3.7V","-40°C ~ 85°C","16-SMD Module"
"//media.digikey.com/pdf/Data%20Sheets/RF%20Solutions%20PDFs/FM-RTFQ,RRFQ.pdf",//media.digikey.com/photos/RF%20Solutions%20Photos/FM-RTFQ1-433SO.JPG,FM-RTFQ1-433SO-ND,FM-RTFQ1-433SO,RF Solutions,RF TX IC FM 433.92MHZ 6DIP MOD,0,0,"10.49000","0","10","Bulk","-","Active","433.92MHz","Car Alarms, Remote Sensing, Wireless Security","FM","9.6kbps","5dBm","7mA","PCB, Through Hole","PCB, Surface Mount","-","-","2.1V ~ 4V","-20°C ~ 85°C","6-DIP Module"
https://www.rfsolutions.co.uk/downloads/1462277403DSQFM-TX1-2.pdf,//media.digikey.com/Photos/RF%20Solutions%20Photos/MFG_QFM-TX1-433.jpg,QFM-TX1-433-ND,QFM-TX1-433,RF Solutions,RF XMITTER FM 433MHZ 6SMD MODULE,0,0,"12.07000","0","9","Bulk","-","Active","433MHz","General Purpose","FM","4.8kbps","10dBm","-","Solder Pad","Castellation","-","-","2.2V ~ 3.6V","-20°C ~ 85°C","6-SMD Module"
"//media.digikey.com/pdf/Data%20Sheets/Silicon%20Laboratories%20PDFs/SI4712,13-B30.pdf",//media.digikey.com/Renders/Silicon%20Labs%20Renders/336;20QFN-.60-3x3;M;20.jpg,SI4712-B30-GM-ND,SI4712-B30-GM,Silicon Labs,RF XMITTER FM 76-108MHZ 20UFQFN,0,0,"12.43003","0","624","Tray","-","Not For New Designs","76MHz ~ 108MHz","General Purpose","FM","-","-","18.8mA","PCB, Surface Mount","PCB, Surface Mount","-","-","2.7V ~ 5.5V","-20°C ~ 85°C","20-UFQFN Exposed Pad"
https://www.enocean.com/en/enocean_modules_902mhz/ptm-330u/data-sheet-pdf/,//media.digikey.com/Photos/Enocean%20Photos/MFG_PTM330U.jpg,PTM330U-ND,PTM330U,Enocean,RF TRANSMITTER FSK 902MHZ MODULE,0,0,"14.63870","0","100","Tray","-","Active","902MHz","General Purpose","FSK","125kbps","1dBm","-","PCB, Surface Mount","On-Board, Whip","-","-","-","-25°C ~ 65°C","Module"
https://www.analog.com/media/en/technical-documentation/data-sheets/HMC8200.pdf,//media.digikey.com/Renders/Analog%20Devices%20Renders/505;CP-32;CP;32.jpg,HMC8200LP5METR-ND,HMC8200LP5METR,Analog Devices Inc.,RF XMITTER 800MHZ-4GHZ 32VFQFN,0,0,"27.88690","0","500","Tape & Reel (TR)","-","Active","800MHz ~ 4GHz","General Purpose","-","-","-","540mA","SPI","-","-","-","3.3V","-40°C ~ 85°C","32-VFQFN Exposed Pad, CSP"
https://www.analog.com/media/en/technical-documentation/data-sheets/HMC8200.pdf,//media.digikey.com/Renders/Analog%20Devices%20Renders/505;CP-32;CP;32.jpg,1127-3286-ND,HMC8200LP5ME,Analog Devices Inc.,RF XMITTER 800MHZ-4GHZ 32VFQFN,0,1491,"35.01583","0","24","Strip","-","Active","800MHz ~ 4GHz","General Purpose","-","-","-","540mA","SPI","-","-","-","3.3V","-40°C ~ 85°C","32-VFQFN Exposed Pad, CSP"
https://cdn.sparkfun.com/assets/d/1/1/4/b/HX1_APRS.pdf,-,WRL-14740-ND,WRL-14740,SparkFun Electronics,HX1 VHF NARROW BAND FM APRS TRAN,0,0,"63.69000","0","1","-","-","Active","144.39MHz","General Purpose","FM","3kbps","24.7dBm","140mA","PCB, Surface Mount","PCB, Surface Mount","-","-","5V","-","7-SIP Module"
https://www.nxp.com/docs/en/data-sheet/OL2300.pdf,//media.digikey.com/Renders/NXP%20Semi%20Renders/16-HVQFN_SOT758-3.jpg,"OL2300NHN/F,118-ND","OL2300NHN/F,118",NXP USA Inc.,RF TX IC ASK 315/433MHZ 16VFQFN,0,0,"0.83312","0","6000","Tape & Reel (TR)","-","Active","315MHz, 433MHz, 868MHz, 915MHz","ISM","ASK, FSK","-","12dBm","14.5mA","PCB, Surface Mount","PCB, Surface Mount","-","PLL Frequency Synthesizer and PA","1.7V ~ 3.6V","-40°C ~ 85°C","16-VFQFN Exposed Pad"
http://www.nxp.com/documents/leaflet/75016809.pdf,-,PCF7921ATTM2AB1200-ND,PCF7921ATTM2AB1200,NXP USA Inc.,IC RF REMOTE WIRELESS 20-TSSOP,0,0,"1.53820","0","2500","-","-","Active","-","-","-","-","-","-","-","-","-","-","-","-","-"
-,-,PCF7921ATSM2AB1200-ND,PCF7921ATSM2AB1200,NXP USA Inc.,IC RF REMOTE WIRELESS 20-SSOP,0,0,"1.61916","0","1000","-","-","Active","-","-","-","-","-","-","-","-","-","-","-","-","-"
-,-,PCF7922ATT/D1AE07J-ND,PCF7922ATT/D1AE07J,NXP USA Inc.,IC REMOTE KEYLESS ENTRY 20TSSOP,0,0,"1.76145","0","2500","-","*","Active","-","-","-","-","-","-","-","-","-","-","-","-","-"
