Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Type","Height - Overall","Length - Overall","Width - Overall","Ventilation","Mounting Type"
https://leadertechinc.com/wp-content/uploads/2016/04/SMS-205-REV-D.pdf,//media.digikey.com/Photos/Leader-Tech-Inc/MFG_SMS-205C.jpg,1798-1186-ND,SMS-205C,Leader Tech Inc.,RF SHIELD 1"" X 1.522"" SMD,6262,0,"0.62000","0","1","Bulk","-","Active","Cover","0.079"" (2.01mm)","1.522"" (38.66mm)","1.000"" (25.40mm)","Vented","Surface Mount"
https://www.leadertechinc.com/assets/files/EngineeringDrawings/SMS-203-M.PDF,//media.digikey.com/Photos/Leader-Tech-Inc/MFG_SMS-203-M-F.jpg,1798-1183-2-ND,SMS-203-M-F,Leader Tech Inc.,RF SHIELD 1.058"" X 1.058"" SMD,9600,0,"0.73100","0","300","Tape & Reel (TR)","-","Active","Frame","0.200"" (5.08mm)","1.058"" (26.87mm)","1.058"" (26.87mm)","-","Surface Mount"
https://www.leadertechinc.com/assets/files/EngineeringDrawings/SMS-203-M.PDF,//media.digikey.com/Photos/Leader-Tech-Inc/MFG_SMS-203-M-F.jpg,1798-1183-1-ND,SMS-203-M-F,Leader Tech Inc.,RF SHIELD 1.058"" X 1.058"" SMD,9625,0,"1.23000","0","1","Cut Tape (CT)","-","Active","Frame","0.200"" (5.08mm)","1.058"" (26.87mm)","1.058"" (26.87mm)","-","Surface Mount"
https://www.leadertechinc.com/assets/files/EngineeringDrawings/SMS-203-M.PDF,//media.digikey.com/Photos/Leader-Tech-Inc/MFG_SMS-203-M-F.jpg,1798-1183-6-ND,SMS-203-M-F,Leader Tech Inc.,RF SHIELD 1.058"" X 1.058"" SMD,9625,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","Frame","0.200"" (5.08mm)","1.058"" (26.87mm)","1.058"" (26.87mm)","-","Surface Mount"
https://www.leadertechinc.com/assets/files/EngineeringDrawings/SMS-206.PDF,//media.digikey.com/Photos/Leader-Tech-Inc/MFG_SMS-206C.jpg,1798-1188-ND,SMS-206C,Leader Tech Inc.,RF SHIELD 1.348"" X 1.472"" SMD,1181,0,"0.80000","0","1","Bulk","-","Active","Cover","0.079"" (2.01mm)","1.472"" (37.39mm)","1.348"" (34.24mm)","Vented","Surface Mount"
https://www.leadertechinc.com/assets/files/EngineeringDrawings/SMS-402.PDF,//media.digikey.com/Photos/Leader-Tech-Inc/MFG_SMS-402F.jpg,1798-1209-2-ND,SMS-402F,Leader Tech Inc.,RF SHIELD 0.65"" X 0.65"" SMD,1400,0,"0.91000","0","700","Tape & Reel (TR)","-","Active","Frame","0.142"" (3.61mm)","0.650"" (16.51mm)","0.650"" (16.51mm)","-","Surface Mount"
https://www.leadertechinc.com/assets/files/EngineeringDrawings/SMS-402.PDF,//media.digikey.com/Photos/Leader-Tech-Inc/MFG_SMS-402F.jpg,1798-1209-1-ND,SMS-402F,Leader Tech Inc.,RF SHIELD 0.65"" X 0.65"" SMD,1702,0,"1.66000","0","1","Cut Tape (CT)","-","Active","Frame","0.142"" (3.61mm)","0.650"" (16.51mm)","0.650"" (16.51mm)","-","Surface Mount"
https://www.leadertechinc.com/assets/files/EngineeringDrawings/SMS-402.PDF,//media.digikey.com/Photos/Leader-Tech-Inc/MFG_SMS-402F.jpg,1798-1209-6-ND,SMS-402F,Leader Tech Inc.,RF SHIELD 0.65"" X 0.65"" SMD,1702,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","Frame","0.142"" (3.61mm)","0.650"" (16.51mm)","0.650"" (16.51mm)","-","Surface Mount"
https://leadertechinc.com/wp-content/uploads/2016/04/SMS-205-REV-D.pdf,//media.digikey.com/Photos/Leader-Tech-Inc/MFG_SMS-205F.jpg,1798-1187-2-ND,SMS-205F,Leader Tech Inc.,RF SHIELD 1"" X 1.5"" SMD,5500,0,"1.00000","0","250","Tape & Reel (TR)","-","Active","Frame","0.236"" (6.00mm)","1.500"" (38.10mm)","1.000"" (25.40mm)","-","Surface Mount"
https://leadertechinc.com/wp-content/uploads/2016/04/SMS-205-REV-D.pdf,//media.digikey.com/Photos/Leader-Tech-Inc/MFG_SMS-205F.jpg,1798-1187-1-ND,SMS-205F,Leader Tech Inc.,RF SHIELD 1"" X 1.5"" SMD,5695,0,"1.60000","0","1","Cut Tape (CT)","-","Active","Frame","0.236"" (6.00mm)","1.500"" (38.10mm)","1.000"" (25.40mm)","-","Surface Mount"
