Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Frequency","For Use With/Related Products","Supplied Contents"
http://ww1.microchip.com/downloads/en/DeviceDoc/atmel-4602-innovative-silicon-rfid-idic-solutions_brochure.pdf,//media.digikey.com/Photos/Atmel%20Photos/ATA5505-EK1.jpg,ATA5505-EK1-ND,ATA5505-EK1,Microchip Technology,KIT EVAL ATA5505,0,0,"Obsolete","0","4","-","Obsolete","RFID Reader","125kHz, 132kHz","ATA5505","Board(s)"
http://ww1.microchip.com/downloads/en/DeviceDoc/Atmel-4602-Innovative-Silicon-RFID-IDIC-Solutions_Brochure.pdf,//media.digikey.com/Photos/Atmel%20Photos/ATA6285-EK3.jpg,ATA6285-EK3-ND,ATA6285-EK3,Microchip Technology,EVAL ACTIVE RFID 125KHZ+315MHZ,0,0,"Obsolete","0","1","-","Obsolete","Transceiver","125kHz, 315MHz","ATA5279, ATA5746, ATA6285","Board(s)"
http://ww1.microchip.com/downloads/en/DeviceDoc/Atmel-4602-Innovative-Silicon-RFID-IDIC-Solutions_Brochure.pdf,//media.digikey.com/Photos/Atmel%20Photos/ATA6286-EK3.jpg,ATA6286-EK3-ND,ATA6286-EK3,Microchip Technology,EVAL ACTIVE RFID 125KHZ+433MHZ,0,0,"Obsolete","0","1","-","Obsolete","Transceiver","125kHz, 433MHz","ATA5279, ATA5745, ATA6286","Board(s)"
//media.digikey.com/pdf/Data%20Sheets/Ramtron/WM72016-6-EVAL-915-ANT.pdf,-,WM72016-6-EVAL-915-ANTRA-ND,WM72016-6-EVAL-915-ANT,Cypress Semiconductor Corp,EVAL KIT FOR WM72016 915MHZ,0,0,"Discontinued at Digi-Key","0","1","-","Discontinued at Digi-Key","F-RAM","915MHz","WM72016-6","Board(s)"
-,//media.digikey.com/Photos/Austria%20Microsystems/ACTIVE%20TAG%20REFERENCE%20DESIGN%20KIT.jpg,ACTIVETAGREFERENCEDESIGNKIT-ND,ACTIVE TAG REFERENCE DESIGN KIT,ams,KIT REFERENCE DESIGN AS3933/40,0,0,"Obsolete","0","1","-","Obsolete","Active Tag","-","AS3933, AS3940","Board(s)"
-,//media.digikey.com/Photos/Austria%20Microsystems/ACTIVE%20TAG%20KIT%20(USB%20DONGLE).jpg,ACTIVETAGKIT(USBDONGLE)-ND,ACTIVE TAG KIT (USB DONGLE),ams,KIT ACTIVE TAG USB AS3933/40,0,0,"Obsolete","0","1","-","Obsolete","Active Tag","-","AS3933, AS3940","Board(s)"
-,//media.digikey.com/Photos/Austria%20Microsystems/ACTIVE%20TAG%20EXPANSION%20KIT.jpg,ACTIVETAGEXPANSIONKIT-ND,ACTIVE TAG EXPANSION KIT,ams,KIT ACTIVE TAG EXPSN AS3933/40,0,0,"Obsolete","0","1","-","Obsolete","Active Tag","-","AS3933, AS3940","Board(s)"
-,//media.digikey.com/Photos/Austria%20Microsystems/AS3911%20AUT%20RD.jpg,AS3911-RD-AUT-ND,AS3911-RD-AUT,ams,AUTO DOORHANDLE REF SYST AS3911,0,0,"Obsolete","0","1","-","Obsolete","Near Field Communication (NFC)","13.54MHz","AS3911","Board(s), Cable(s)"
//media.digikey.com/pdf/Data%20Sheets/Austriamicrosystems%20PDFs/AS3931.pdf,//media.digikey.com/Photos/Austria%20Microsystems/AS3931%20DB.jpg,AS3931DB-ND,AS3931 DB,ams,BOARD DEMO FOR AS3931,0,0,"Obsolete","0","1","-","Obsolete","Receiver, ASK","-","AS3931","Board(s)"
-,//media.digikey.com/Photos/Austria%20Microsystems/AS3953-DK-ST.jpg,AS3953-DK-ST-ND,AS3953-DK-ST,ams,BOARD DEMO FOR AS3953,0,0,"Obsolete","0","1","-","Obsolete","Near Field Communication (NFC)","-","AS3953","Board(s)"
