Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Frequency","P1dB","Gain","Noise Figure","RF Type","Voltage - Supply","Current - Supply","Test Frequency","Package / Case","Supplier Device Package"
https://www.nxp.com/docs/en/data-sheet/BGU8019.pdf,//media.digikey.com/Renders/NXP%20Semi%20Renders/568;SOT1232;;6.jpg,568-13127-6-ND,BGU8019X,NXP USA Inc.,IC AMP GALIL 1.559-1.61GHZ 6XSON,7791,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","1.559GHz ~ 1.61GHz","-7dBm","18.5dB","0.55dB","Galileo, GLONASS, GPS","1.5V ~ 3.1V","4.6mA","1.575GHz","6-XFDFN","6-XSON, SOT1232 (1.1x0.7)"
https://www.nxp.com/docs/en/data-sheet/BGU7005.pdf,//media.digikey.com/renders/NXP%20Semi%20Renders/6-XSON_SOT886%20Pkg.jpg,568-4983-2-ND,"BGU7005,115",NXP USA Inc.,IC AMP GPS 850MHZ 1.9GHZ 6XSON,15000,0,"0.14996","0","5000","Tape & Reel (TR)","-","Active","850MHz, 1.9GHz","-11dBm","16.5dB","0.9dB","GPS","1.5V ~ 2.85V","4.5mA","1.575GHz","6-XFDFN","6-XSON, SOT886 (1.45x1)"
https://www.nxp.com/docs/en/data-sheet/BGU7005.pdf,//media.digikey.com/renders/NXP%20Semi%20Renders/6-XSON_SOT886%20Pkg.jpg,568-4983-1-ND,"BGU7005,115",NXP USA Inc.,IC AMP GPS 850MHZ 1.9GHZ 6XSON,18992,0,"0.42000","0","1","Cut Tape (CT)","-","Active","850MHz, 1.9GHz","-11dBm","16.5dB","0.9dB","GPS","1.5V ~ 2.85V","4.5mA","1.575GHz","6-XFDFN","6-XSON, SOT886 (1.45x1)"
https://www.nxp.com/docs/en/data-sheet/BGU7005.pdf,//media.digikey.com/renders/NXP%20Semi%20Renders/6-XSON_SOT886%20Pkg.jpg,568-4983-6-ND,"BGU7005,115",NXP USA Inc.,IC AMP GPS 850MHZ 1.9GHZ 6XSON,18992,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","850MHz, 1.9GHz","-11dBm","16.5dB","0.9dB","GPS","1.5V ~ 2.85V","4.5mA","1.575GHz","6-XFDFN","6-XSON, SOT886 (1.45x1)"
https://www.nxp.com/docs/en/data-sheet/BGU7007.pdf,//media.digikey.com/renders/NXP%20Semi%20Renders/6-XSON_SOT886%20Pkg.jpg,568-8389-2-ND,"BGU7007,115",NXP USA Inc.,IC RF AMP GPS 1575.42MHZ 6XSON,25000,0,"0.24204","0","5000","Tape & Reel (TR)","-","Active","1575.42MHz","-12dBm","18.5dB","0.85dB","GPS/GNSS","1.5V ~ 2.85V","12.8mA","1.559GHz ~ 1.61GHz","6-XFDFN","6-XSON, SOT886 (1.45x1)"
https://www.nxp.com/docs/en/data-sheet/BGU7007.pdf,//media.digikey.com/renders/NXP%20Semi%20Renders/6-XSON_SOT886%20Pkg.jpg,568-8389-1-ND,"BGU7007,115",NXP USA Inc.,IC RF AMP GPS 1575.42MHZ 6XSON,26256,0,"0.68000","0","1","Cut Tape (CT)","-","Active","1575.42MHz","-12dBm","18.5dB","0.85dB","GPS/GNSS","1.5V ~ 2.85V","12.8mA","1.559GHz ~ 1.61GHz","6-XFDFN","6-XSON, SOT886 (1.45x1)"
https://www.nxp.com/docs/en/data-sheet/BGU7007.pdf,//media.digikey.com/renders/NXP%20Semi%20Renders/6-XSON_SOT886%20Pkg.jpg,568-8389-6-ND,"BGU7007,115",NXP USA Inc.,IC RF AMP GPS 1575.42MHZ 6XSON,26256,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","1575.42MHz","-12dBm","18.5dB","0.85dB","GPS/GNSS","1.5V ~ 2.85V","12.8mA","1.559GHz ~ 1.61GHz","6-XFDFN","6-XSON, SOT886 (1.45x1)"
https://www.nxp.com/docs/en/data-sheet/BGU7224.pdf,//media.digikey.com/Renders/NXP%20Semi%20Renders/6-XFDFN.jpg,568-13125-2-ND,BGU7224X,NXP USA Inc.,IC RF AMP ISM 2.4GHZ 6HXSON,16000,0,"0.25995","0","4000","Tape & Reel (TR)","-","Active","2.4GHz ~ 2.5GHz","-","15dB","1dB","ISM","3V ~ 3.6V","13mA","2.5GHz","6-XFDFN Exposed Pad","6-HXSON (1.6x1.6)"
https://www.nxp.com/docs/en/data-sheet/BGU7224.pdf,//media.digikey.com/Renders/NXP%20Semi%20Renders/6-XFDFN.jpg,568-13125-1-ND,BGU7224X,NXP USA Inc.,IC RF AMP ISM 2.4GHZ 6HXSON,17203,0,"0.73000","0","1","Cut Tape (CT)","-","Active","2.4GHz ~ 2.5GHz","-","15dB","1dB","ISM","3V ~ 3.6V","13mA","2.5GHz","6-XFDFN Exposed Pad","6-HXSON (1.6x1.6)"
https://www.nxp.com/docs/en/data-sheet/BGU7224.pdf,//media.digikey.com/Renders/NXP%20Semi%20Renders/6-XFDFN.jpg,568-13125-6-ND,BGU7224X,NXP USA Inc.,IC RF AMP ISM 2.4GHZ 6HXSON,17203,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","2.4GHz ~ 2.5GHz","-","15dB","1dB","ISM","3V ~ 3.6V","13mA","2.5GHz","6-XFDFN Exposed Pad","6-HXSON (1.6x1.6)"
