Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Function","LO Frequency","RF Frequency","P1dB","Noise Floor","Output Power","Current - Supply","Voltage - Supply","Test Frequency","Package / Case"
https://www.cmlmicro.com/wp-content/uploads/2017/06/CMX993-993W-data-sheet.pdf,//media.digikey.com/Renders/CML%20Innovative%20Renders/2032;48VQFN-1-7x7;Q3;48.jpg,2032-1112-ND,CMX993Q3,CML Microcircuits,RF (I/Q) QUADRATURE MODULATOR,0,0,"11.65000","0","1","-","-","Active","Modulator","60MHz ~ 2GHz","30MHz ~ 1GHz","8dBm","-155dBm/Hz","3dBm","-","3V ~ 3.6V","-","48-VFQFN Exposed Pad"
http://www.linear.com/docs/18679,//media.digikey.com/Renders/Linear%20Tech%20Renders/161;05-08-1692;UF;16.jpg,LT5571EUF#PBF-ND,LT5571EUF#PBF,Linear Technology/Analog Devices,RF MODULATOR 620MHZ-1.1GHZ 16QFN,5,0,"11.99000","0","1","Tube","-","Active","Modulator","500MHz ~ 1.2GHz","620MHz ~ 1.1GHz","8.1dBm","-159dBm/Hz","-0.2dBm","120mA","4.5V ~ 5.25V","900MHz","16-WQFN Exposed Pad"
https://www.analog.com/media/en/technical-documentation/data-sheets/hmc696.pdf,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/24-QFN%20Exposed%20Pad.jpg,1127-3017-ND,HMC696LP4E,Analog Devices Inc.,RF MODULATOR 20MHZ-2.7GHZ 24QFN,6,0,"14.98000","0","1","Strip","-","Obsolete","Modulator","20MHz ~ 2.7GHz","20MHz ~ 2.7GHz","7dBm","-162dBm/Hz","-1dBm","160mA","4.5V ~ 5.5V","-","24-VFQFN Exposed Pad"
https://www.analog.com/media/en/technical-documentation/data-sheets/hmc697.pdf,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/24-QFN%20Exposed%20Pad.jpg,1127-1533-ND,HMC697LP4E,Analog Devices Inc.,RF MODULATOR 200MHZ-4GHZ 24VFQFN,12,0,"15.05000","0","1","Strip","-","Obsolete","Modulator","200MHz ~ 4GHz","200MHz ~ 4GHz","8dBm","-165dBm/Hz","3dBm","168mA","4.5V ~ 5.5V","-","24-VFQFN Exposed Pad"
https://www.analog.com/media/en/technical-documentation/data-sheets/hmc630.pdf,//media.digikey.com/Renders/Analog%20Devices%20Renders/505;16QFN-1-3x3;;16.jpg,HMC630LP3ETR-ND,HMC630LP3ETR,Analog Devices Inc.,RF MODULATOR 700MHZ-1GHZ 16VFQFN,0,0,"16.29382","0","500","Tape & Reel (TR)","-","Active","Vector Modulator, Mixer","-","700MHz ~ 1GHz","17dBm","-162dBm/Hz","-","92mA","8V","-","16-VFQFN Exposed Pad"
https://www.analog.com/media/en/technical-documentation/data-sheets/hmc500.pdf,//media.digikey.com/Renders/Analog%20Devices%20Renders/505;16QFN-1-3x3;;16.jpg,HMC500LP3ETR-ND,HMC500LP3ETR,Analog Devices Inc.,RF MODULATOR 1.8GHZ-2.2GHZ 16QFN,0,6500,"17.35736","0","500","Tape & Reel (TR)","-","Active","Vector Modulator, Mixer","-","1.8GHz ~ 2.2GHz","16dBm","-162dBm/Hz","-","90mA","8V","-","16-VFQFN Exposed Pad"
https://www.analog.com/media/en/technical-documentation/data-sheets/hmc795.pdf,//media.digikey.com/Renders/Analog%20Devices%20Renders/505;32QFN-1-5x5;;32.jpg,HMC795LP5ETR-ND,HMC795LP5ETR,Analog Devices Inc.,RF MODULATOR 50MHZ-2.8GHZ 32QFN,0,0,"18.20272","0","500","Tape & Reel (TR)","-","Active","Modulator","100MHz ~ 5.6GHz","50MHz ~ 2.8GHz","14dBm","-158dBm/Hz","-","127mA","4.5V ~ 5.5V","-","32-VFQFN Exposed Pad"
https://www.analog.com/media/en/technical-documentation/data-sheets/hmc500.pdf,//media.digikey.com/Renders/Analog%20Devices%20Renders/505;16QFN-1-3x3;;16.jpg,1127-1433-ND,HMC500LP3E,Analog Devices Inc.,RF MODULATOR 1.8GHZ-2.2GHZ 16QFN,0,312,"21.21462","0","39","Strip","-","Active","Vector Modulator, Mixer","-","1.8GHz ~ 2.2GHz","16dBm","-162dBm/Hz","-","90mA","8V","-","16-VFQFN Exposed Pad"
https://www.analog.com/media/en/technical-documentation/data-sheets/hmc498.pdf,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/24-VFQFN%20Exposed%20Pad.jpg,HMC498LC4TR-R5-ND,HMC498LC4TR-R5,Analog Devices Inc.,RF MODULATOR 17GHZ-24GHZ 24TFQFN,0,0,"50.97824","0","500","Tape & Reel (TR)","-","Active","Amplifier","17GHz ~ 24GHz","17GHz ~ 24GHz","25.5dBm","-","-","250mA","5V","-","24-TFQFN Exposed Pad"
//media.digikey.com/pdf/Data%20Sheets/Hittite%20Microwave%20PDFs/HMC7150LP3DE_Web.pdf,//media.digikey.com/Renders/Analog%20Devices%20Renders/505;16QFN-1-3x3;;16.jpg,HMC7150LP3DETR-ND,HMC7150LP3DETR,Analog Devices Inc.,RF MODULATOR 16VFQFN,0,0,"74.76222","0","500","Tape & Reel (TR)","-","Active","-","-","-","-","-","-","-","6V","-","16-VFQFN Exposed Pad"
