Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Type","Frequency Bands (Low / High)","Low Band Attenuation (min / max dB)","High Band Attenuation (min / max dB)","Return Loss (Low Band / High Band)","Mounting Type","Package / Case"
https://ds.yuden.co.jp/TYCOMPAS/ut/detail?pn=FI168P245030-T &u=M,//media.digikey.com/Renders/Taiyo%20Yuden%20Renders/0603-(1608-Metric).jpg,587-5645-1-ND,FI168P245030-T,Taiyo Yuden,RF DIPLEXER 1.584/5.425GHZ 0603,9295,0,"0.77000","0","1","Cut Tape (CT)","F6","Active","Diplexer","1.558GHz ~ 1.61GHz / 4.9GHz ~ 5.95GHz","26.00dB / -","32.00dB / -","-","Surface Mount","0603 (1608 Metric), 6 PC Pad"
https://ds.yuden.co.jp/TYCOMPAS/ut/detail?pn=FI168P245030-T &u=M,//media.digikey.com/Renders/Taiyo%20Yuden%20Renders/0603-(1608-Metric).jpg,587-5645-6-ND,FI168P245030-T,Taiyo Yuden,RF DIPLEXER 1.584/5.425GHZ 0603,9295,0,"Digi-Reel","0","1","Digi-Reel®","F6","Active","Diplexer","1.558GHz ~ 1.61GHz / 4.9GHz ~ 5.95GHz","26.00dB / -","32.00dB / -","-","Surface Mount","0603 (1608 Metric), 6 PC Pad"
https://www.johansontechnology.com/datasheets/2450DP15A5512/2450DP15A5512.pdf,//media.digikey.com/Renders/Johanson%20Tech%20Renders/Diplexer%200805(2012)6.jpg,712-1601-2-ND,2450DP15A5512E,Johanson Technology Inc.,RF DIPLEXER 2.45GHZ/5.51GHZ 0805,8000,0,"0.32550","0","4000","Tape & Reel (TR)","-","Active","Diplexer","2.4GHz  ~ 2.5GHz / 5.15GHz ~ 5.87GHz","20.00dB / 0.70dB","15.00dB / 0.90dB","9.5dB / 9.5dB","Surface Mount","0805 (2012 Metric)"
https://www.johansontechnology.com/datasheets/2450DP15A5512/2450DP15A5512.pdf,//media.digikey.com/Renders/Johanson%20Tech%20Renders/Diplexer%200805(2012)6.jpg,712-1601-1-ND,2450DP15A5512E,Johanson Technology Inc.,RF DIPLEXER 2.45GHZ/5.51GHZ 0805,10755,0,"0.85000","0","1","Cut Tape (CT)","-","Active","Diplexer","2.4GHz  ~ 2.5GHz / 5.15GHz ~ 5.87GHz","20.00dB / 0.70dB","15.00dB / 0.90dB","9.5dB / 9.5dB","Surface Mount","0805 (2012 Metric)"
https://www.johansontechnology.com/datasheets/2450DP15A5512/2450DP15A5512.pdf,//media.digikey.com/Renders/Johanson%20Tech%20Renders/Diplexer%200805(2012)6.jpg,712-1601-6-ND,2450DP15A5512E,Johanson Technology Inc.,RF DIPLEXER 2.45GHZ/5.51GHZ 0805,10755,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","Diplexer","2.4GHz  ~ 2.5GHz / 5.15GHz ~ 5.87GHz","20.00dB / 0.70dB","15.00dB / 0.90dB","9.5dB / 9.5dB","Surface Mount","0805 (2012 Metric)"
"//media.digikey.com/pdf/Data%20Sheets/TDK%20PDFs/DPX20585DT-4032A,%20DPX201990DT-4x14A2.pdf",//media.digikey.com/Renders/TDK%20Renders/DPX20.jpg,445-3981-2-ND,DPX201990DT-4014A2,TDK Corporation,RF DIPLEXER 859MHZ/1.92GHZ 0805,2000,0,"0.35000","0","2000","Tape & Reel (TR)","DPX","Active","Diplexer","824MHz ~ 894MHz / 1.85GHz ~ 1.99GHz","20.00dB / -","19.00dB / -","10.0dB / 10.0dB","Surface Mount","0805 (2012 Metric), 6 PC Pad"
"//media.digikey.com/pdf/Data%20Sheets/TDK%20PDFs/DPX20585DT-4032A,%20DPX201990DT-4x14A2.pdf",//media.digikey.com/Renders/TDK%20Renders/DPX20.jpg,445-3981-1-ND,DPX201990DT-4014A2,TDK Corporation,RF DIPLEXER 859MHZ/1.92GHZ 0805,4651,0,"1.42000","0","1","Cut Tape (CT)","DPX","Active","Diplexer","824MHz ~ 894MHz / 1.85GHz ~ 1.99GHz","20.00dB / -","19.00dB / -","10.0dB / 10.0dB","Surface Mount","0805 (2012 Metric), 6 PC Pad"
"//media.digikey.com/pdf/Data%20Sheets/TDK%20PDFs/DPX20585DT-4032A,%20DPX201990DT-4x14A2.pdf",//media.digikey.com/Renders/TDK%20Renders/DPX20.jpg,445-3981-6-ND,DPX201990DT-4014A2,TDK Corporation,RF DIPLEXER 859MHZ/1.92GHZ 0805,4651,0,"Digi-Reel","0","1","Digi-Reel®","DPX","Active","Diplexer","824MHz ~ 894MHz / 1.85GHz ~ 1.99GHz","20.00dB / -","19.00dB / -","10.0dB / 10.0dB","Surface Mount","0805 (2012 Metric), 6 PC Pad"
https://product.tdk.com/info/en/documents/data_sheet/rf_dpx_dpx202690dt-4049a2_en.pdf,//media.digikey.com/Renders/TDK%20Renders/DPX20.jpg,445-6879-2-ND,DPX202690DT-4049A2,TDK Corporation,RF DIPLEXER 832MHZ/2.2GHZ 0805,2000,0,"0.35000","0","2000","Tape & Reel (TR)","DPX","Active","Diplexer","704MHz ~ 960MHz / 1.71GHz ~ 2.69GHz","-","-","17.9dB / 8.8dB","Surface Mount","0805 (2012 Metric), 6 PC Pad"
https://product.tdk.com/info/en/documents/data_sheet/rf_dpx_dpx202690dt-4049a2_en.pdf,//media.digikey.com/Renders/TDK%20Renders/DPX20.jpg,445-6879-1-ND,DPX202690DT-4049A2,TDK Corporation,RF DIPLEXER 832MHZ/2.2GHZ 0805,3486,0,"0.92000","0","1","Cut Tape (CT)","DPX","Active","Diplexer","704MHz ~ 960MHz / 1.71GHz ~ 2.69GHz","-","-","17.9dB / 8.8dB","Surface Mount","0805 (2012 Metric), 6 PC Pad"
