Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Insertion Loss","Frequency","Specifications","Size / Dimension","Package / Case"
https://cdn.anaren.com/product-documents/Xinger/PowerDividers/PD1722J5050S2HF/PD1722J5050S2HF_DataSheet(Rev_B).pdf,//media.digikey.com/Renders/Anaren%20Renders/0805%20(2012%20Metric).jpg,1173-1097-6-ND,PD1722J5050S2HF,Anaren,RF POWER DVDR 1.7GHZ-2.2GHZ 0805,4737,0,"Digi-Reel","0","1","Digi-Reel®","Xinger®","Active","0.6dB","1.7GHz ~ 2.2GHz","Isolation (Min) 15dB, 3% Imbalance (Max)","0.079"" L x 0.050"" W (2.00mm x 1.27mm)","0805 (2012 Metric)"
https://product.tdk.com/info/en/documents/data_sheet/rf_coupler_hhm2293a1_en.pdf,//media.digikey.com/photos/TDK%20Photos/MFG_HHM2215SA5.jpg,445-175623-2-ND,HHM2293A1,TDK Corporation,RF POWER DVDR 2.4GHZ-2.5GHZ 0603,4000,0,"0.10880","0","4000","Tape & Reel (TR)","-","Active","4dB","2.4GHz ~ 2.5GHz","Isolation (Min) 15dB, 14dB Return Loss","0.063"" L x 0.031"" W x 0.028"" H (1.60mm x 0.80mm x 0.70mm)","0603 (1608 Metric), 6 PC Pad"
https://product.tdk.com/info/en/documents/data_sheet/rf_coupler_hhm2293a1_en.pdf,//media.digikey.com/photos/TDK%20Photos/MFG_HHM2215SA5.jpg,445-175623-1-ND,HHM2293A1,TDK Corporation,RF POWER DVDR 2.4GHZ-2.5GHZ 0603,7928,0,"0.35000","0","1","Cut Tape (CT)","-","Active","4dB","2.4GHz ~ 2.5GHz","Isolation (Min) 15dB, 14dB Return Loss","0.063"" L x 0.031"" W x 0.028"" H (1.60mm x 0.80mm x 0.70mm)","0603 (1608 Metric), 6 PC Pad"
https://product.tdk.com/info/en/documents/data_sheet/rf_coupler_hhm2293a1_en.pdf,//media.digikey.com/photos/TDK%20Photos/MFG_HHM2215SA5.jpg,445-175623-6-ND,HHM2293A1,TDK Corporation,RF POWER DVDR 2.4GHZ-2.5GHZ 0603,7928,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","4dB","2.4GHz ~ 2.5GHz","Isolation (Min) 15dB, 14dB Return Loss","0.063"" L x 0.031"" W x 0.028"" H (1.60mm x 0.80mm x 0.70mm)","0603 (1608 Metric), 6 PC Pad"
https://cdn.macom.com/datasheets/MAPD-009278-5T1000.pdf,//media.digikey.com/Photos/MACom%20Technology%20Solutions/MFG_MAPD-009278-5T1000.jpg,1465-1845-2-ND,MAPD-009278-5T1000,M/A-Com Technology Solutions,RF PWR DVDR 5MHZ-1GHZ 6SMD MODUL,2000,2000,"1.26400","0","2000","Tape & Reel (TR)","-","Active","1.4dB","5MHz ~ 1GHz","Isolation (Min) 16dB, 25dB Return Loss, 4° Imbalance (Max)","0.175"" L x 0.166"" W x 0.118"" H (4.45mm x 4.22mm x 3.00mm)","6-SMD Module"
https://cdn.macom.com/datasheets/MAPD-009278-5T1000.pdf,//media.digikey.com/Photos/MACom%20Technology%20Solutions/MFG_MAPD-009278-5T1000.jpg,1465-1845-1-ND,MAPD-009278-5T1000,M/A-Com Technology Solutions,RF PWR DVDR 5MHZ-1GHZ 6SMD MODUL,2944,2000,"2.64000","0","1","Cut Tape (CT)","-","Active","1.4dB","5MHz ~ 1GHz","Isolation (Min) 16dB, 25dB Return Loss, 4° Imbalance (Max)","0.175"" L x 0.166"" W x 0.118"" H (4.45mm x 4.22mm x 3.00mm)","6-SMD Module"
https://cdn.macom.com/datasheets/MAPD-009278-5T1000.pdf,//media.digikey.com/Photos/MACom%20Technology%20Solutions/MFG_MAPD-009278-5T1000.jpg,1465-1845-6-ND,MAPD-009278-5T1000,M/A-Com Technology Solutions,RF PWR DVDR 5MHZ-1GHZ 6SMD MODUL,2944,2000,"Digi-Reel","0","1","Digi-Reel®","-","Active","1.4dB","5MHz ~ 1GHz","Isolation (Min) 16dB, 25dB Return Loss, 4° Imbalance (Max)","0.175"" L x 0.166"" W x 0.118"" H (4.45mm x 4.22mm x 3.00mm)","6-SMD Module"
https://cdn.macom.com/datasheets/MAPD-011053.pdf,//media.digikey.com/Photos/MACom%20Technology%20Solutions/MFG_MAPD-011053.jpg,1465-1857-2-ND,MAPD-011053,M/A-Com Technology Solutions,RF POWER DVDR 5MHZ-1.218GHZ 6SMD,2000,0,"1.86000","0","2000","Tape & Reel (TR)","-","Active","1.3dB","5MHz ~ 1.218GHz","Isolation (Min) 32dB, 30dB Return Loss, 6° Imbalance (Max)","0.173"" L x 0.167"" W x 0.124"" H (4.40mm x 4.25mm x 3.15mm)","6-SMD Module"
https://cdn.macom.com/datasheets/MAPD-011053.pdf,//media.digikey.com/Photos/MACom%20Technology%20Solutions/MFG_MAPD-011053.jpg,1465-1857-1-ND,MAPD-011053,M/A-Com Technology Solutions,RF POWER DVDR 5MHZ-1.218GHZ 6SMD,2000,0,"3.83000","0","1","Cut Tape (CT)","-","Active","1.3dB","5MHz ~ 1.218GHz","Isolation (Min) 32dB, 30dB Return Loss, 6° Imbalance (Max)","0.173"" L x 0.167"" W x 0.124"" H (4.40mm x 4.25mm x 3.15mm)","6-SMD Module"
https://cdn.macom.com/datasheets/MAPD-011053.pdf,//media.digikey.com/Photos/MACom%20Technology%20Solutions/MFG_MAPD-011053.jpg,1465-1857-6-ND,MAPD-011053,M/A-Com Technology Solutions,RF POWER DVDR 5MHZ-1.218GHZ 6SMD,2000,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","1.3dB","5MHz ~ 1.218GHz","Isolation (Min) 32dB, 30dB Return Loss, 6° Imbalance (Max)","0.173"" L x 0.167"" W x 0.124"" H (4.40mm x 4.25mm x 3.15mm)","6-SMD Module"
