Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","RF Type","Frequency","Features","Package / Case","Supplier Device Package"
https://www.analog.com/media/en/technical-documentation/data-sheets/AD8315.pdf,//media.digikey.com/Renders/Analog%20Devices%20Renders/RM-8.jpg,AD8315ARMZ-ND,AD8315ARMZ,Analog Devices Inc.,IC RF PWR CNTRL PA 2.5GHZ 8MSOP,0,0,"7.59920","0","100","Tube","-","Active","DCS, GSM, ISM","100MHz ~ 2.5GHz","-","8-TSSOP, 8-MSOP (0.118"", 3.00mm Width)","8-MSOP"
https://pdfserv.maximintegrated.com/en/ds/MAX4473.pdf,//media.digikey.com/Renders/Maxim%20Renders/8-SOIC.jpg,MAX4473ESA-ND,MAX4473ESA,Maxim Integrated,IC RF PWR CNTRL AMP PA GSM 8SOIC,0,0,"Obsolete","0","10000","Tube","-","Obsolete","GSM","-","-","8-SOIC (0.154"", 3.90mm Width)","8-SOIC"
https://pdfserv.maximintegrated.com/en/ds/MAX4473.pdf,//media.digikey.com/Renders/Maxim%20Renders/MSOP-8.jpg,MAX4473EUA-ND,MAX4473EUA,Maxim Integrated,IC RF PWR CNTRL AMP PA GSM 8UMAX,0,0,"Obsolete","0","10000","Tube","-","Obsolete","GSM","-","-","8-TSSOP, 8-MSOP (0.118"", 3.00mm Width)","8-uMAX"
-,//media.digikey.com/Renders/National%20Semi%20Renders/Pkg%20LQA16A.jpg,LMV248LQTR-ND,LMV248LQ,Texas Instruments,IC RF PWR CNTRL DUAL BAND 16WQFN,0,0,"Obsolete","0","1000","Tape & Reel (TR)","-","Obsolete","Cellular, GSM, DCS, PCS","-","Dual Band","16-WFQFN Exposed Pad","16-WQFN (4x4)"
-,//media.digikey.com/Renders/National%20Semi%20Renders/Pkg%20LQA16A.jpg,LMV248LQCT-ND,LMV248LQ,Texas Instruments,IC RF PWR CNTRL DUAL BAND 16WQFN,0,0,"Obsolete","0","1","Cut Tape (CT)","-","Obsolete","Cellular, GSM, DCS, PCS","-","Dual Band","16-WFQFN Exposed Pad","16-WQFN (4x4)"
-,//media.digikey.com/photos/National%20Semi%20Photos/LMV243BL.JPG,LMV243BLTR-ND,LMV243BL,Texas Instruments,IC RF PWR CNTRL 2GHZ 8DSBGA,0,0,"Obsolete","0","500","Tape & Reel (TR)","-","Obsolete","Cellular, GSM, TDMA, WLL","450MHz ~ 2GHz","Single Output, Quad Band","8-VFBGA, DSBGA","8-DSBGA (1.51x1.51)"
-,//media.digikey.com/photos/National%20Semi%20Photos/LMV243BL.JPG,LMV243BLCT-ND,LMV243BL,Texas Instruments,IC RF PWR CNTRL 2GHZ 8DSBGA,0,0,"Obsolete","0","1","Cut Tape (CT)","-","Obsolete","Cellular, GSM, TDMA, WLL","450MHz ~ 2GHz","Single Output, Quad Band","8-VFBGA, DSBGA","8-DSBGA (1.51x1.51)"
-,//media.digikey.com/photos/National%20Semi%20Photos/LMV243BL.JPG,LMV243BLDKR-ND,LMV243BL,Texas Instruments,IC RF PWR CNTRL 2GHZ 8DSBGA,0,0,"Digi-Reel","0","1","Digi-Reel®","-","Obsolete","Cellular, GSM, TDMA, WLL","450MHz ~ 2GHz","Single Output, Quad Band","8-VFBGA, DSBGA","8-DSBGA (1.51x1.51)"
http://www.intersil.com/content/dam/Intersil/documents/x947/x9470.pdf,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/24-TSSOP_SOT355-1.jpg,X9470V24I-ND,X9470V24I,Renesas Electronics America Inc.,IC RF PWR CNTRL BIAS PA 24TSSOP,0,0,"Obsolete","0","310","-","-","Obsolete","CDMA, GSM, EDGE","-","-","24-TSSOP (0.173"", 4.40mm Width)","24-TSSOP-EP"
//media.digikey.com/pdf/Data%20Sheets/Texas%20Instruments%20PDFs/TPS65040.pdf,-,296-21349-2-ND,TPS65040ZQER,Texas Instruments,IC RF PWR CNTRL PA MICROSTAR JR,0,0,"Obsolete","0","2500","Tape & Reel (TR)","-","Obsolete","Cellular, W-CDMA, CDMA, GSM, UMTS","-","-","71-VFBGA","71-BGA MicroStar Junior"
