Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Resistance","Tolerance","Power (Watts)","Composition","Features","Temperature Coefficient","Operating Temperature","Package / Case","Supplier Device Package","Size / Dimension","Height - Seated (Max)","Number of Terminations","Failure Rate"
http://www.ohmite.com/assets/docs/res_10.pdf?r=false,//media.digikey.com/Photos/Ohmite%20Photos/12FR010E.JPG,12FR010E-ND,12FR010E,Ohmite,RES 0.01 OHM 2W 1% AXIAL,5109,0,"3.22000","0","1","Bulk","10","Active","10 mOhms","±1%","2W","Metal Element","Current Sense, Non-Inductive","-","-55°C ~ 275°C","Axial","Axial","0.094"" Dia x 0.417"" L (2.40mm x 10.60mm)","-","2","-"
http://www.ohmite.com/assets/docs/res_10.pdf?r=false,//media.digikey.com/photos/Ohmite%20Photos/12FR%20SERIES%202W.jpg,12FR020E-ND,12FR020E,Ohmite,RES 0.02 OHM 2W 1% AXIAL,2291,0,"3.22000","0","1","Bulk","10","Active","20 mOhms","±1%","2W","Metal Element","Current Sense, Non-Inductive","-","-55°C ~ 275°C","Axial","Axial","0.094"" Dia x 0.417"" L (2.40mm x 10.60mm)","-","2","-"
http://www.ohmite.com/assets/docs/res_10.pdf?r=false,//media.digikey.com/photos/Ohmite%20Photos/15FR%20SERIES%205W.jpg,15FR100E-ND,15FR100E,Ohmite,RES 0.1 OHM 5W 1% AXIAL,2127,0,"3.23000","0","1","Bulk","10","Active","100 mOhms","±1%","5W","Metal Element","Current Sense, Non-Inductive","-","-55°C ~ 275°C","Axial","Axial","0.331"" Dia x 0.937"" L (8.40mm x 23.80mm)","-","2","-"
http://www.caddock.com/Online_catalog/Mrktg_Lit/TypeSR.pdf,//media.digikey.com/Photos/Caddock%20Elect%20Photos/SR10%20SERIES.JPG,SR10-0.010-FTR-ND,SR10-0.010-1%,Caddock Electronics Inc.,RES 0.01 OHM 1W 1% SR10,1750,0,"3.49652","0","250","Tape & Reel (TR)","SR","Active","10 mOhms","±1%","1W","Metal Element","Current Sense, Moisture Resistant, Non-Inductive","0/ +200ppm/°C","-15°C ~ 105°C","SR10","SR10","0.365"" L x 0.090"" W (9.27mm x 2.29mm)","0.385"" (9.78mm)","4","-"
http://www.caddock.com/Online_catalog/Mrktg_Lit/TypeSR.pdf,//media.digikey.com/Photos/Caddock%20Elect%20Photos/SR10%20SERIES.JPG,SR10-0.010-FCT-ND,SR10-0.010-1%,Caddock Electronics Inc.,RES 0.01 OHM 1W 1% SR10,1827,0,"6.67000","0","1","Cut Tape (CT)","SR","Active","10 mOhms","±1%","1W","Metal Element","Current Sense, Moisture Resistant, Non-Inductive","0/ +200ppm/°C","-15°C ~ 105°C","SR10","SR10","0.365"" L x 0.090"" W (9.27mm x 2.29mm)","0.385"" (9.78mm)","4","-"
http://www.caddock.com/Online_catalog/Mrktg_Lit/TypeSR.pdf,//media.digikey.com/Photos/Caddock%20Elect%20Photos/SR10%20SERIES.JPG,SR10-0.010-FDKR-ND,SR10-0.010-1%,Caddock Electronics Inc.,RES 0.01 OHM 1W 1% SR10,1827,0,"Digi-Reel","0","1","Digi-Reel®","SR","Active","10 mOhms","±1%","1W","Metal Element","Current Sense, Moisture Resistant, Non-Inductive","0/ +200ppm/°C","-15°C ~ 105°C","SR10","SR10","0.365"" L x 0.090"" W (9.27mm x 2.29mm)","0.385"" (9.78mm)","4","-"
http://www.vishay.com/docs/31805/mrs.pdf,//media.digikey.com/photos/Huntington%20Electric%20Photos/MRS12%20SERIES%20.005.jpg,MRS129802-1-ND,MRS-12985L00FE1402,Vishay Dale,RES CUR SENSE 0.005 OHM 25A 1%,2539,0,"3.50000","0","1","Bulk","MRS1298","Active","5 mOhms","±1%","3.12W","Metal Element","Current Sense","±100ppm/°C","-55°C ~ 275°C","Radial","-","0.600"" L x 0.215"" W (15.24mm x 5.46mm)","0.750"" (19.05mm)","4","-"
http://www.vishay.com/docs/30204/rsns.pdf,//media.digikey.com/photos/Vishay%20Dale%20Photos/RSD%20SERIES.jpg,RSD-100KRTR-ND,RS010100K0FE73,Vishay Dale,RES 100K OHM 10W 1% WW AXIAL,1000,0,"3.61800","0","500","Tape & Reel (TR)","RS","Active","100 kOhms","±1%","10W","Wirewound","Moisture Resistant","±20ppm/°C","-65°C ~ 250°C","Axial","Axial","0.375"" Dia x 1.780"" L (9.53mm x 45.21mm)","-","2","-"
http://www.vishay.com/docs/30204/rsns.pdf,//media.digikey.com/photos/Vishay%20Dale%20Photos/RSD%20SERIES.jpg,RSD-100KRCT-ND,RS010100K0FE73,Vishay Dale,RES 100K OHM 10W 1% WW AXIAL,1336,0,"7.08000","0","1","Cut Tape (CT)","RS","Active","100 kOhms","±1%","10W","Wirewound","Moisture Resistant","±20ppm/°C","-65°C ~ 250°C","Axial","Axial","0.375"" Dia x 1.780"" L (9.53mm x 45.21mm)","-","2","-"
https://www.bourns.com/docs/Product-Datasheets/PWR220T.pdf,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/TO-220-2.jpg,PWR220T-20-10R0F-ND,PWR220T-20-10R0F,Bourns Inc.,RES 10 OHM 20W 1% TO220,3774,0,"3.82000","0","1","Tube","PWR220T-20","Active","10 Ohms","±1%","20W","Thick Film","Automotive AEC-Q200, Current Sense, Pulse Withstanding","±100ppm/°C","-55°C ~ 155°C","TO-220-2","TO-220-2","0.398"" L x 0.157"" W (10.10mm x 4.00mm)","0.575"" (14.60mm)","2","-"
