Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Resistance","Power (Watts)","Tolerance","Temperature Coefficient","Number of Turns","Adjustment Type","Resistive Material","Mounting Type","Termination Style","Size / Dimension"
https://www.nidec-copal-electronics.com/e/catalog/trimmer/st-4.pdf,//media.digikey.com/photos/Copal%20Photos/ST4ETA%20SERIES.jpg,ST4ETA502TR-ND,ST4ETA502,Nidec Copal Electronics,TRIMMER 5K OHM 0.25W J LEAD TOP,9500,0,"0.74970","0","500","Tape & Reel (TR)","ST4","Active","5 kOhms","0.25W, 1/4W","±20%","±100ppm/°C","1","Top Adjustment","Cermet","Surface Mount","J Lead","Square - 0.197"" L x 0.177"" W x 0.091"" H (5.00mm x 4.50mm x 2.30mm)"
https://www.nidec-copal-electronics.com/e/catalog/trimmer/st-4.pdf,//media.digikey.com/photos/Copal%20Photos/ST4ETA%20SERIES.jpg,ST4ETA502CT-ND,ST4ETA502,Nidec Copal Electronics,TRIMMER 5K OHM 0.25W J LEAD TOP,9679,0,"1.40000","0","1","Cut Tape (CT)","ST4","Active","5 kOhms","0.25W, 1/4W","±20%","±100ppm/°C","1","Top Adjustment","Cermet","Surface Mount","J Lead","Square - 0.197"" L x 0.177"" W x 0.091"" H (5.00mm x 4.50mm x 2.30mm)"
https://www.nidec-copal-electronics.com/e/catalog/trimmer/st-4.pdf,//media.digikey.com/photos/Copal%20Photos/ST4ETA%20SERIES.jpg,ST4ETA502DKR-ND,ST4ETA502,Nidec Copal Electronics,TRIMMER 5K OHM 0.25W J LEAD TOP,9679,0,"Digi-Reel","0","1","Digi-Reel®","ST4","Active","5 kOhms","0.25W, 1/4W","±20%","±100ppm/°C","1","Top Adjustment","Cermet","Surface Mount","J Lead","Square - 0.197"" L x 0.177"" W x 0.091"" H (5.00mm x 4.50mm x 2.30mm)"
https://www.nidec-copal-electronics.com/e/catalog/trimmer/st-4.pdf,//media.digikey.com/photos/Copal%20Photos/ST4ETA%20SERIES.jpg,ST4ETA102TR-ND,ST4ETA102,Nidec Copal Electronics,TRIMMER 1K OHM 0.25W J LEAD TOP,5500,0,"0.74970","0","500","Tape & Reel (TR)","ST4","Active","1 kOhms","0.25W, 1/4W","±20%","±100ppm/°C","1","Top Adjustment","Cermet","Surface Mount","J Lead","Square - 0.197"" L x 0.177"" W x 0.091"" H (5.00mm x 4.50mm x 2.30mm)"
https://www.nidec-copal-electronics.com/e/catalog/trimmer/st-4.pdf,//media.digikey.com/photos/Copal%20Photos/ST4ETA%20SERIES.jpg,ST4ETA102CT-ND,ST4ETA102,Nidec Copal Electronics,TRIMMER 1K OHM 0.25W J LEAD TOP,5714,0,"1.40000","0","1","Cut Tape (CT)","ST4","Active","1 kOhms","0.25W, 1/4W","±20%","±100ppm/°C","1","Top Adjustment","Cermet","Surface Mount","J Lead","Square - 0.197"" L x 0.177"" W x 0.091"" H (5.00mm x 4.50mm x 2.30mm)"
https://www.nidec-copal-electronics.com/e/catalog/trimmer/st-4.pdf,//media.digikey.com/photos/Copal%20Photos/ST4ETA%20SERIES.jpg,ST4ETA102DKR-ND,ST4ETA102,Nidec Copal Electronics,TRIMMER 1K OHM 0.25W J LEAD TOP,5714,0,"Digi-Reel","0","1","Digi-Reel®","ST4","Active","1 kOhms","0.25W, 1/4W","±20%","±100ppm/°C","1","Top Adjustment","Cermet","Surface Mount","J Lead","Square - 0.197"" L x 0.177"" W x 0.091"" H (5.00mm x 4.50mm x 2.30mm)"
https://www.nidec-copal-electronics.com/e/catalog/trimmer/st-4.pdf,//media.digikey.com/photos/Copal%20Photos/ST4ETB%20SERIES.jpg,ST4ETB103TR-ND,ST4ETB103,Nidec Copal Electronics,TRIMMER 10K OHM 0.25W GW TOP ADJ,3000,0,"0.74970","0","500","Tape & Reel (TR)","ST4","Active","10 kOhms","0.25W, 1/4W","±20%","±100ppm/°C","1","Top Adjustment","Cermet","Surface Mount","Gull Wing","Square - 0.197"" L x 0.177"" W x 0.091"" H (5.00mm x 4.50mm x 2.30mm)"
https://www.nidec-copal-electronics.com/e/catalog/trimmer/st-4.pdf,//media.digikey.com/photos/Copal%20Photos/ST4ETB%20SERIES.jpg,ST4ETB103CT-ND,ST4ETB103,Nidec Copal Electronics,TRIMMER 10K OHM 0.25W GW TOP ADJ,3253,0,"1.40000","0","1","Cut Tape (CT)","ST4","Active","10 kOhms","0.25W, 1/4W","±20%","±100ppm/°C","1","Top Adjustment","Cermet","Surface Mount","Gull Wing","Square - 0.197"" L x 0.177"" W x 0.091"" H (5.00mm x 4.50mm x 2.30mm)"
https://www.nidec-copal-electronics.com/e/catalog/trimmer/st-4.pdf,//media.digikey.com/photos/Copal%20Photos/ST4ETB%20SERIES.jpg,ST4ETB103DKR-ND,ST4ETB103,Nidec Copal Electronics,TRIMMER 10K OHM 0.25W GW TOP ADJ,3253,0,"Digi-Reel","0","1","Digi-Reel®","ST4","Active","10 kOhms","0.25W, 1/4W","±20%","±100ppm/°C","1","Top Adjustment","Cermet","Surface Mount","Gull Wing","Square - 0.197"" L x 0.177"" W x 0.091"" H (5.00mm x 4.50mm x 2.30mm)"
https://www.nidec-copal-electronics.com/e/catalog/trimmer/st-4.pdf,//media.digikey.com/photos/Copal%20Photos/ST4ETB%20SERIES.jpg,ST4ETB102TR-ND,ST4ETB102,Nidec Copal Electronics,TRIMMER 1K OHM 0.25W GW TOP ADJ,0,0,"0.74970","0","500","Tape & Reel (TR)","ST4","Active","1 kOhms","0.25W, 1/4W","±20%","±100ppm/°C","1","Top Adjustment","Cermet","Surface Mount","Gull Wing","Square - 0.197"" L x 0.177"" W x 0.091"" H (5.00mm x 4.50mm x 2.30mm)"
https://www.nidec-copal-electronics.com/e/catalog/trimmer/st-4.pdf,//media.digikey.com/photos/Copal%20Photos/ST4ETB%20SERIES.jpg,ST4ETB102CT-ND,ST4ETB102,Nidec Copal Electronics,TRIMMER 1K OHM 0.25W GW TOP ADJ,258,0,"1.40000","0","1","Cut Tape (CT)","ST4","Active","1 kOhms","0.25W, 1/4W","±20%","±100ppm/°C","1","Top Adjustment","Cermet","Surface Mount","Gull Wing","Square - 0.197"" L x 0.177"" W x 0.091"" H (5.00mm x 4.50mm x 2.30mm)"
https://www.nidec-copal-electronics.com/e/catalog/trimmer/st-4.pdf,//media.digikey.com/photos/Copal%20Photos/ST4ETB%20SERIES.jpg,ST4ETB102DKR-ND,ST4ETB102,Nidec Copal Electronics,TRIMMER 1K OHM 0.25W GW TOP ADJ,258,0,"Digi-Reel","0","1","Digi-Reel®","ST4","Active","1 kOhms","0.25W, 1/4W","±20%","±100ppm/°C","1","Top Adjustment","Cermet","Surface Mount","Gull Wing","Square - 0.197"" L x 0.177"" W x 0.091"" H (5.00mm x 4.50mm x 2.30mm)"
https://www.bourns.com/docs/Product-Datasheets/pvg3.pdf,//media.digikey.com/Photos/Bourns%20Photos/MFG_PVG3A.jpg,490-2642-2-ND,PVG3A101C01R00,Bourns Inc.,TRIMMER 100 OHM 0.25W J LEAD TOP,29000,0,"0.77700","0","1000","Tape & Reel (TR)","PVG3","Active","100 Ohms","0.25W, 1/4W","±20%","±150ppm/°C","1","Top Adjustment","Cermet","Surface Mount","J Lead","Rectangular - 0.142"" x 0.134"" Face x 0.079"" H (3.60mm x 3.40mm x 2.00mm)"
https://www.bourns.com/docs/Product-Datasheets/pvg3.pdf,//media.digikey.com/Photos/Bourns%20Photos/MFG_PVG3A.jpg,490-2642-1-ND,PVG3A101C01R00,Bourns Inc.,TRIMMER 100 OHM 0.25W J LEAD TOP,29829,0,"1.57000","0","1","Cut Tape (CT)","PVG3","Active","100 Ohms","0.25W, 1/4W","±20%","±150ppm/°C","1","Top Adjustment","Cermet","Surface Mount","J Lead","Rectangular - 0.142"" x 0.134"" Face x 0.079"" H (3.60mm x 3.40mm x 2.00mm)"
https://www.bourns.com/docs/Product-Datasheets/pvg3.pdf,//media.digikey.com/Photos/Bourns%20Photos/MFG_PVG3A.jpg,490-2642-6-ND,PVG3A101C01R00,Bourns Inc.,TRIMMER 100 OHM 0.25W J LEAD TOP,29829,0,"Digi-Reel","0","1","Digi-Reel®","PVG3","Active","100 Ohms","0.25W, 1/4W","±20%","±150ppm/°C","1","Top Adjustment","Cermet","Surface Mount","J Lead","Rectangular - 0.142"" x 0.134"" Face x 0.079"" H (3.60mm x 3.40mm x 2.00mm)"
https://www.bourns.com/docs/Product-Datasheets/pvg3.pdf,//media.digikey.com/Photos/Bourns%20Photos/MFG_PVG3A.jpg,490-2654-2-ND,PVG3A501C01R00,Bourns Inc.,TRIMMER 500 OHM 0.25W J LEAD TOP,28000,0,"0.77700","0","1000","Tape & Reel (TR)","PVG3","Active","500 Ohms","0.25W, 1/4W","±20%","±150ppm/°C","1","Top Adjustment","Cermet","Surface Mount","J Lead","Rectangular - 0.142"" x 0.134"" Face x 0.079"" H (3.60mm x 3.40mm x 2.00mm)"
https://www.bourns.com/docs/Product-Datasheets/pvg3.pdf,//media.digikey.com/Photos/Bourns%20Photos/MFG_PVG3A.jpg,490-2654-1-ND,PVG3A501C01R00,Bourns Inc.,TRIMMER 500 OHM 0.25W J LEAD TOP,28374,0,"1.57000","0","1","Cut Tape (CT)","PVG3","Active","500 Ohms","0.25W, 1/4W","±20%","±150ppm/°C","1","Top Adjustment","Cermet","Surface Mount","J Lead","Rectangular - 0.142"" x 0.134"" Face x 0.079"" H (3.60mm x 3.40mm x 2.00mm)"
