Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Resistance","Power (Watts)","Tolerance","Number of Turns","Adjustment Type","Size / Dimension","Termination","Mounting Type"
https://www.bourns.com/docs/Product-Datasheets/3352.pdf,//media.digikey.com/photos/Bourns%20Photos/3352W%20SERIES.jpg,3352W-202LF-ND,3352W-1-202LF,Bourns Inc.,POT 2.0K OHM THUMBWHEEL CERM ST,164,0,"1.85000","0","1","Bulk","Trimpot® 3352 - Open Frame","Active","2 kOhms","0.5W, 1/2W","±20%","1","Side Adjustment","Round - 0.350"" Dia x 0.210"" H (8.89mm x 5.33mm)","PC Pins","Through Hole"
https://www.bourns.com/docs/Product-Datasheets/3352.pdf,//media.digikey.com/photos/Bourns%20Photos/3352W%20SERIES.jpg,3352W-1-500LF-ND,3352W-1-500LF,Bourns Inc.,POT 50 OHM THUMBWHEEL CERM ST,146,0,"1.85000","0","1","Bulk","Trimpot® 3352 - Open Frame","Active","50 Ohms","0.5W, 1/2W","±20%","1","Side Adjustment","Round - 0.350"" Dia x 0.210"" H (8.89mm x 5.33mm)","PC Pins","Through Hole"
https://www.ttelectronics.com/TTElectronics/media/ProductFiles/Trimmers/Datasheets/91.pdf,//media.digikey.com/Photos/TT%20Electronics%20BI/91WR10KLF.JPG,987-1760-ND,91WR10KLF,TT Electronics/BI,TRIMMER 10K OHM 3/8"" CERMET TH,87,0,"1.95000","0","1","Bulk","91","Active","10 kOhms","0.5W, 1/2W","±20%","1","Side Adjustment","Round - 0.375"" Dia x 0.250"" H (9.53mm x 6.35mm)","PC Pins","Through Hole"
https://www.bourns.com/docs/Product-Datasheets/3352.pdf,//media.digikey.com/photos/Bourns%20Photos/3352H%20SERIES.jpg,3352H-203LF-ND,3352H-1-203LF,Bourns Inc.,POT 20K OHM THUMBWHEEL CERM ST,109,0,"1.85000","0","1","Bulk","Trimpot® 3352 - Open Frame","Active","20 kOhms","0.5W, 1/2W","±20%","1","Side Adjustment","Round - 0.350"" Dia x 0.350"" H (8.89mm x 8.89mm)","PC Pins","Through Hole"
https://www.ttelectronics.com/TTElectronics/media/ProductFiles/Trimmers/Datasheets/91.pdf,//media.digikey.com/Photos/TT%20Electronics%20BI/91AR1MEGLF.jpg,987-1563-ND,91AR25KLF,TT Electronics/BI,TRIMMER 25K OHM 3/8"" CERMET TH,0,0,"1.50000","0","1","Bulk","91","Active","25 kOhms","0.5W, 1/2W","±20%","1","Top Adjustment","Round - 0.375"" Dia x 0.200"" H (9.53mm x 5.08mm)","PC Pins","Through Hole"
https://www.bourns.com/docs/Product-Datasheets/3352.pdf,//media.digikey.com/photos/Bourns%20Photos/3352W%20SERIES.jpg,3352W-101LF-ND,3352W-1-101LF,Bourns Inc.,POT 100OHM THUMBWHEEL CERM ST LF,66,0,"1.85000","0","1","Bulk","Trimpot® 3352 - Open Frame","Active","100 Ohms","0.5W, 1/2W","±20%","1","Side Adjustment","Round - 0.350"" Dia x 0.210"" H (8.89mm x 5.33mm)","PC Pins","Through Hole"
https://www.bourns.com/docs/Product-Datasheets/3352.pdf,//media.digikey.com/photos/Bourns%20Photos/3352T%20SERIES.jpg,3352T-503LF-ND,3352T-1-503LF,Bourns Inc.,POT 50K OHM THUMBWHEEL CERM ST,0,0,"1.85000","0","1","Bulk","Trimpot® 3352 - Open Frame","Active","50 kOhms","0.5W, 1/2W","±20%","1","Top Adjustment","Round - 0.350"" Dia x 0.150"" H (8.89mm x 3.81mm)","PC Pins","Through Hole"
https://www.bourns.com/docs/Product-Datasheets/3352.pdf,//media.digikey.com/photos/Bourns%20Photos/3352T%20SERIES.jpg,3352T-504LF-ND,3352T-1-504LF,Bourns Inc.,POT 500K OHM THUMBWHEEL CERM ST,0,0,"1.85000","0","1","Bulk","Trimpot® 3352 - Open Frame","Active","500 kOhms","0.5W, 1/2W","±20%","1","Top Adjustment","Round - 0.350"" Dia x 0.150"" H (8.89mm x 3.81mm)","PC Pins","Through Hole"
https://www.ttelectronics.com/TTElectronics/media/ProductFiles/Trimmers/Datasheets/91.pdf,//media.digikey.com/Photos/TT%20Electronics%20BI/91AR1MEGLF.jpg,987-1170-ND,91AR20KLF,TT Electronics/BI,TRIMMER 20K OHM 3/8"" CERMET TH,0,0,"1.50000","0","1","Bulk","91","Active","20 kOhms","0.5W, 1/2W","±20%","1","Top Adjustment","Round - 0.375"" Dia x 0.200"" H (9.53mm x 5.08mm)","PC Pins","Through Hole"
https://www.bourns.com/docs/Product-Datasheets/3352.pdf,//media.digikey.com/photos/Bourns%20Photos/3352H%20SERIES.jpg,3352H-104LF-ND,3352H-1-104LF,Bourns Inc.,POT 100K OHM THUMBWHEEL CERM ST,91,0,"1.85000","0","1","Bulk","Trimpot® 3352 - Open Frame","Active","100 kOhms","0.5W, 1/2W","±20%","1","Side Adjustment","Round - 0.350"" Dia x 0.350"" H (8.89mm x 8.89mm)","PC Pins","Through Hole"
