Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Shaft Size","Number of Turns"
https://www.littelfuse.com/~/media/protection-relays/datasheets/accessories/littelfuse_protectionrelays_accessories_electricalaccessories.pdf,-,P0400-17-ND,P0400-17,Littelfuse Inc.,FACE PLATE 1-30 SEC. REV. E,0,0,"1.92000","0","1","P0400","Active","-","-"
https://www.littelfuse.com/~/media/protection-relays/datasheets/accessories/littelfuse_protectionrelays_accessories_electricalaccessories.pdf,-,P0400-27-ND,P0400-27,Littelfuse Inc.,FACE PLATE 0-10 DIAL REV A,0,0,"2.76000","0","1","P0400","Active","-","-"
https://www.littelfuse.com/~/media/protection-relays/datasheets/accessories/littelfuse_protectionrelays_accessories_electricalaccessories.pdf,-,P0400-82-ND,P0400-82,Littelfuse Inc.,FACE PLATE 0.1-10 SEC. REV. H,0,0,"4.37000","0","1","P0400","Active","-","-"
https://www.littelfuse.com/~/media/protection-relays/datasheets/accessories/littelfuse_protectionrelays_accessories_electricalaccessories.pdf,-,P0400-83-ND,P0400-83,Littelfuse Inc.,FACE PLATE 1-60 SEC. REV. H,0,0,"4.37000","0","1","P0400","Active","-","-"
https://www.littelfuse.com/~/media/protection-relays/datasheets/accessories/littelfuse_protectionrelays_accessories_electricalaccessories.pdf,-,P0400-86-ND,P0400-86,Littelfuse Inc.,FACE PLATE 0.1 TO 10 MIN.REV.G,0,0,"4.37000","0","1","P0400","Active","-","-"
https://www.bourns.com/docs/Product-Datasheets/H-516.pdf,//media.digikey.com/Photos/Bourns%20Photos/H-516-3A.JPG,H-516-3A-ND,H-516-3A,Bourns Inc.,HARDWARE,0,0,"7.05600","0","30","H-516","Active","0.125"" (3.18mm)","15"
https://www.bourns.com/docs/Product-Datasheets/H22.pdf,"//media.digikey.com/photos/Bourns%20Photos/H-22-6A,%20H-22-6M,%20H-22-3A.jpg",H-22-3A-ND,H-22-3A,Bourns Inc.,DIAL SCALE 15 TURN CONCENTRIC,0,0,"10.04400","0","30","H-22","Active","0.125"" (3.18mm)","15"
https://www.bourns.com/docs/Product-Datasheets/H22.pdf,-,H-22-6M-SB-ND,H-22-6M-SB,Bourns Inc.,DIAL SCALE 15 TURN CONCENTRIC,0,0,"10.04400","0","30","H-22","Active","0.236"" (6.00mm)","15"
https://www.littelfuse.com/~/media/protection-relays/datasheets/accessories/littelfuse_protectionrelays_accessories_electricalaccessories.pdf,-,P0400-12-ND,P0400-12,Littelfuse Inc.,FACE PLATE 0.05-1 SEC REV. B,0,0,"13.21000","0","1","P0400","Active","-","-"
http://www.ohmite.com/assets/docs/acl_acd46.pdf?r=false,-,ACD466.35-15-ND,ACD46 6.35-15,Ohmite,COUNTING DIAL 15 TURN 46MM,0,0,"13.84000","0","25","ARCOL, ACD46","Active","0.250"" (6.35mm)","15"
https://www.ttelectronics.com/TTElectronics/media/ProductFiles/Turn%20Counting%20Dials/Datasheets/2600.pdf,-,2607S-ND,2607S,TT Electronics/BI,SCALE DIAL 0.250"" SHAFT 15 TURN,0,0,"18.64800","0","30","2600","Active","0.250"" (6.35mm)","15"
https://www.ttelectronics.com/TTElectronics/media/ProductFiles/Turn%20Counting%20Dials/Datasheets/2600.pdf,-,2601BI-ND,2601,TT Electronics/BI,SCALE DIAL 0.125"" SHAFT 15 TURN,0,0,"19.11067","0","30","2600","Active","0.125"" (3.18mm)","15"
https://www.ttelectronics.com/TTElectronics/media/ProductFiles/Turn%20Counting%20Dials/Datasheets/2640.pdf,-,2641-ND,2641,TT Electronics/BI,SCALE DIAL 0.125"" SHAFT 15 TURN,0,0,"21.31200","0","30","2640","Active","0.125"" (3.18mm)","15"
http://www.vishay.com/docs/57085/11.pdf,//media.digikey.com/Photos/Vishay%20Spectrol%20Photos/11A21B10.JPG,693-1008-ND,11A21B10,Vishay Spectrol,DIAL SCALE 11 TURN CONCENTRIC,0,0,"25.29600","0","50","11","Active","0.250"" (6.35mm)","11"
https://www.ttelectronics.com/TTElectronics/media/ProductFiles/Turn%20Counting%20Dials/Datasheets/2126.pdf,-,2126BI-ND,2126,TT Electronics/BI,SCALE DIAL 0.250"" SHAFT 10 TURN,0,0,"26.13660","0","1000","2126","Active","0.250"" (6.35mm)","10"
https://static1.squarespace.com/static/54efb6f4e4b0d7862a93d7f5/t/57b3bbbd9de4bb23fd59c6cb/1471396798013/600_PNB_fv1-01.png,-,611KL-ND,611,Kilo International,DIAL TURN CNTNG 1/4"" SHFT NO BRK,0,0,"29.14000","0","24","600","Active","0.250"" (6.35mm)","1"
https://static1.squarespace.com/static/54efb6f4e4b0d7862a93d7f5/t/57b3bbbd9de4bb23fd59c6cb/1471396798013/600_PNB_fv1-01.png,-,661KL-ND,661,Kilo International,DIAL TURN CNTNG 1/4"" SHFT NO BRK,0,0,"29.14000","0","24","600","Active","0.250"" (6.35mm)","1"
https://static1.squarespace.com/static/54efb6f4e4b0d7862a93d7f5/t/57b3bb9f9de4bb23fd59c5c9/1471396767723/500_PNB_fv1-01.png,-,511KL-ND,511,Kilo International,DIAL TURN CNTNG 1/4"" SHFT NO BRK,0,0,"29.28000","0","24","500","Active","0.250"" (6.35mm)","1"
https://static1.squarespace.com/static/54efb6f4e4b0d7862a93d7f5/t/57b3bb799de4bb23fd59c447/1471396738983/400_PNB_fv1-01.png,-,472KL-ND,472,Kilo International,DIAL SCALE 10 TURN CONCENTRIC,0,0,"33.66000","0","24","400","Active","0.125"" (3.18mm)","10"
-,-,DR300-ND,DR300,Honeywell Sensing and Productivity Solutions,SLIDE POT,0,0,"91.20000","0","500","DR","Not For New Designs","0.250"" (6.35mm)","10"
//media.digikey.com/pdf/Data%20Sheets/Bourns%20PDFs/H490.pdf,-,H-492-3-ND,H-492-3,Bourns Inc.,COUNTING DIAL W/BRAKE CLEAR,0,0,"Obsolete","0","25","H-490","Obsolete","0.250"" (6.35mm)","30"
//media.digikey.com/pdf/Data%20Sheets/Bourns%20PDFs/H490.pdf,-,H-494-3-ND,H-494-3,Bourns Inc.,COUNTING DIAL W/BRAKE BLACK,0,0,"Obsolete","0","25","H-490","Obsolete","0.250"" (6.35mm)","30"
//media.digikey.com/pdf/Data%20Sheets/Bourns%20PDFs/H550.pdf,//media.digikey.com/photos/Bourns%20Photos/H-550-6A-1.jpg,H-550-6A-1-ND,H-550-6A-1,Bourns Inc.,SCALE DIAL W/BRAKE 46MM 10 TURN,0,0,"Obsolete","0","30","H-550","Obsolete","0.250"" (6.35mm)","10"
"//media.digikey.com/pdf/Data%20Sheets/Bourns%20PDFs/CT-23,26.pdf","//media.digikey.com/photos/Bourns%20Photos/CT-23-6A,%20CT-23-6M.jpg",CT-23-6A-ND,CT-23-6A,Bourns Inc.,DIAL SCALE 10 TURN CONCENTRIC,0,0,"Obsolete","0","30","CT-23","Obsolete","0.250"" (6.35mm)","10"
"//media.digikey.com/pdf/Data%20Sheets/Bourns%20PDFs/CT-23,26.pdf","//media.digikey.com/photos/Bourns%20Photos/CT-26-6A,%20CT-26-6M.jpg",CT-26-6A-ND,CT-26-6A,Bourns Inc.,DIAL SCALE 10 TURN CONCENTRIC,0,0,"Obsolete","0","30","CT-26","Obsolete","0.250"" (6.35mm)","10"
-,//media.digikey.com/photos/Vishay%20Spectrol%20Photos/028-1-11.jpg,SP028-1-11-ND,28A11B10,Vishay Spectrol,DIAL SCALE 21 TURN CONCENTRIC,0,0,"Obsolete","0","50","28","Obsolete","0.250"" (6.35mm)","21"
-,-,28A21B10-ND,28A21B10,Vishay Spectrol,DIAL SCALE 21 TURN CONCENTRIC,0,0,"Obsolete","0","0","28","Obsolete","0.250"" (6.35mm)","21"
