Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Arm Length","Base Size"
-,-,MIRS-10-ND,MIRS-10,Omron Automation and Safety,FLOOR STAND 120"",0,0,"772.65000","0","1","-","Active","Stand, Floor","120.0"" (3048.0mm)","8.00"" x 8.00"" (203.20mm x 203.20mm)"
http://www.qioptiq.com/download/2017_09_Optem%20FUSION%20SpecGde_w%20Mini%20Tubes_Fetura%20Plus_ED5_FINAL-WEB-opt.pdf,//media.digikey.com/Renders/Excelitas%20Technologies/35-07-12-000.JPG,35-07-12-000-ND,35-07-12-000,Excelitas Technologies,X95 SYSTEM STAND,0,0,"2364.70000","0","1","Optem®","Active","Stand","-","-"
//media.digikey.com/pdf/Data%20Sheets/Luxo/BRK025141.pdf,//media.digikey.com/Photos/Luxo%20Photos/MFG_50005BK.jpg,L505BK-ND,BRK025141,Luxo,SURFACE MOUNT BRACKET,0,0,"16.16000","0","1","-","Active","Mount, Surface Bracket","-","-"
-,//media.digikey.com/photos/Luxo%20Photos/50005LG.jpg,L505LG-ND,BRK025142,Luxo,SURFACE MOUNT BRACKET,0,0,"16.28000","0","1","-","Active","Mount, Surface Bracket","-","-"
//media.digikey.com/pdf/Data%20Sheets/Luxo/B-Wall-Mount%20Bracket.pdf,//media.digikey.com/photos/Luxo%20Photos/50003BK.jpg,L503BK-ND,50003BK,Luxo,WALL MOUNT BRACKET,0,0,"27.47000","0","1","-","Active","Mount, Wall Bracket","-","-"
//media.digikey.com/pdf/Data%20Sheets/Luxo/50003WT.pdf,//media.digikey.com/Photos/Luxo%20Photos/MFG_50003WT.jpg,50003WT-ND,50003WT,Luxo,WALL MOUNT BRACKET,0,0,"27.47000","0","1","-","Active","Mount, Wall Bracket","-","-"
https://cdn-shop.adafruit.com/product-files/969/DPM14AEnglish.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_969.jpg,1528-2295-ND,969,Adafruit Industries LLC,ARTICULATING ARM 4.7"",0,0,"49.95000","0","1","-","Active","Arm, Articulating","4.7"" (120.0mm)","4.65"" x 4.33"" (118.00mm x 110.00mm)"
//media.digikey.com/pdf/Data%20Sheets/Luxo/50036BK.pdf,//media.digikey.com/Photos/Luxo%20Photos/MFG_50036BK.jpg,50036BK-ND,50036BK,Luxo,FLOOR STAND 34"",0,0,"151.50000","0","1","-","Active","Stand, Floor","34.0"" (863.6mm)","-"
//media.digikey.com/pdf/Data%20Sheets/Luxo/50036LG.pdf,//media.digikey.com/Photos/Luxo%20Photos/MFG_50036LG.jpg,50036LG-ND,50036LG,Luxo,FLOOR STAND 34"",0,0,"151.50000","0","1","-","Active","Stand, Floor","34.0"" (863.6mm)","-"
//media.digikey.com/pdf/Data%20Sheets/Luxo/50036WT.pdf,//media.digikey.com/Photos/Luxo%20Photos/MFG_50036WT.jpg,50036WT-ND,50036WT,Luxo,FLOOR STAND 34"",0,0,"151.50000","0","1","-","Active","Stand, Floor","34.0"" (863.6mm)","-"
http://www.aventools.com/wp-content/uploads/2016/02/2016-product-catalog.pdf,//media.digikey.com/Photos/Aven%20Photos/26800B-518.jpg,26800B-518-ND,26800B-518,Aven Tools,FOCUS MOUNT FOR DSZ/SPZ/NSW SRS,0,0,"157.90000","0","1","-","Active","Mount, Focus","-","-"
http://www.aventools.com/wp-content/uploads/2016/02/2016-product-catalog.pdf,//media.digikey.com/Photos/Aven%20Photos/26800B-519.jpg,26800B-519-ND,26800B-519,Aven Tools,BOOM STAND 19""H 15.1""V,0,0,"251.40000","0","1","-","Active","Stand, Boom","19.0"" (483.0mm) Horizontal, 15.1"" (384.0mm) Vertical","11.22"" x 10.24"" (285.00mm x 260.00mm)"
//media.digikey.com/pdf/Data%20Sheets/Aven%20PDFs/26800B-560.pdf,//media.digikey.com/Photos/Aven%20Photos/26800B-560.jpg,26800B-560-ND,26800B-560,Aven Tools,ARTICULATING ARM 14.5"",0,0,"339.50000","0","1","-","Active","Arm, Articulating","14.5"" (368.3mm)","-"
//media.digikey.com/pdf/Data%20Sheets/Aven%20PDFs/26800B-535.pdf,-,26800B-535-ND,26800B-535,Aven Tools,DUAL ARM BOOM STAND 22.5""H 15""V,0,0,"392.39000","0","1","-","Active","Stand, Dual Arm Boom","22.5"" (571.5mm) Horizontal, 15.0"" (381.0mm) Vertical","11.22"" x 10.24"" (285.00mm x 260.00mm)"
//media.digikey.com/pdf/Data%20Sheets/Aven%20PDFs/26800B-570.pdf,//media.digikey.com/Photos/Aven%20Photos/26800B-570.jpg,26800B-570-ND,26800B-570,Aven Tools,STAND STANDRD W/SAFETY CLAMP 16"",0,0,"541.18000","0","1","-","Active","Stand","16.0"" (406.4mm)","11.00"" x 13.00"" (279.40mm x 330.20mm)"
//media.digikey.com/PDF/Data%20Sheets/Aven%20PDFs/Aven2007Catalog.pdf,-,26700-505-ND,26700-505,Aven Tools,ILOUPE STAND,0,0,"Obsolete","0","1","iLoupe","Obsolete","Stand","-","-"
//media.digikey.com/pdf/Data%20Sheets/Luxo/LM%20Microphone%20Arms.pdf,-,13001-ND,13001,Luxo,ARTICULATING ARM 41"",0,0,"Obsolete","0","1","LM-1","Obsolete","Arm, Articulating","41.0"" (1041.4mm)","-"
//media.digikey.com/pdf/Data%20Sheets/Luxo/LM%20Microphone%20Arms.pdf,-,13052-ND,13052,Luxo,ARTICULATING ARM 41"",0,0,"Obsolete","0","1","LM-1","Obsolete","Arm, Articulating","41.0"" (1041.4mm)","-"
//media.digikey.com/pdf/Data%20Sheets/Luxo/LM%20Microphone%20Arms.pdf,-,13054-ND,13054,Luxo,ARTICULATING ARM 41"",0,0,"Obsolete","0","1","LM-1","Obsolete","Arm, Articulating","41.0"" (1041.4mm)","-"
//media.digikey.com/pdf/Data%20Sheets/Luxo/LM%20Microphone%20Arms.pdf,-,13051-ND,13051,Luxo,ARTICULATING ARM 41"",0,0,"Obsolete","0","1","LM-1","Obsolete","Arm, Articulating","41.0"" (1041.4mm)","-"
