Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Magnification Range"
//media.digikey.com/pdf/Data%20Sheets/Aven%20PDFs/26501-SLA.pdf,//media.digikey.com/Photos/Aven%20Photos/26501-SLA.jpg,243-1199-ND,26501-SLA,Aven Tools,LENS 2.25X,0,0,"Obsolete","0","1","-","Obsolete","Lens","2.25x"
//media.digikey.com/pdf/Data%20Sheets/Aven%20PDFs/26800B-444.pdf,-,26800B-444-ND,26800B-444,Aven Tools,EYEPIECE 5X,0,0,"Obsolete","0","1","DSW","Obsolete","Eyepiece","5x"
//media.digikey.com/pdf/Data%20Sheets/Aven%20PDFs/26800B-446.pdf,-,26800B-446-ND,26800B-446,Aven Tools,EYEPIECE 5X,0,0,"Obsolete","0","1","DSW","Obsolete","Eyepiece","5x"
http://www.aventools.com/wp-content/uploads/2016/02/2016-product-catalog.pdf,//media.digikey.com/Photos/Aven%20Photos/26700-104-2X.jpg,26700-104-2X-ND,26700-104-2X,Aven Tools,LENS 2X,0,0,"Obsolete","0","1","Macro View","Obsolete","Lens","2x"
http://www.aventools.com/wp-content/uploads/2016/02/2016-product-catalog.pdf,//media.digikey.com/Photos/Aven%20Photos/26700-104-4X.jpg,26700-104-4X-ND,26700-104-4X,Aven Tools,LENS 4X,0,0,"Obsolete","0","1","Macro View","Obsolete","Lens","4x"
http://www.aventools.com/wp-content/uploads/2016/02/2016-product-catalog.pdf,//media.digikey.com/Photos/Aven%20Photos/26700-151-CX.jpg,26700-151-CX-ND,26700-151-CX,Aven Tools,LENS 0.6X - 4X,0,0,"Obsolete","0","1","Zoom 640","Obsolete","Lens","0.6x ~ 4x"
-,//media.digikey.com/Photos/Aven%20Photos/26700-185.jpg,26700-185-ND,26700-185,Aven Tools,LENS 0.78X - 10X,0,0,"Obsolete","0","1","-","Obsolete","Lens","0.78x ~ 10x"
-,//media.digikey.com/Photos/Aven%20Photos/MFG_26800B-406.jpg,26800B-406-ND,26800B-406,Aven Tools,EYEPIECE 15X,0,0,"Obsolete","0","1","SSZ","Obsolete","Eyepiece","15x"
-,//media.digikey.com/Photos/Aven%20Photos/MFG_26800B-407.jpg,26800B-407-ND,26800B-407,Aven Tools,EYEPIECE 20X,0,0,"Obsolete","0","1","SSZ","Obsolete","Eyepiece","20x"
-,//media.digikey.com/Photos/Aven%20Photos/26800B-424.jpg,26800B-424-ND,26800B-424,Aven Tools,LENS 0.5X,0,0,"Obsolete","0","1","SSZ-30","Obsolete","Lens","0.5x"
-,//media.digikey.com/Photos/Aven%20Photos/26800B-425.jpg,26800B-425-ND,26800B-425,Aven Tools,LENS 0.63X,0,0,"Obsolete","0","1","SSZ-30","Obsolete","Lens","0.63x"
-,//media.digikey.com/Photos/Aven%20Photos/26800B-426.jpg,26800B-426-ND,26800B-426,Aven Tools,LENS 0.75X,0,0,"Obsolete","0","1","SSZ-30","Obsolete","Lens","0.75x"
-,//media.digikey.com/Photos/Aven%20Photos/26800B-427.jpg,26800B-427-ND,26800B-427,Aven Tools,LENS 1.6X,0,0,"Obsolete","0","1","SSZ-30","Obsolete","Lens","1.6x"
