Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Clothing Type","Size","Material","Color","Features"
https://www.aclstaticide.com/datasheets/Gloves%20Nitrile_TDS_18.pdf,-,ST1181-ND,GL9NI-L,ACL Staticide Inc,GLOVES NITRILE PWDR-FREE LG 9"",7,0,"27.50000","0","1","Staticide®","Active","Gloves, Non Gendered - Dissipative","Large","Nitrile Rubber","-","Chemical Resistant, Latex Free"
https://www.aclstaticide.com/datasheets/Gloves%20Nitrile_TDS_18.pdf,-,ST1182-ND,GL9NI-XL,ACL Staticide Inc,GLOVES NITRILE PWDR-FREE XL 9"",12,0,"28.20000","0","1","Staticide®","Active","Gloves, Non Gendered - Dissipative","XLarge","Nitrile Rubber","-","Chemical Resistant, Latex Free"
https://www.aclstaticide.com/datasheets/Gloves%20Nitrile_TDS_18.pdf,-,ST1183-ND,GL9NI-2XL,ACL Staticide Inc,GLOVES NITRILE PWDR-FREE 2XL 9"",12,0,"28.20000","0","1","Staticide®","Active","Gloves, Non Gendered - Dissipative","2XLarge","Nitrile Rubber","-","Chemical Resistant, Latex Free"
//media.digikey.com/pdf/Data%20Sheets/ACL%20PDFs/Finger_Cots_Latex.pdf,//media.digikey.com/Photos/ACL%20Staticide%20Photos/80LA-x.JPG,ST1113-ND,80LA-S,ACL Staticide Inc,FINGER COTS BLACK SM 720/PK,9,0,"30.75000","0","1","-","Active","Finger Cots","Small","Latex","Black","-"
//media.digikey.com/pdf/Data%20Sheets/ACL%20PDFs/Finger_Cots_Latex.pdf,//media.digikey.com/Photos/ACL%20Staticide%20Photos/80LA-x.JPG,ST1114-ND,80LA-M,ACL Staticide Inc,FINGER COTS BLACK MED 720/PK,9,0,"30.75000","0","1","-","Active","Finger Cots","Medium","Latex","Black","-"
https://www.aclstaticide.com/datasheets/Gloves%20Nitrile_TDS_18.pdf,-,ST1184-ND,GL12NI-S,ACL Staticide Inc,GLOVES NITRILE PWDR-FREE SM 12"",15,0,"32.00000","0","1","Staticide®","Active","Gloves, Non Gendered - Dissipative","Small","Nitrile Rubber","-","Chemical Resistant, Latex Free"
https://www.aclstaticide.com/datasheets/Gloves%20Nitrile_TDS_18.pdf,-,ST1185-ND,GL12NI-M,ACL Staticide Inc,GLOVES NITRILE PWDR-FREE MD 12"",13,0,"32.00000","0","1","Staticide®","Active","Gloves, Non Gendered - Dissipative","Medium","Nitrile Rubber","-","Chemical Resistant, Latex Free"
https://www.aclstaticide.com/datasheets/Gloves%20Nitrile_TDS_18.pdf,-,ST1186-ND,GL12NI-L,ACL Staticide Inc,GLOVES NITRILE PWDR-FREE LG 12"",12,0,"32.00000","0","1","Staticide®","Active","Gloves, Non Gendered - Dissipative","Large","Nitrile Rubber","-","Chemical Resistant, Latex Free"
https://www.aclstaticide.com/datasheets/Gloves%20Nitrile_TDS_18.pdf,-,ST1188-ND,GL12NI-2XL,ACL Staticide Inc,GLOVES NITRILE PWDR-FRE 2XL 12"",15,0,"33.00000","0","1","Staticide®","Active","Gloves, Non Gendered - Dissipative","2XLarge","Nitrile Rubber","-","Chemical Resistant, Latex Free"
https://www.aclstaticide.com/datasheets/Gloves%20Nitrile_TDS_18.pdf,-,ST1187-ND,GL12NI-XL,ACL Staticide Inc,GLOVES NITRILE PWDR-FREE XL 12"",13,0,"33.00000","0","1","Staticide®","Active","Gloves, Non Gendered - Dissipative","XLarge","Nitrile Rubber","-","Chemical Resistant, Latex Free"
//media.digikey.com/pdf/Data%20Sheets/ACL%20PDFs/Finger_Cots_Nitrile.pdf,//media.digikey.com/Photos/ACL%20Staticide%20Photos/90NI-x.JPG,ST1118-ND,90NI-M,ACL Staticide Inc,FINGER COTS WHITE MED 720/PK,11,0,"40.75000","0","1","-","Active","Finger Cots","Medium","Nitrile Rubber","White","-"
//media.digikey.com/pdf/Data%20Sheets/ACL%20PDFs/Finger_Cots_Nitrile.pdf,//media.digikey.com/Photos/ACL%20Staticide%20Photos/90NI-x.JPG,ST1120-ND,90NI-XL,ACL Staticide Inc,FINGER COTS WHITE XL 720/PK,10,0,"40.75000","0","1","-","Active","Finger Cots","XLarge","Nitrile Rubber","White","-"
//media.digikey.com/pdf/Data%20Sheets/ACL%20PDFs/Finger_Cots_Nitrile.pdf,//media.digikey.com/Photos/ACL%20Staticide%20Photos/100NI-x.JPG,ST1123-ND,100NI-L,ACL Staticide Inc,FINGER COTS BLUE LRG 720/PK,7,0,"40.75000","0","1","-","Active","Finger Cots","Large","Nitrile Rubber","Blue","-"
//media.digikey.com/pdf/Data%20Sheets/ACL%20PDFs/Finger_Cots_Nitrile.pdf,//media.digikey.com/Photos/ACL%20Staticide%20Photos/100NI-x.JPG,ST1121-ND,100NI-S,ACL Staticide Inc,FINGER COTS BLUE SM 720/PK,6,0,"40.75000","0","1","-","Active","Finger Cots","Small","Nitrile Rubber","Blue","-"
http://documents.desco.com/PDF/TB-3042.pdf,-,16-1592-ND,73508,Desco,ESD SMOCK HD CTTN PLY 1%C BL XL,35,0,"44.39000","0","1","-","Active","Smock","XLarge","Cotton, Polyester","Blue","Static Dissipative"
http://documents.desco.com/PDF/TB-3042.pdf,-,16-1591-ND,73507,Desco,ESD SMOCK HD CTTN PLY 1%C BL LG,32,0,"44.39000","0","1","-","Active","Smock","Large","Cotton, Polyester","Blue","Static Dissipative"
http://documents.desco.com/PDF/TB-2055.PDF,//media.digikey.com/Photos/Desco%20Photos/73832.JPG,16-1566-ND,73831,Desco,ESD JACKET W/CUFFS WHITE S,6,0,"54.87000","0","1","Statshield®","Active","Smock, Jacket Length with Cuffs","Small","Polyester","White","4mm Snap Stud on Hip, Conductive Fabric on Cuff"
http://documents.desco.com/PDF/TB-2055.PDF,//media.digikey.com/Photos/Desco%20Photos/73853.JPG,16-1567-ND,73852,Desco,ESD JACKET W/CUFFS TEAL M,6,0,"54.87000","0","1","Statshield®","Active","Smock, Jacket Length with Cuffs","Medium","Polyester","Teal","4mm Snap Stud on Hip, Conductive Fabric on Cuff"
http://documents.staticcontrol.com/PDF/Dual-Wire-Smocks-User-Guide.pdf,//media.digikey.com/Photos/SCS/MFG_77010x.jpg,SCP744-ND,770100,SCS,SMOCK JACKET DUAL WIRE BLUE XS,13,0,"86.67000","0","1","7701","Active","Smock, Jacket Length with Cuffs","XSmall","Polyester","Blue","Conductive Fabric on Cuff, MagSnap® on Hip, Static Dissipative"
http://documents.staticcontrol.com/PDF/Dual-Wire-Smocks-User-Guide.pdf,//media.digikey.com/Photos/SCS/MFG_77010x.jpg,SCP745-ND,770101,SCS,SMOCK JACKET DUAL WIRE BLUE S,7,0,"86.67000","0","1","7701","Active","Smock, Jacket Length with Cuffs","Small","Polyester","Blue","Conductive Fabric on Cuff, MagSnap® on Hip, Static Dissipative"
http://documents.staticcontrol.com/PDF/Dual-Wire-Smocks-User-Guide.pdf,//media.digikey.com/Photos/SCS/MFG_77010x.jpg,SCP749-ND,770105,SCS,SMOCK JACKET DUAL WIRE BLUE 2XL,4,0,"96.95000","0","1","7701","Active","Smock, Jacket Length with Cuffs","2XLarge","Polyester","Blue","Conductive Fabric on Cuff, MagSnap® on Hip, Static Dissipative"
-,-,2071-B20020-ND,B20020,Botron Company Inc.,B20020 BLUE CONDUCTIVE SHOE COVE,9,0,"93.69000","0","1","-","Active","Bootie","Large, Xlarge","Polypropylene","Blue","Conductive, Skid Free"
http://documents.desco.com/PDF/68120.pdf,//media.digikey.com/Photos/Desco%20Photos/68123.JPG,16-1176-ND,68123,Desco,GLOVES YARN GRAY XLARGE 1PAIR,17,0,"5.75000","0","1","-","Active","Gloves, Non Gendered - Dissipative","XLarge","Yarn","Gray","Static Dissipative"
http://documents.desco.com/PDF/td17120.pdf,//media.digikey.com/Photos/Desco%20Photos/MFG_17120.jpg,16-1434-ND,17120,Desco,DSSPTV GLOVES NITRILE SM 100PC,4,0,"29.50000","0","1","-","Active","Gloves, Non Gendered - Dissipative","Small","Nitrile Rubber","Translucent","Additional Grounding Required, Chemical Resistant, Latex Free, Puncture Resistant, Textured Fingers"
http://documents.desco.com/PDF/td17120.pdf,//media.digikey.com/Photos/Desco%20Photos/MFG_17123.jpg,16-1435-ND,17123,Desco,DSSPTV GLOVES NITRILE XL 100PC,2,0,"29.50000","0","1","-","Active","Gloves, Non Gendered - Dissipative","XLarge","Nitrile Rubber","Translucent","Additional Grounding Required, Chemical Resistant, Latex Free, Puncture Resistant, Textured Fingers"
http://documents.desco.com/PDF/TB-2055.PDF,//media.digikey.com/Photos/Desco%20Photos/73765.JPG,16-1278-ND,73750,Desco,ESD JACKET W/CUFFS BLUE S,3,0,"54.87000","0","1","Statshield®","Active","Smock, Jacket Length with Cuffs","Small","Polyester","Blue","4mm Snap Stud on Hip, Conductive Fabric on Cuff"
http://documents.desco.com/PDF/TB-2055.PDF,//media.digikey.com/Photos/Desco%20Photos/73765.JPG,16-1313-ND,73770,Desco,ESD ESD JACKET W/CUFFS BLUE 2XL,4,0,"59.33000","0","1","Statshield®","Active","Smock, Jacket Length with Cuffs","2XLarge","Polyester","Blue","4mm Snap Stud on Hip, Conductive Fabric on Cuff"
http://documents.desco.com/PDF/TB-2055.PDF,//media.digikey.com/Photos/Desco%20Photos/73612.JPG,16-1277-ND,73611,Desco,ESD LAB COAT W/CUFFS BLUE S,0,0,"60.50000","0","1","Statshield®","Active","Smock, Lab Coat Length with Cuffs","Small","Polyester","Blue","4mm Snap Stud on Hip, Conductive Fabric on Cuff"
http://documents.desco.com/PDF/TB-2055.PDF,//media.digikey.com/photos/Desco%20Photos/MFG_73860.jpg,16-1465-ND,73865,Desco,ESD SMOCK JCKT KNTTD CFFS BK 2XL,4,0,"62.30000","0","1","Statshield®","Active","Smock, Jacket Length with Cuffs","2XLarge","Polyester","Black","4mm Snap Stud on Hip, Badge Tab, Pockets, Static Dissipative"
