Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Cleaner, Treatment Type","Usage","Specifications","Quantity"
-,//media.digikey.com/photos/MG%20Chemicals%20Photos/MFG_844AR-340G.jpg,473-1433-ND,844AR-340G,MG Chemicals,ACRYLIC ESD COATING,6,0,"46.87000","0","1","-","-","Active","Coating, Antistatic","Electronic Equipment, Mats, Surfaces","Dissipative","373ml"
https://www.techspray.com/Content/msds/2355100_eng_usa_tds.pdf,//media.digikey.com/Photos/Techspray/MFG_2355-100.jpg,1873-1118-ND,2355-100,Techspray,100% POLYESTER TECHCLEAN PURWIPE,19,0,"49.83000","0","1","-","-","Active","Wipes, Dry","Moisture Absorption","Class 100 Packaged, Low Lint","100 (9"" L x 9"" W)"
https://www.techspray.com/Content/msds/23592365_eng_usa_tds.pdf,//media.digikey.com/Photos/Techspray/MFG_2359-300.jpg,1873-1120-ND,2359-300,Techspray,9 X 9 TECHCLEAN SMT BLUE WIPE,34,0,"51.06000","0","1","-","-","Active","Wipes, Dry","Moisture Absorption","General Purpose","300 (9"" L x 9"" W)"
https://www.aclstaticide.com/datasheets/8299MD_TDS_18.pdf,//media.digikey.com/Photos/ACL%20Staticide%20Photos/MFG_8299MD.jpg,ST1145-ND,8299MD,ACL Staticide Inc,WIPE NONWOVEN MICRODENIER 9""X9"",25,0,"53.75000","0","1","-","Staticide®","Active","Wipes, Antistatic","Electronic Equipment","Anti-Static, Non-Abrasive, Silicon Free","150 (9"" L x 9"" W)"
http://www.aclstaticide.com/datasheets/4000TDS_14.pdf,//media.digikey.com/Photos/ACL%20Staticide%20Photos/MFG_40001.jpg,ST1152-ND,40001,ACL Staticide Inc,FLOOR FINISH STATIC DISS 1 GAL,7,0,"65.45000","0","1","Bottle","Staticide® Acrylic","Active","Floor Finish, Antistatic","Floors","Biodegradable, Low VOC, Non-Toxic","1 Gallon"
http://documents.desco.com/PDF/TB-7062.pdf,-,16-1585-ND,10448,Desco,"REZTORE SURFACE & MAT CLEANER, 2",7,0,"80.84000","0","1","-","Reztore®","Active","Cleaner","Mats, Surfaces","Alcohol Free","2.5 Gallon"
http://documents.desco.com/PDF/13850.pdf,//media.digikey.com/Photos/Desco%20Photos/MFG_13844.jpg,16-1532-ND,13844,Desco,DESICCANT PAK PAIL 300,3,0,"85.76000","0","1","Pail of Individual Packets","Desi Pak®","Active","Desiccant","Moisture Absorption","Montmorillonite Clay","300 (4"" L x 2"" W)"
https://www.techspray.com/Content/msds/2362150_eng_usa_tds.pdf,//media.digikey.com/Photos/Techspray/MFG_2362-150.jpg,1873-1121-ND,2362-150,Techspray,TECHCLEAN ANTI-STATIC WIPE 150 P,10,0,"130.87000","0","1","-","-","Active","Wipes, Antistatic","Electronic Equipment","Anti-Static","150 (9"" L x 9"" W)"
http://www.aclstaticide.com/pdf/ACL-Staticide-Static-Control-Brochure-2014.pdf,//media.digikey.com/Photos/ACL%20Staticide%20Photos/MFG_6x00Q.jpg,ST1161-ND,6400Q,ACL Staticide Inc,STATICIDE ESD SAFETY SHIELD QRT,3,0,"163.00000","0","1","Bottle","Staticide®","Active","Coating, Antistatic","Plastic Surfaces","Abrasion Resistant, Plastic Safe, Solvent Resistant, Translucent","1 Quart"
http://www.aclstaticide.com/datasheets/3030TDS_16.pdf,//media.digikey.com/photos/ACL%20Staticide%20Photos/3030Q.JPG,ST1097-ND,3030Q,ACL Staticide Inc,COATING ANTISTAT MULTI SURF 1QT,4,0,"169.00000","0","1","Bottle","Staticide® 30","Active","Coating, Antistatic","Multiple Surfaces","General Purpose","1 Quart"
