Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Tip - Material","Handle - Material","Features","Handle - Length","Quantity"
-,//media.digikey.com/Photos/Easy%20Braid%20Photos/MFG_SW5PFAS.jpg,EB1145-ND,SW5PFAS-10,MENDA/EasyBraid,SWAB 5"" STAT DIS FT 10/PKG,0,0,"Obsolete","0","1","-","Obsolete","Swab, Single Head","Foam","-","Antistatic","5.00"" (127.0mm)","10"
-,//media.digikey.com/Photos/Easy%20Braid%20Photos/SW6PFAS-10.jpg,EB1149-ND,SW6PFAS-10,MENDA/EasyBraid,SWAB 6"" STA DIS FM TP 10/PKG,0,0,"Obsolete","0","1","-","Obsolete","Swab, Single Head","Foam","-","Antistatic","6.00"" (152.4mm)","10"
-,//media.digikey.com/Photos/Easy%20Braid%20Photos/MFG_SW6WC.jpg,EB1151-ND,SW6WC-10,MENDA/EasyBraid,SWAB 6"" WOOD CTN TP 10/PKG,0,0,"Obsolete","0","1","-","Obsolete","Swab, Single Head","Cotton","Wood","Low Linting","6.00"" (152.4mm)","10"
-,//media.digikey.com/Photos/Easy%20Braid%20Photos/MFG_SW6WF.jpg,EB1152-ND,SW6WF-10,MENDA/EasyBraid,SWAB 6"" WOOD FM TP 10/PKG,0,0,"Obsolete","0","1","-","Obsolete","Swab, Single Head","Foam","Wood","Low Linting","6.00"" (152.4mm)","10"
-,//media.digikey.com/Photos/Easy%20Braid%20Photos/MFG_SW6WFCAS.jpg,EB1154-ND,SW6WFCAS-10,MENDA/EasyBraid,SWAB 6"" STA DIS FM/CTN 10/PKG,0,0,"Obsolete","0","1","-","Obsolete","Swab, Single Head","Foam","Wood","Antistatic","6.00"" (152.4mm)","10"
-,//media.digikey.com/Photos/Easy%20Braid%20Photos/MFG_SW3PF.jpg,EB1156-ND,SW3PF-100,MENDA/EasyBraid,SWAB 3"" FOAM TIP 100/PKG,0,0,"Obsolete","0","1","-","Obsolete","Swab, Single Head","Foam","-","Low Linting","3.00"" (76.2mm)","100"
-,//media.digikey.com/Photos/Easy%20Braid%20Photos/MFG_SW5PF.jpg,EB1158-ND,SW5PF-100,MENDA/EasyBraid,SWAB 5"" REC FM TIP 100/PKG,0,0,"Obsolete","0","1","-","Obsolete","Swab, Single Head","Foam","-","Low Linting","5.00"" (127.0mm)","100"
-,//media.digikey.com/Photos/Easy%20Braid%20Photos/MFG_SW5PFA.jpg,EB1159-ND,SW5PFA-100,MENDA/EasyBraid,SWAB 5"" SELF SAT FOAM TIP 100/PG,0,0,"Obsolete","0","1","-","Obsolete","Swab, Single Head","Foam","-","Pre-Moistened (Isopropyl Alcohol)","5.00"" (127.0mm)","100"
-,//media.digikey.com/Photos/Easy%20Braid%20Photos/MFG_SW6PFAS.jpg,EB1164-ND,SW6PFAS-100,MENDA/EasyBraid,SWAB 6"" STA DIS FM TP 100/PKG,0,0,"Obsolete","0","1","-","Obsolete","Swab, Single Head","Foam","-","Antistatic","6.00"" (152.4mm)","100"
-,//media.digikey.com/Photos/Easy%20Braid%20Photos/MFG_SW6WF.jpg,EB1167-ND,SW6WF-100,MENDA/EasyBraid,SWAB 6"" WOOD FM TP 100/PKG,0,0,"Obsolete","0","1","-","Obsolete","Swab, Single Head","Foam","Wood","Low Linting","6.00"" (152.4mm)","100"
