Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Mat Type","Shape","Length","Width","Thickness","Color","Material","Number of Layers","Features"
http://www.aclstaticide.com/datasheets/Dualmat%20TDS_0815.pdf,//media.digikey.com/Photos/ACL%20Staticide%20Photos/MFG_8085Bx-Series.jpg,8085BR3640-ND,8085BR3640,ACL Staticide Inc,MAT TABLE ESD 36""X40' LT BLUE,0,0,"1210.00000","0","1","Dualmat™","Active","Table, Workbench Runner","Rectangle","40' (12.19m)","3' (0.91m)","0.08"" (2.03mm)","Blue, Light","Elastomer","2","Conductive, Dissipative"
http://www.aclstaticide.com/datasheets/Dualmat%20TDS_0815.pdf,//media.digikey.com/Photos/ACL%20Staticide%20Photos/MFG_8285RBx-Series.jpg,8285RBR3640-ND,8285RBR3640,ACL Staticide Inc,MAT TABLE ESD 36""X40' RYL BLU,0,0,"1210.00000","0","1","Dualmat™","Active","Table, Workbench Runner","Rectangle","40' (12.19m)","3' (0.91m)","0.08"" (2.03mm)","Blue, Royal","Elastomer","2","Conductive, Dissipative"
http://www.aclstaticide.com/datasheets/Dualmat%20TDS_0815.pdf,//media.digikey.com/Photos/ACL%20Staticide%20Photos/MFG_8385DGYx-Series.jpg,8385DGYR3640-ND,8385DGYR3640,ACL Staticide Inc,MAT TABLE ESD 36""X40' DRK GRY,0,0,"1210.00000","0","1","Dualmat™","Active","Table, Workbench Runner","Rectangle","40' (12.19m)","3' (0.91m)","0.08"" (2.03mm)","Gray, Dark","Elastomer","2","Conductive, Dissipative"
http://documents.desco.com/PDF/pm-106.pdf,//media.digikey.com/renders/Desco%20Renders/Black.jpg,82068-ND,82068,Desco,RUBBER BLACK G2E4 .060 48X40',0,0,"1211.88000","0","1","Statfree G2™","Active","Floor Runner","Rectangle","40' (12.19m)","4' (1.22m)","0.06"" (1.52mm)","Black","Rubber","1","Conductive"
http://documents.desco.com/PDF/16310.pdf,//media.digikey.com/photos/Desco%20Photos/MFG_16316.jpg,16319-ND,16319,Desco,ROLL TRUSTAT B80 VINYL 48X50',0,0,"1246.30000","0","1","Trustat™ B80","Active","Table, Workbench","Rectangle","50' (15.24m)","4' (1.22m)","0.08"" (2.03mm)","Blue, Light","Vinyl","1","Dissipative"
http://documents.staticcontrol.com/pdf/8200-Series_Dissipative-Three-Layer-Vinyl-Mat.pdf,//media.digikey.com/renders/3M%20Renders/Brown%20Mats.jpg,82A1-ND,82A1,SCS,MAT FLOOR 3LAYER ESD BRN 4'X50',0,0,"1270.58000","0","1","8200","Active","Floor Runner","Rectangle","50' (15.24m)","4' (1.22m)","0.14"" (3.56mm)","Brown","Vinyl","3","Conductive, Dissipative"
http://documents.staticcontrol.com/pdf/8200-Series_Dissipative-Three-Layer-Vinyl-Mat.pdf,//media.digikey.com/renders/3M%20Renders/Blue%20Mats.jpg,82A4-ND,82A4,SCS,MAT FLOOR 3LAYER ESD BLUE 4'X50',0,0,"1270.58000","0","1","8200","Active","Floor Runner","Rectangle","50' (15.24m)","4' (1.22m)","0.14"" (3.56mm)","Blue","Vinyl","3","Conductive, Dissipative"
http://documents.staticcontrol.com/pdf/8200-Series_Dissipative-Three-Layer-Vinyl-Mat.pdf,//media.digikey.com/renders/3M%20Renders/Gray%20Mats.jpg,82A3-ND,82A3,SCS,MAT FLOOR 3LAYER ESD GRAY 4'X50',0,0,"1270.58000","0","1","8200","Active","Floor Runner","Rectangle","50' (15.24m)","4' (1.22m)","0.14"" (3.56mm)","Gray","Vinyl","3","Conductive, Dissipative"
http://documents.desco.com/PDF/PM-116.pdf,//media.digikey.com/renders/Desco%20Renders/Blue.jpg,65002-ND,65002,Desco,MAT VINYL BLUE 36""X60',0,0,"1401.69000","0","1","Statfree O™","Active","Table, Workbench Runner","Rectangle","60' (18.29m)","3' (0.91m)","0.38"" (9.65mm)","Blue","Vinyl","3","Anti Fatigue, Dissipative"
http://documents.desco.com/PDF/pm-112.pdf,//media.digikey.com/renders/Desco%20Renders/Blue.jpg,42520-ND,42520,Desco,VINYL 3LAYER BLUE .125 48X50',0,0,"1428.78000","0","1","Statfree Z2™","Active","Table, Workbench Runner","Rectangle","50' (15.24m)","4' (1.22m)","0.13"" (3.30mm)","Blue","Vinyl","3","Dissipative"
