Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Metal Layer","Static Discharge Shielding","Closure System","Thickness","Length - Inside","Width - Inside","Tensile Strength","Color"
http://documents.desco.com/PDF/13605.pdf,//media.digikey.com/photos/Desco%20Photos/136XX%20SERIES.jpg,16-1033-ND,13615,Desco,BAG ESD SHLD 4""X6"" METAL-IN ZIP,1907,0,"0.14000","0","1","Statshield®","Active","Static Shielding Bag","In","<25nJ","Zip Lock","3.0 mil (76.2 microns)","6"" (152.4mm)","4"" (101.6mm)","-","Silver"
http://documents.staticcontrol.com/PDF/Static_Shielding_Bag_1000_Series.pdf,//media.digikey.com/Photos/3M%20Photos/10088.JPG,SCP392-ND,10088,SCS,BAG 8X8"" STATIC SHIELD 1=1EA,23642,0,"0.15000","0","1","1000","Active","Static Shielding Bag","In","<10nJ","User Defined - Clips, Heat Seal, Tape","2.8 mil (71.12 microns)","8"" (203.2mm)","8"" (203.2mm)","4600 psi","Silver"
http://documents.staticcontrol.com/PDF/Static_Shielding_Bag_1000_Series.pdf,//media.digikey.com/Photos/3M%20Photos/100612.JPG,SCP400-ND,100612,SCS,BAG 6X12"" STATIC SHIELD 1=1EA,14344,0,"0.15000","0","1","1000","Active","Static Shielding Bag","In","<10nJ","User Defined - Clips, Heat Seal, Tape","2.8 mil (71.12 microns)","12"" (304.8mm)","6"" (152.4mm)","4600 psi","Silver"
http://documents.staticcontrol.com/PDF/Static_Shielding_Bag_1000_Series.pdf,//media.digikey.com/Photos/3M%20Photos/100710.JPG,SCP348-ND,100710,SCS,BAG 7X10"" STATIC SHIELD 1=1EA,13394,0,"0.15000","0","1","1000","Active","Static Shielding Bag","In","<10nJ","User Defined - Clips, Heat Seal, Tape","2.8 mil (71.12 microns)","10"" (254mm)","7"" (177.8mm)","4600 psi","Silver"
http://documents.staticcontrol.com/PDF/Static_Shielding_Bag_1300_Series.pdf,//media.digikey.com/Photos/SCS/MFG_1300-SERIES.jpg,SCP596-ND,1300810,SCS,BAG STAT SHLD MTLIN 10""X8"" 1=1EA,1894,0,"0.16000","0","1","1300","Active","Static Shielding Bag","In","<20nJ","User Defined - Clips, Heat Seal, Tape","3.2 mil (81.28 microns)","10"" (254mm)","8"" (203.2mm)","8100 psi","Silver"
http://documents.staticcontrol.com/PDF/Static_Shielding_Bag_1000_Series.pdf,//media.digikey.com/Photos/3M%20Photos/100614.JPG,SCP393-ND,100614,SCS,BAG 6X14"" STATIC SHIELD 1=1EA,5961,0,"0.18000","0","1","1000","Active","Static Shielding Bag","In","<10nJ","User Defined - Clips, Heat Seal, Tape","2.8 mil (71.12 microns)","14"" (355.6mm)","6"" (152.4mm)","4600 psi","Silver"
http://documents.staticcontrol.com/pdf/Dri-Shield-3400-Moisture-Barrier-Bag.pdf,//media.digikey.com/Photos/3M%20Photos/D3446.JPG,SCP504-ND,D3446,SCS,BAG 4X6"" MOISTURE BARRIER 1=1EA,9457,0,"0.20000","0","1","Dri-Shield 3400","Active","Moisture Barrier Bag","In","<10nJ","User Defined - Clips, Heat Seal, Tape","4.0 mil (101.6 microns)","6"" (152.4mm)","4"" (101.6mm)","6000 psi","Silver"
http://documents.desco.com/PDF/13605.pdf,//media.digikey.com/photos/Desco%20Photos/136XX%20SERIES.jpg,16-1034-ND,13630,Desco,BAG ESD SHLD 5""X8"" METAL-IN ZIP,4462,0,"0.20000","0","1","Statshield®","Active","Static Shielding Bag","In","<25nJ","Zip Lock","3.0 mil (76.2 microns)","8"" (203.2mm)","5"" (127mm)","-","Silver"
http://documents.staticcontrol.com/PDF/Static_Shielding_Bag_1000_Series.pdf,//media.digikey.com/Photos/3M%20Photos/100616.JPG,SCP368-ND,100616,SCS,BAG 6X16"" STATIC SHIELD 1=1EA,4981,0,"0.21000","0","1","1000","Active","Static Shielding Bag","In","<10nJ","User Defined - Clips, Heat Seal, Tape","2.8 mil (71.12 microns)","16"" (406.4mm)","6"" (152.4mm)","4600 psi","Silver"
http://documents.staticcontrol.com/PDF/Static_Shielding_Bag_1000_Series.pdf,//media.digikey.com/Photos/3M%20Photos/300610.JPG,SCP474-ND,300610,SCS,BAG STATIC ZIP-TOP 6X10"" 1=1EA,4067,0,"0.21000","0","1","1000 ZipTop™","Active","Static Shielding Bag","In","<10nJ","Zip Lock","2.8 mil (71.12 microns)","10"" (254mm)","6"" (152.4mm)","4600 psi","Silver"
