Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Accessory Type","For Use With/Related Products","Specifications"
https://www3.panasonic.biz/ac/e_download/fasys/staticsys/staticsys/catalog/er-v_e_cata.pdf,//media.digikey.com/photos/Panasonic%20Photos/ER-VAJK.jpg,1110-2585-ND,ER-VAJK,Panasonic Industrial Automation Sales,JOINT NOZZLE FOR MAIN UNIT,17,0,"101.00000","0","1","ER-V","Active","Nozzle","-","-"
http://documents.staticcontrol.com/pdf/980-980E-Ionized-Air-Gun-User-Guide.pdf,//media.digikey.com/Photos/SCS/MFG_980-F.jpg,SCP640-ND,980-F,SCS,AIR FILTER REPLACEMENT 3 PACK,9,0,"103.96000","0","1","-","Active","Filter","980 Ionizer Gun","-"
http://documents.staticcontrol.com/pdf/980-980E-Ionized-Air-Gun-User-Guide.pdf,//media.digikey.com/Photos/SCS/MFG_980-T.jpg,SCP763-ND,980-T,SCS,TIP NOZZLE REPLACEMENT,10,0,"107.38000","0","1","-","Active","Nozzle Tip","980 Ionizer Gun","-"
-,//media.digikey.com/Photos/SCS/MFG_960X%5E980X.jpg,SCP286-ND,960X/980X,SCS,WALL TRANSFORMER,8,0,"107.52000","0","1","-","Active","AC Adapter","-","-"
http://documents.staticcontrol.com/PDF/701_Test_Kit_User_Guide.pdf,//media.digikey.com/Photos/3M%20Photos/701-L.JPG,SCP647-ND,701-L,SCS,TEST LEADS FOR MEGOHMMETER,5,0,"119.58000","0","1","-","Active","Test Leads","Megohmmeter","-"
http://documents.desco.com/PDF/TB-3062.pdf,//media.digikey.com/Photos/Desco%20Photos/MFG_50003.jpg,16-1453-ND,50003,Desco,ELECTRODES 5LB FOR RESIS METER,2,0,"178.84000","0","1","-","Active","Electrodes","Resistance Meters","-"
http://menda.descoindustries.com/Catalog/menda2010ecatalog/files/2010mendaindustrialcatalog.pdf,//media.digikey.com/Photos/Desco%20Photos/MFG_35120.jpg,16-1345-ND,35120,MENDA/EasyBraid,NUT STARTER REG #2 - SMALL #6,26,0,"2.28000","0","1","Menda®","Active","Nut Starter","#2 ~ #6 Nuts","-"
https://www3.panasonic.biz/ac/e_download/fasys/staticsys/staticsys/catalog/er-v_e_cata.pdf,//media.digikey.com/Photos/Panasonic%20Photos/ER-AT50.JPG,1110-2577-ND,ER-AT50,Panasonic Industrial Automation Sales,CONDUCTIVE TUBE 500MM,39,0,"7.00000","0","1","ER-V","Active","Tube","ER-ATH","-"
http://documents.staticcontrol.com/PDF/CTC331-Iron-Man-Plus-User-Guide.pdf,//media.digikey.com/photos/3M%20Photos/CTA251.jpg,SCP262-ND,CTA251,SCS,REPLACEMENT JACK GROUND MAN,24,0,"13.77000","0","1","IronMan™","Active","Replacement Jacks","Workstation Monitor","-"
https://www3.panasonic.biz/ac/e_download/fasys/staticsys/staticsys/catalog/er-v_e_cata.pdf,//media.digikey.com/Photos/Panasonic%20Photos/ER-VCCJx.jpg,1110-2591-ND,ER-VCCJ5,Panasonic Industrial Automation Sales,5M CABLE FOR ER-V,42,20,"20.00000","0","1","ER-V","Active","Cable","-","-"
