Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Mounting Type","Voltage - Input"
http://documents.desco.com/PDF/TB-6563.pdf,-,50926-ND,50926,Desco,"ION BAR ASSEMBLY, AIR-ASSISTED 9",0,0,"549.40000","0","1","EMIT Ion","Active","Ionizer","Overhead","-"
http://documents.desco.com/PDF/TB-5520.pdf,-,94206-ND,94206,Desco,ION BAR ASSEMBLY,0,0,"551.12000","0","1","-","Active","Ionizer","-","-"
http://documents.descoemit.com/PDF/TB-6590.pdf,-,50642D-ND,50642,Desco,MINI ZERO VOLT IONIZER 2 NA,0,0,"551.93000","0","1","Mini ZVi2","Active","Ionizer","Benchtop","24VDC"
http://documents.desco.com/PDF/TB-3043.pdf,-,60515-ND,60515,Desco,MOTION SENSOR IONIZER 220V,0,0,"583.99000","0","1","-","Active","Ionizer","Benchtop","220VAC"
http://documents.desco.com/PDF/TB-6533.pdf,-,50691-ND,50691,Desco,"BENCHTOP ZERO VOLT IONIZER, POWD",0,0,"586.31000","0","1","EMIT Zero Volt","Active","Ionizer","Benchtop","220VAC"
-,-,CTC038-WW-ND,CTC038-WW,SCS,IONIZATION MONITR FG,0,0,"608.06000","0","1","-","Active","-","-","-"
http://documents.desco.com/PDF/TB-6533.pdf,-,50690-ND,50690,Desco,"BENCHTOP ZERO VOLT IONIZER, POWD",0,0,"621.60000","0","1","EMIT Zero Volt","Active","Ionizer","Benchtop","120VAC"
http://documents.desco.com/PDF/TB-5521.pdf,-,94226-ND,94226,Desco,ION BAR ASSEMBLY,0,0,"647.53000","0","1","-","Active","Ionizer","-","-"
http://documents.descoemit.com/PDF/TB-6533.pdf,-,50663-ND,50663,Desco,ZERO VOLT BENCHTP IONIZER 120V,0,0,"746.22000","0","1","EMIT","Active","Ionizer","Benchtop","120VAC"
http://documents.desco.com/PDF/TB-6533.pdf,-,50670-ND,50670,Desco,"BENCHTOP ZERO VOLT IONIZER, STAI",0,0,"746.22000","0","1","EMIT Zero Volt","Active","Ionizer","Benchtop","220VAC"
https://www3.panasonic.biz/ac/e_download/fasys/staticsys/staticsys/catalog/ec-g_e_cata.pdf,-,EC-G01-ND,EC-G01,Panasonic Industrial Automation Sales,PULSED AIR-GUN IONIZER MAIN UNIT,0,0,"750.00000","0","1","EC-G","Active","Ionizer, Air Gun","Overhead","100 ~ 240 VAC"
http://documents.desco.com/PDF/TB-3065.pdf,//media.digikey.com/photos/Desco%20Photos/MFG_19595.jpg,19595-ND,19595,Desco,ION GUN VIPER NORTH AMERICA,0,0,"790.50000","0","1","Viper","Active","Ionizer, Air Gun","Benchtop, Portable","100 ~ 240 VAC"
http://documents.desco.com/PDF/TB-3033.pdf,-,19599-ND,19599,Desco,"CHARGEBUSTER ION GUN, NO POWER A",0,0,"803.25000","0","1","EMIT Chargebuster®","Active","Ionizer, Air Gun","Benchtop, Wall Mount","-"
http://documents.desco.com/PDF/TB-6545.pdf,-,50682-ND,50682,Desco,"IONIZER, OVERHEAD, 2-FAN, 24'' C",0,0,"839.31000","0","1","EMIT Chargebuster®","Active","Ionizer","Overhead","220VAC"
http://documents.desco.com/PDF/tb-2016.pdf,-,19520-ND,19520,Desco,IONIZER BLOWER BENCH 220V NIST,0,0,"849.39000","0","1","-","Active","Ionizer","Benchtop","220VAC"
http://documents.desco.com/PDF/TB-6545.pdf,-,50602-ND,50602,Desco,CHARGEBUSTER OVERHEAD IONIZER W/,0,0,"892.86000","0","1","EMIT Chargebuster®","Active","Ionizer","Overhead","220VAC"
http://documents.desco.com/PDF/TB-3033.pdf,//media.digikey.com/photos/Desco%20Photos/MFG_19590.jpg,19590-ND,19590,Desco,ION GUN CHARGEBUSTER 120VAC,0,0,"948.40000","0","1","Chargebuster®","Active","Ionizer, Air Gun","Benchtop, Wall Mount","120VAC"
http://documents.desco.com/PDF/TB-3031.pdf,//media.digikey.com/photos/Desco%20Photos/MFG_60640.jpg,60640-ND,60640,Desco,IONZR OH 24IN 2-FAN 120VAC US PL,0,0,"959.21000","0","1","Chargebuster®","Active","Ionizer","Overhead","120VAC, 220VAC"
-,-,CTC039-WW-ND,CTC039-WW,SCS,IONIZATION MONITOR IONIZER BARS,0,0,"972.90000","0","1","-","Active","-","-","-"
http://documents.desco.com/PDF/TB-6545.pdf,-,50681-ND,50681,Desco,"IONIZER, OVERHEAD, 3 FAN CHARGEB",0,0,"994.28000","0","1","EMIT Chargebuster®","Active","Ionizer","Overhead","220VAC"
http://documents.desco.com/PDF/TB-6545.pdf,-,50603-ND,50603,Desco,CHARGEBUSTER OVERHEAD IONIZER W/,0,0,"1047.83000","0","1","EMIT Chargebuster®","Active","Ionizer","Overhead","220VAC"
http://documents.desco.com/PDF/TB-6530.pdf,-,50620-ND,50620,Desco,"CONTROLLER, ION PYTHON, FOOT SWI",0,0,"1093.12000","0","1","EMIT Ion Python","Active","Ionizer","Benchtop","120VAC"
http://documents.desco.com/PDF/TB-6530.pdf,-,50621-ND,50621,Desco,"CONTROLLER, ION PYTHON, FOOT SWI",0,0,"1115.65000","0","1","EMIT Ion Python","Active","Ionizer","Benchtop","220VAC"
http://documents.desco.com/PDF/tb-2079.pdf,-,19587-ND,19587,Desco,CONTR HAND GUN W/HOSE 120V NIST,0,0,"1130.54000","0","1","-","Active","Ionizer, Air Gun","Benchtop","120VAC"
http://documents.descoemit.com/PDF/TB-6534.pdf,-,50664-ND,50664,Desco,2FAN ZERO VOLT OHD IONIZER 120V,0,0,"1145.84000","0","1","EMIT","Active","Ionizer","Overhead","120VAC"
http://documents.desco.com/PDF/TB-6534.pdf,-,50671-ND,50671,Desco,"2-FAN IONIZER, OVERHEAD, 220V, Z",0,0,"1145.84000","0","1","EMIT Zero Volt","Active","Ionizer","Overhead","220VAC"
http://documents.desco.com/PDF/tb-2079.pdf,-,19588-ND,19588,Desco,CONTR HAND GUN W/HOSE 220V NIST,0,0,"1242.32000","0","1","-","Active","Ionizer, Air Gun","Benchtop","220VAC"
-,-,ZN-J25A-ND,ZN-J25A,Omron Automation and Safety,IONIZER FOR AIR CLEAN-U 250MM,0,0,"1281.50000","0","1","ZN-J","Active","Ionizer","Overhead","24VDC"
http://documents.descoemit.com/PDF/TB-6534.pdf,-,50665-ND,50665,Desco,3FAN ZERO VOLT OHD IONIZER 120V,0,0,"1463.94000","0","1","EMIT","Active","Ionizer","Overhead","120VAC"
http://documents.desco.com/PDF/TB-6534.pdf,-,50672-ND,50672,Desco,"3-FAN IONIZER, OVERHEAD, 220V, Z",0,0,"1463.96000","0","1","EMIT Zero Volt","Active","Ionizer","Overhead","220VAC"
-,-,ZJ-BAS050-ND,ZJ-BAS050,Omron Automation and Safety,IONIZER BAR 370MM LENGTH,0,0,"1761.13000","0","1","ZJ-BAS","Active","Ionizer","Overhead","24VDC"
-,-,ZJ-BAS058-ND,ZJ-BAS058,Omron Automation and Safety,IONIZER BAR 450MM LENGTH,0,0,"1875.19000","0","1","ZJ-BAS","Active","Ionizer","Overhead","24VDC"
-,-,ZJ-BAS074-ND,ZJ-BAS074,Omron Automation and Safety,IONIZER BAR 610MM LENGTH,0,0,"1980.13000","0","1","ZJ-BAS","Active","Ionizer","Overhead","24VDC"
-,-,ZJ-BAS090-ND,ZJ-BAS090,Omron Automation and Safety,IONIZER BAR 770MM LENGTH,0,0,"2148.94000","0","1","ZJ-BAS","Active","Ionizer","Overhead","24VDC"
-,-,ZJ-BAS130-ND,ZJ-BAS130,Omron Automation and Safety,IONIZER BAR 1170MM LENGTH,0,0,"2422.69000","0","1","ZJ-BAS","Active","Ionizer","Overhead","24VDC"
http://www.omron.com.au/data_pdf/cat/ks1_ds_e_2_2_csm1762.pdf,-,KS1-AA1T-ND,KS1-AA1T,Omron Automation and Safety,IONIZER 2KV,0,0,"2550.00000","0","1","KS1","Active","Ionizer","Wall Mount","24VDC"
-,-,ZJ-BAS154-ND,ZJ-BAS154,Omron Automation and Safety,IONIZER BAR 1410MM LENGTH,0,0,"2860.69000","0","1","ZJ-BAS","Active","Ionizer","Overhead","24VDC"
https://www3.panasonic.biz/ac/e_download/fasys/staticsys/staticsys/catalog/ec-b_e_cata.pdf,-,EC-B01-EX-ND,EC-B01-EX,Panasonic Industrial Automation Sales,CLEANING BOX STANDARD TYPE,0,0,"4008.01000","0","1","EC-B","Active","Ionizer","Benchtop","100 ~ 240 VAC"
https://www3.panasonic.biz/ac/e_download/fasys/staticsys/staticsys/catalog/ec-b_e_cata.pdf,-,EC-B02-EX-ND,EC-B02-EX,Panasonic Industrial Automation Sales,CLEANING BOX WIDE TYPE,0,0,"5227.02000","0","1","EC-B","Active","Ionizer","Benchtop","100 ~ 240 VAC"
-,-,SCP207-ND,963,SCS,AIR IONIZER BLOWER PERSONAL 120V,0,0,"Obsolete","0","1","963","Obsolete","Ionizer","Benchtop","120VAC"
-,-,19417-ND,19417,Desco,IONIZER.O'HEAD 40"" HO 220V NIST,0,0,"Obsolete","0","1","-","Obsolete","Ionizer","Overhead","220VAC"
-,-,990-ND,990,SCS,AIR IONIZER OVERHEAD,0,0,"Obsolete","0","1","990","Obsolete","Ionizer","Overhead","100 ~ 240 VAC"
http://documents.desco.com/PDF/TB-2095.pdf,//media.digikey.com/Photos/Desco%20Photos/60500.jpg,16-1242-ND,60500,Desco,JR IONIZER W/CASSETTE 120V NIST,0,0,"Obsolete","0","1","Chargebuster Jr","Obsolete","Ionizer","Benchtop","120VAC"
http://documents.desco.com/PDF/TB-2095.pdf,//media.digikey.com/photos/Desco%20Photos/MFG_60501.jpg,60501-ND,60501,Desco,JR IONIZER CASSETTE 120V W/HEATR,0,0,"Obsolete","0","1","Chargebuster Jr","Obsolete","Ionizer","Benchtop","120VAC"
-,//media.digikey.com/Photos/3M%20Photos/991.jpg,SCP249-ND,991,SCS,IONIZER OVERHEAD MODEL 991,0,0,"Obsolete","0","1","991","Obsolete","Ionizer","Overhead","100 ~ 230 VAC"
-,-,ZJ-FA20-ND,ZJ-FA20,Omron Automation and Safety,IONIZER FAN TYPE,0,0,"Obsolete","0","1","-","Obsolete","Ionizer","Benchtop","24VDC"
https://www3.panasonic.biz/ac/e_download/fasys/staticsys/staticsys/catalog/er-v_e_cata.pdf,//media.digikey.com/Photos/Panasonic%20Elect%20Works%20Photos/ER-VS01.jpg,1110-1003-ND,ER-VS01,Panasonic Industrial Automation Sales,COMPACT SPOT TYPE IONIZER,0,0,"Obsolete","0","1","ER-V","Obsolete","Ionizer","Benchtop, Wall Mount","24VDC"
